PredictiveFeature,TargetFeature,SHAP*R2
AHNAK2_M(4477) AHNAK2_S(1012) AHNAK2_S(102) AHNAK2_S(1153) AHNAK2_S(1201) AHNAK2_S(1710) AHNAK2_S(1994) AHNAK2_S(2107) AHNAK2_S(2175) AHNAK2_S(2207) AHNAK2_S(2327) AHNAK2_S(277) AHNAK2_S(297) AHNAK2_S(329) AHNAK2_S(3757) AHNAK2_S(4003) AHNAK2_S(4006) AHNAK2_S(409) AHNAK2_S(4185) AHNAK2_S(447) AHNAK2_S(4536) AHNAK2_S(4610) AHNAK2_S(4787) AHNAK2_S(4862) AHNAK2_S(4866) AHNAK2_S(4897) AHNAK2_S(4936) AHNAK2_S(4966) AHNAK2_S(5) AHNAK2_S(5028) AHNAK2_S(509) AHNAK2_S(5401) AHNAK2_S(5605) AHNAK2_S(5705) AHNAK2_S(5706) AHNAK2_S(5712) AHNAK2_S(5766) AHNAK2_S(584) AHNAK2_S(665) AHNAK2_S(753) AHNAK2_S(823) AHNAK2_S(837) AHNAK2_S(851) AHNAK2_S(86) AHNAK2_T(200) AHNAK2_T(298) AHNAK2_T(33) AHNAK2_T(5709) AHNAK2_T(5715),AGGF1_S(11) AGGF1_S(,0.0015890072518383394
TCOF1_S(1105) TCOF1_S(1156) TCOF1_S(1177) TCOF1_S(1190) TCOF1_S(1191) TCOF1_S(1192) TCOF1_S(1266) TCOF1_S(13) TCOF1_S(1351) TCOF1_S(14) TCOF1_S(227) TCOF1_S(272) TCOF1_S(273) TCOF1_S(3) TCOF1_S(304) TCOF1_S(369) TCOF1_S(412) TCOF1_S(417) TCOF1_S(419) TCOF1_S(475) TCOF1_S(484) TCOF1_S(510) TCOF1_S(512) TCOF1_S(514) TCOF1_S(555) TCOF1_S(556) TCOF1_S(571) TCOF1_S(620) TCOF1_S(701) TCOF1_S(762) TCOF1_S(764) TCOF1_S(765) TCOF1_S(769) TCOF1_S(771) TCOF1_S(777) TCOF1_S(79) TCOF1_S(801) TCOF1_S(807) TCOF1_S(85) TCOF1_S(87) TCOF1_S(88) TCOF1_S(9) TCOF1_S(941) TCOF1_S(966) TCOF1_S(990) TCOF1_T(1026) TCOF1_T(1175) TCOF1_T(1222) TCOF1_T(1260) TCOF1_T(1271) TCOF1_T(1306) TCOF1_T(1384) TCOF1_T(310) TCOF1_T(316) TCOF1_T(814) TCOF1_T(993),AGGF1_S(11) AGGF1_S(,0.0015500033084459924
NACA_S(1066) NACA_S(1098) NACA_S(11) NACA_S(12) NACA_S(13) NACA_S(1404) NACA_S(1511) NACA_S(1607) NACA_S(17) NACA_S(18) NACA_S(19) NACA_S(191) NACA_S(193) NACA_S(1980) NACA_S(1995) NACA_S(2) NACA_S(2022) NACA_S(2066) NACA_S(21) NACA_S(257) NACA_S(271) NACA_S(340) NACA_S(38) NACA_S(506) NACA_S(6) NACA_S(625) NACA_S(7) NACA_S(738) NACA_S(793) NACA_S(795) NACA_S(826) NACA_S(829) NACA_S(9) NACA_S(933) NACA_S(935) NACA_T(1039) NACA_T(1109) NACA_T(1265) NACA_T(1303) NACA_T(1362) NACA_T(1439) NACA_T(1471) NACA_T(1606) NACA_T(1615) NACA_T(5) NACA_T(6) NACA_T(8) NACA_T(80) NACA_T(857) NACA_T(866) NACA_T(871) NACA_T(941) NACA_Y(1983),AGGF1_S(11) AGGF1_S(,0.002699897871947663
NUMA1_C(1942) NUMA1_S(1105) NUMA1_S(1438) NUMA1_S(1728) NUMA1_S(1744) NUMA1_S(1756) NUMA1_S(1763) NUMA1_S(1766) NUMA1_S(1773) NUMA1_S(1792) NUMA1_S(1800) NUMA1_S(1804) NUMA1_S(1814) NUMA1_S(1844) NUMA1_S(1847) NUMA1_S(1868) NUMA1_S(1943) NUMA1_S(1970) NUMA1_S(2026) NUMA1_S(2047) NUMA1_S(369) NUMA1_S(386) NUMA1_S(388) NUMA1_S(479) NUMA1_S(80) NUMA1_T(1744) NUMA1_T(1760) NUMA1_T(1811) NUMA1_T(1854) NUMA1_T(2041) NUMA1_T(2051) NUMA1_T(2092) NUMA1_T(211) NUMA1_T(578) NUMA1_Y(1865),AGGF1_S(11) AGGF1_S(,0.005464122324154244
IRS2_S(1101) IRS2_S(1103) IRS2_S(1181) IRS2_S(1185) IRS2_S(307) IRS2_S(366) IRS2_S(381) IRS2_S(389) IRS2_S(392) IRS2_S(406) IRS2_S(515) IRS2_S(518) IRS2_S(550) IRS2_S(562) IRS2_S(592) IRS2_S(609) IRS2_S(621) IRS2_S(622) IRS2_S(672) IRS2_S(682) IRS2_S(683) IRS2_S(730) IRS2_S(733) IRS2_S(827) IRS2_S(844) IRS2_S(916) IRS2_S(978) IRS2_T(1102) IRS2_T(1157) IRS2_T(1159) IRS2_T(1202) IRS2_T(346) IRS2_T(404) IRS2_T(527) IRS2_T(528) IRS2_T(560) IRS2_T(580) IRS2_T(873) IRS2_Y(675) IRS2_Y(919),AGGF1_S(11) AGGF1_S(,0.005948130832583251
ASXL2_M(440) ASXL2_S(114) ASXL2_S(1143) ASXL2_S(138) ASXL2_S(139) ASXL2_S(51) ASXL2_S(517) ASXL2_S(551) ASXL2_S(552) ASXL2_S(565) ASXL2_S(571) ASXL2_S(600) ASXL2_S(627) ASXL2_S(634) ASXL2_S(637) ASXL2_S(714) ASXL2_S(717) ASXL2_T(1181) ASXL2_T(148),AGGF1_S(11) AGGF1_S(,0.010638340569396453
TJP1_M(837) TJP1_S(1) TJP1_S(1060) TJP1_S(1065) TJP1_S(1102) TJP1_S(1131) TJP1_S(1142) TJP1_S(1180) TJP1_S(1196) TJP1_S(1198) TJP1_S(1397) TJP1_S(1503) TJP1_S(1545) TJP1_S(1573) TJP1_S(1577) TJP1_S(1612) TJP1_S(218) TJP1_S(224) TJP1_S(241) TJP1_S(265) TJP1_S(275) TJP1_S(280) TJP1_S(290) TJP1_S(294) TJP1_S(297) TJP1_S(3) TJP1_S(303) TJP1_S(312) TJP1_S(313) TJP1_S(315) TJP1_S(319) TJP1_S(320) TJP1_S(323) TJP1_S(327) TJP1_S(337) TJP1_S(353) TJP1_S(377) TJP1_S(379) TJP1_S(381) TJP1_S(4) TJP1_S(5) TJP1_S(622) TJP1_S(810) TJP1_S(819) TJP1_S(832) TJP1_S(919) TJP1_S(955) TJP1_S(964) TJP1_T(1156) TJP1_T(1180) TJP1_T(1366) TJP1_T(1528) TJP1_T(1567) TJP1_T(1573) TJP1_T(1609) TJP1_T(235) TJP1_T(267) TJP1_T(363) TJP1_T(379) TJP1_T(579) TJP1_T(589) TJP1_T(809) TJP1_T(868) TJP1_Y(1165) TJP1_Y(1195) TJP1_Y(1602) TJP1_Y(225) TJP1_Y(588),AGGF1_S(11) AGGF1_S(,0.004635646231812223
PHLDB1_C(557) PHLDB1_C(697) PHLDB1_S(10) PHLDB1_S(163) PHLDB1_S(174) PHLDB1_S(175) PHLDB1_S(187) PHLDB1_S(307) PHLDB1_S(381) PHLDB1_S(421) PHLDB1_S(422) PHLDB1_S(5) PHLDB1_S(539) PHLDB1_S(551) PHLDB1_S(638) PHLDB1_S(654) PHLDB1_S(691) PHLDB1_S(7) PHLDB1_S(970) PHLDB1_T(1) PHLDB1_T(1015) PHLDB1_T(1223) PHLDB1_T(172) PHLDB1_T(219) PHLDB1_T(332) PHLDB1_T(477) PHLDB1_T(522),AGGF1_S(11) AGGF1_S(,0.004191319322214897
RIF1_C(1157) RIF1_C(1162) RIF1_C(1869) RIF1_C(2176) RIF1_S(1045) RIF1_S(1046) RIF1_S(1162) RIF1_S(1454) RIF1_S(1483) RIF1_S(1494) RIF1_S(1540) RIF1_S(1703) RIF1_S(1709) RIF1_S(1760) RIF1_S(1869) RIF1_S(1952) RIF1_S(2119) RIF1_S(2149) RIF1_S(2163) RIF1_S(2165) RIF1_S(2168) RIF1_S(2172) RIF1_S(2176) RIF1_S(2180) RIF1_S(2205) RIF1_S(2224) RIF1_S(2230) RIF1_S(2234) RIF1_S(2243) RIF1_S(2465) RIF1_S(401) RIF1_S(989) RIF1_T(1161) RIF1_T(1220) RIF1_T(1428) RIF1_T(1489) RIF1_T(1512) RIF1_T(1712) RIF1_T(1887) RIF1_T(1966) RIF1_T(2242),AGGF1_S(11) AGGF1_S(,0.008926898895024645
BRD8_S(1158) BRD8_S(381) BRD8_S(387) BRD8_S(460) BRD8_S(573) BRD8_S(579) BRD8_S(585) BRD8_S(631) BRD8_S(635) BRD8_S(637) BRD8_S(641) BRD8_S(652) BRD8_S(658) BRD8_S(694) BRD8_T(565) BRD8_T(572),SAMHD1_S(102) SAMHD1,0.006172788674578948
