DatasetName,NELFA_S(237) NELFA_S(350) NELFA_S(360) NELFA_S(363) NELFA_S(374) NELFA_S(83) NELFA_S(86) NELFA_T(246) NELFA_T(250) NELFA_T(288) NELFA_T(297),NELFA_T(146) NELFA_T(243),NELFA_S(13) NELFA_S(192) NELFA_S(196) NELFA_S(225) NELFA_S(229) NELFA_S(230) NELFA_S(233) NELFA_S(244) NELFA_S(367) NELFA_S(7) NELFA_T(157) NELFA_T(212) NELFA_T(227) NELFA_T(239) NELFA_T(277) NELFA_T(365)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,,,
FSO2013_Ratio M/L normalized Rep3,0.6010604952666686,,0.4877149149271548
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,
RCJD2014_15min_1,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,0.6343323604990817,,
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,0.6161757629740511,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,0.6339393498352034,,0.5004293852824147
HS2024_6_B_T3,,,0.5041346436967615
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,0.49763011610067226
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,0.6509241625322819,,0.5046718679839324
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,,,0.5078523589407166
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,0.6316441899996503,,0.5006228085236116
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,0.5014114399394863
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,0.5062117202284595
FSO2013_Ratio M/L normalized Rep1___1,0.6510749817898438,,0.5047257713797745
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,,,
RB2022_5_PreEndurance,,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,0.6223500291776088,,0.4850777176908843
WZ2023_Pu_010_30min,0.6424217438594547,,0.507653940776935
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,,,
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,0.6384659111046844,,
RB2022_8_RecoveryEndurance,,,
KBE2022_Log2_Ex_14_U,0.6330892195581078,,
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,0.6322924957427469,,0.4979040340043072
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,,,
RB2022_5_PreSprint,,,
PG2020_Intensity 8h_C,0.6297978117088808,,
AH2018_SILAC_MR_2_N,0.6400341832534131,,
MV2014_Ratio M/L normalized A1___2 (2 min),,,
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,0.6261896871075621,,0.5047864582721311
AS2011_Ratio H/L Proteins Inhi_2,,,
BS2014_Log2(Ratio H/L normalized),,,
UK2020_HCM_2,0.6349038783098554,,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.6361301794620213,,0.5057884718998211
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,,,
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,,,
GF2025_P6_Sph,,,0.5066084566675428
RB2022_2_PreSprint,,,
ZX2022_CB treated Replicate 3,0.6344822691499086,,0.4994863959095143
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,0.642856618044807,,0.5083995364437571
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,,,0.5017330867046151
KBE2022_Log2_Ex_34_U,0.6335365241157059,,0.5030987666313256
WZ2023_Pu_005_10min,0.6440343611184288,,0.4989966450766474
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,
LG2023_GSK3α-1_intensity,0.6362732095577374,,
WZ2023_Pu_025_30min,0.6427649333281678,,0.5073150429923469
AH2018_SILAC_MR_2_X,0.6373223129785283,,
HS2024_4_PD_T2,,,0.4982503932575214
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,,,
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,0.6268242893769835,,0.4954356572652365
FR2021_Norm.Intensity.B,,,
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,
RB2022_5_PostSprint,,,
EJN2021_3_Rest_Basal,,,
CR2017_Ratio Replicate 1.3,0.6211090860903551,,0.4874800902535971
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,0.6335163847613408,,
HS2024_7_PD_T2,,,0.5154273558611108
FSO2013_Ratio H/L normalized Rep1___1,0.6352270639080476,,0.4921172638693827
AH2018_LFQ_1_C,0.6409859720261273,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,
KBE2022_Log2_Ex_28_T,0.6320181685074867,,
HS2024_3_B_N1,,,0.5056812386727879
RM2024_Intensity D4-2___3,,,
WZ2023_Pe_025_30min,0.6434224350584543,,0.5130854891549732
CK2022_11 40-1,,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,
AH2018_SILAC_2_X,0.6341479367891132,,
MV2014_Ratio H/M normalized A2___2 (2 min),,,
AS2011_Ratio H/L RNAi_1_2,,,
KS2014_Intensity E15_1,,,
FSO2013_Ratio H/L normalized Rep2,0.6203066565267574,,0.4849514794221122
WZ2023_Pu_005_20min,0.64356295053654,,0.5082036517323383
NJH2024_Sub10_MICT_Post,,,
RM2024_Intensity D2-3___1,,,
CR2017_Ratio Replicate 1.5,0.6282987232253813,,0.4893292444081041
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,
HS2024_7_B_T3,,,0.5045883366958739
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,
AS2011_Ratio H/L RNAi_1,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,
AH2018_LFQ_M_1_C,0.6427177043451207,,0.48947881299652707
NJH2025_Sub7_MICT_Pre,,,
SR2019_SKBR3_Biol_repl_2,,,
HS2024_9_B_T2,,,0.5042412493111028
KTGR2014_Ratio-AA 7 mins,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,
HS2024_3_PD_T1,,,0.4975255941009778
FSO2013_Ratio M/L normalized Rep3___2,,,
SR2019_BT549_Biol_repl_3,,,
RCJD2014_20min_mean,,,
FR2021_Norm.Intensity.H,,,
RB2022_2_PreStrength,,,
DB2022_LFQ intensity L1.2,,,
HS2024_4_B_N1,,,0.5078015412077899
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,
CK2022_1 16-1,0.6309402342842962,,
CK2022_1 200-1,0.6330632125016142,,0.504978044700604
PG2020_Intensity Mock_10h_D,0.6312651640304707,,0.47932071840593743
SR2019_MCF10A_Biol_repl_2,,,
JJ2018_Ratio M/L normalized pP2___2,,,
HS2024_6_PD_T1,,,0.5044185352155941
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,
RB2022_6_RecoveryEndurance,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,
EP2017_Mitotic R#2 normalized log2 ratio,0.6431669923624818,,0.5302796033832943
RCJD2014_5min_1,,,
RM2024_Intensity D4-1___1,,,
DL2023_24h-1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,
TM2022_S2.4h.C,,,
SAS2015_PLX/AZD_Exp2,,,
CR2017_Ratio Replicate 3.3,0.6203436225088711,,0.4891789483494875
PG2020_Intensity 2h_C,0.6332529817729333,,0.4956996726578782
VOI2024_Veh2 di,,,
ZX2022_CB treated Replicate 2,0.6359532197898446,,0.5024654355901994
KBE2022_Log2_Ex_8_T,0.6304104135490071,,
NJH2025_Sub10_MICT_Post,,,
HS2024_6_I_T3,,,0.5054083409509286
RN2012_L11,,,0.5136284162062542
AS2011_Ratio H/L Normalized Inhi_2_2,,,
IMM2018_normalised rep. int. Empty-1,,,0.49764768664394876
HS2024_5_PD_T1,,,0.5032190979651452
AH2018_LFQ_M_2_C,0.6406241944610886,,0.4853199414837444
CK2022_3 40-1,,,
RBK2021_1260T Early,,,0.49164951315593897
NJH2024_Sub4_HIIT_Post,,,
HS2024_4_I_T1,,,0.502324172926015
YA2020_Reporter_intensity_Cancer_No.5,0.6414113801002582,,0.5036580750289948
HH2022_Reporter intensity 8,,,
ZQ2022_N2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,
FSO2013_Ratio H/L normalized Rep3___3,,,
AH2018_TMTMS3_2_N,0.6266145370058832,,0.5020666091121925
EJN2021_5_Rest_Basal,,,
NJH2025_Sub2_HIIT_Post,,,
NJH2025_Sub1_MICT_Post,,,
HS2024_9_B_T1,,,0.49184168733179345
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,
JAW2011_Ratio H/L LS2_1,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,
NJH2024_Sub6_HIIT_Pre,,,
AH2018_SILAC_3_N,,,
YA2020_Reporter_intensity_Normal_No.1,0.6382328227604387,,0.5015130417202215
HS2024_3_B_T1,,,0.503538540930527
JJ2018_Ratio H/L normalized___2,,,
RM2024_Intensity D0-2,,,
MV2014_Ratio M/L normalized B1___2 (5 min),,,
RB2022_7_PostStrength,,,
RB2022_1_PostEndurance,,,
CR2017_Ratio Replicate 3,0.6275257345393969,,0.507293071855242
SR2019_Hs578T_Biol_repl_3,,,
MV2014_Ratio L/H normalized B3___1 (5 min),,,
RBK2021_1244T Early,,,0.49642003046267463
RB2022_3_PostSprint,,,
NJH2024_Sub13_MICT_Mid,,,
KTGR2014_Ratio-AA 2 mins,,,
GF2025_P7_Sph,,,0.5055922193455772
HS2024_8_I_T3,,,0.5076630603395479
CF2017_EOC 3,,,0.4966000829551227
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,,
HS2024_6_PD_T3,,,0.49873053081052543
DL2023_12h-2,,,
RM2024_Intensity D6-3___1,,,
FS2019_Ctr1,,,
WZ2023_Pu_010_20min,0.6415819528055251,,0.5005703767210785
AS2011_Ratio H/L_3,,,
CK2022_1 40-1,,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,,
CK2022_8 16-1,0.6341094024035361,,
KS2014_Intensity N3,,,0.5074345538362168
RB2022_4_RecoveryEndurance,,,
RB2022_5_RecoveryEndurance,,,
JAW2011_Ratio H/L LS1a_2,,,
NJH2024_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_N,0.6085988137477636,,
FSO2013_Ratio H/M normalized Rep2,0.6371921304207144,,0.5075408479211045
RAM2015_Log2 A,0.6301979329531756,0.27924740637554846,
HS2024_8_PD_T1,,,0.5027682849328331
JJ2018_Ratio H/L normalized pP2,,,
CF2017_OSE 27,,,
KS2014_Intensity E15_2,,,
BS2014_Log2(Ratio H/L protein),,,
PG2020_Intensity 8h_A,0.6327624665131357,,0.4972352669124708
HS2024_7_I_T1,,,0.5024773128217056
VOI2024_Veh3 di,,,
RKK2015_TNF-α+SC-514/basal,,,
SR2019_JIMT1_Biol_repl_1,,,
HW2015_Ratio H/L normalized Exp2,,,
HS2024_3_I_N1,,,0.4991097642294139
AH2018_SILAC_M_3_X,,,
NJH2024_Sub9_HIIT_Post,,,
AS2011_Ratio H/L RNAi_1_3,,,
GRW2016_Ratio H/L normalized SILAC 1___2,,,
NJH2025_Sub1_HIIT_Pre,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,,
NJH2024_Sub4_HIIT_Mid,,,
VOI2024_0.1uM 2 h_1 di,,,
KBE2022_Log2_Ex_6_T,0.6326309893673955,,
RM2024_Intensity D4-3___1,,,
AH2018_LFQ_4_X,0.6377150239844941,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,
RB2022_8_PostEndurance,,,
NJH2025_Sub4_MICT_Mid,,,
YP2020_Intensity C30_R1_mult_log2,,,
AST2020_anti-CD3.1,,,0.502477048988929
NJH2025_Sub4_HIIT_Post,,,
EP2017_Untreated R#4 log2 ratio,0.6216723373971388,,0.48327393526493106
HS2024_6_B_N1,,,0.5029347510386901
KBE2022_Log2_Ex_27_T,0.6306533692063935,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,,
VOI2024_0.1uM 24 h_1 mono,,,
AMK2021_120R_p5,,,
AS2011_Ratio H/L Proteins,,,
NJH2024_Sub7_HIIT_Post,,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,,0.5002340649370509
AS2011_Ratio H/L RNAi_2_2,,,
RB2022_7_RecoveryStrength,,,
AH2018_SILAC_IT_3_X,0.6358409862469215,,
JAW2011_Ratio H/L,,,
PG2020_Intensity 10h_C,0.6203639618271214,,0.5000853972666586
FSO2013_Ratio M/L normalized Rep2,0.6161468572624567,,0.48487222131144814
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,,
HH2022_Reporter intensity 5,0.624701565986096,0.3353128667433952,
SR2019_HCC1954_Biol_repl_2,,,
CK2022_14 40-1,,,
RB2022_6_PreSprint,,,
NJH2025_Sub12_MICT_Mid,,,
PG2020_Intensity 4h_D,0.6254798339523775,,0.49592769169259787
NJH2025_Sub2_MICT_Post,,,
AH2018_LFQ_4_C,0.6394890331314529,,
DL2023_control-1,,,
AR2021_ALG 10 μM,0.6217679960548825,,
JAW2011_Ratio H/L LS2_2,,,
AH2018_SILAC_IT_3_N,0.6348893999431682,,
EJN2021_4_Rest_Ins,,,
RN2012_H05,,,0.4885724575356397
NJH2024_Sub7_HIIT_Mid,,,
GF2025_P2_Adh,,,0.5025794049623373
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,,
RB2022_8_PostSprint,,,
EJN2021_1_Rest_Ins,,,
HH2022_Reporter intensity 3,0.6434049751603883,0.3202248733164682,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,,
AH2018_SILAC_IT_1_C,0.6158507411792385,,
JW2021_After_3,,,
GF2025_P8_Sph,,,0.5087870356336994
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,,
JJ2018_Ratio M/L normalized pP2___1,,,
AH2018_SILAC_2_N,0.6336009673950859,,
CK2022_11 200-1,0.63634211508002,,0.5000446176030018
CK2022_12 200-1,0.6376489456444717,,0.5014709786033013
AS2011_Ratio H/L Normalized by Protein RNAi_1,,,
RM2024_Intensity D2-1___3,,,
NJH2024_Sub1_MICT_Pre,,,
HH2022_Reporter intensity 9,0.5965589853891635,0.2861358541604765,
WZ2023_Su_010_20min,0.6428373654728624,,0.5069203615729782
AH2018_TMTMS2_2_N,0.6325829321179008,,0.4986270414891459
NJH2024_Sub13_MICT_Pre,,,
KBE2022_Log2_Ex_41_U,0.6344559030062891,,0.5025290381667129
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,,0.5088174579407455
AH2018_TMTMS3_Pool,0.6274877447460582,,0.5019295219294414
KS2014_Intensity N4,,,0.5041891189580459
NJH2024_Sub1_HIIT_Post,,,
MM2018_Ratio H/L replicate2,,,
RM2024_Intensity D4-2___2,,,
NJH2024_Sub13_HIIT_Pre,,,
CF2017_OSE 26,0.6304728792126286,,0.49710547718917686
CK2022_14 200-1,0.6364684853333309,,0.5013615106232668
SR2019_Hs578T_Biol_repl_1,,,
RB2022_7_PostSprint,,,
TM2022_mock.4h.A,,,
NJH2025_Sub12_HIIT_Pre,,,
AH2018_TMTMS3_1_N,0.628929163939879,,0.503850719272121
AST2020_anti-CD3+PDL2.2,,,0.502098209623206
PG2020_Intensity Mock_10h_A,0.633642996597214,,0.4832644184809567
JW2021_After_2,,,
NJH2024_Sub2_MICT_Post,,,
EJN2021_2_Rest_Ins,,,
SR2019_LM2_Biol_repl_4,,,
CP2009_Ratio H/M,,,
JAW2011_Ratio H/L HS,,,
CK2022_13 16-1,0.6346691286404558,,
GF2025_P1_Adh,,,0.508997675681285
GF2025_P1_Sph,,,0.511224946000488
EJN2021_5_Ex_Basal,,,
HS2024_7_I_T3,,,0.5143280783334657
JJ2018_Ratio H/L normalized pP2___2,,,
WZ2023_Pe_010_10min,0.6451066584394664,,0.5093684552807217
CF2017_EOC 1,0.629017384447107,,0.5044439944375095
CK2022_3 200-1,0.6329847816641252,,0.505408365523966
AH2018_LFQ_IT_3_C,0.6376761445676066,,
SR2019_Hs578T_Biol_repl_2,,,
NJH2024_Sub12_HIIT_Post,,,
JJ2018_Ratio H/L normalized pP1___2,,,
MV2014_Ratio H/L normalized A1___2 (10 min),,,
NJH2024_Sub10_MICT_Mid,,,
NJH2024_Sub13_MICT_Post,,,
BS2014_Log2(Ratio H/L normalized Rep_1),,,
RB2022_3_RecoverySprint,,,
NJH2025_Sub1_HIIT_Mid,,,
RCJD2014_20min_2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,,
HS2024_6_PD_T2,,,0.503239218724933
HS2024_5_B_T1,,,0.5024823619616903
CW2012_10 µM Gef/control Experiment 2 Replicate A,,,
DL2023_12h-3,,,
SR2019_MDAMB231_Biol_repl_2,,,
HS2024_3_B_T2,,,0.49815702655308414
RB2022_6_PreStrength,,,
CK2022_2 40-1,,,
RB2022_1_PostSprint,,,
CK2022_4 200-1,0.6329904414072225,,0.5048401374989735
JW2021_Before_2,,,
TM2022_S2.12h.A,,,
MV2014_Ratio L/M normalized B2___2 (30 min),,,
CK2022_5 16-1,0.6343438411112612,,
AR2021_ALG 1 μM,0.6189786209849155,,
HS2024_4_B_T1,,,0.4939485665668082
MV2014_Ratio M/H normalized A3___1 (10 min),,,
SR2019_BT549_Biol_repl_4,,,
EJN2021_1_Rest_Basal,,,
NJH2025_Sub8_MICT_Post,,,
RCJD2014_5min_3,,,
CR2017_Ratio Replicate 3.2,0.6224895485518839,,0.49391276105389426
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,,
GF2025_P7_Adh,,,0.4987083088421875
CK2022_9 16-1,0.6346015640688735,,
NJH2024_Sub6_HIIT_Post,,,
AMK2021_30R_p3,,,
AS2011_Ratio H/L Normalized RNAi_2,,,
RM2024_Intensity D0-2___2,,,
KS2014_Intensity pY_N4,,,
