DatasetName,BACC1_S(103) BACC1_S(141) BACC1_S(146) BACC1_S(36) BACC1_T(139) BACC1_T(161),BACC1_S(10) BACC1_S(106) BACC1_S(110) BACC1_S(137) BACC1_S(150) BACC1_S(35) BACC1_S(62) BACC1_S(76) BACC1_S(82) BACC1_S(83) BACC1_S(9) BACC1_S(96)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.4635291114124957,0.5533064027856046
SR2019_MCF7_Biol_repl_3,,0.5466903242078839
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,0.5423003593439882
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.5616060567920927
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,0.5489337729105702
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.4676695659286911,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.46641367956850505,0.5420222444197939
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.5318543462170574
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,0.46148780242952125,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,0.5551911602872011
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.46664765590832963,0.5423237333128837
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,0.5510417328619274
WZ2023_Pu_010_30min,,0.5814478934651085
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,0.5417422582900474
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.45925250726020295,0.5627528170041417
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,0.5142138920183245
AH2018_SILAC_MR_2_N,,0.5439617549405265
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,0.5489071077387534
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,0.5432818793018171
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.45547935077087826,0.5373444284521572
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,,0.5327199778604976
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.594050865079344
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,,0.5876153730219223
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.5648154952963983
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.5857665969559808
AH2018_SILAC_MR_2_X,,0.5522808151872586
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.551075623138238
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,,0.561941729852626
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,0.53918808402496
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,0.5290694653190827
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.44434254082751506,0.5301062912149841
AH2018_LFQ_1_C,,0.5487351095038191
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.59400448079551
CK2022_11 40-1,,0.5653229859343153
CW2012_10 µM Erl/control Experiment 3 Replicate B,,0.5338280566826321
AH2018_SILAC_2_X,,0.5485475228105595
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.5536051983991083
FSO2013_Ratio H/L normalized Rep2,0.4537162150551332,0.5472620430332086
WZ2023_Pu_005_20min,,0.5829483831428879
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.5515831891897492
CW2012_10 µM Gef/control Experiment 2 Replicate B,,0.5349693927053709
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,0.5482137899738587
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,0.5343737482724568
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,0.5579597541023505
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.5629663108098402
CK2022_1 200-1,,0.5629651522749486
PG2020_Intensity Mock_10h_D,,0.5201262038480803
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.4541548767087436,0.5577300107603855
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,0.5385362907300952
EP2017_Mitotic R#2 normalized log2 ratio,,0.5446855237330853
RCJD2014_5min_1,,0.5452761362082361
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,0.5395323117848089
PG2020_Intensity 2h_C,0.4505396719606038,0.5344707033589742
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,,0.5261858196796608
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,,0.5490602352173183
CK2022_3 40-1,,0.5676845705959591
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,0.5747130804359892
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,0.4816041526815556,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.4604115206050588,0.5633601748503151
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,0.4697203105063666,0.5434000030260944
JAW2011_Ratio H/L LS2_1,,0.5585973508648457
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.4718676526125447,0.5340927567964844
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.5410802789731127
YA2020_Reporter_intensity_Normal_No.1,,0.5613029106665267
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.516922444224708
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.5308012951744321
HS2024_8_I_T3,,
CF2017_EOC 3,,0.55497796266681
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,0.46813479033677347,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.585786828167
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.5673763427286652
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.5619491398676411
KS2014_Intensity N3,,0.5607160554545123
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,0.5487794866044192
FSO2013_Ratio H/M normalized Rep2,0.44942166933297906,0.5296875571720059
RAM2015_Log2 A,,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,0.5549171033262187
KS2014_Intensity E15_2,,0.5461976427721705
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,0.5167394648534399
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,,0.5397049058386709
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,0.5424074527771144
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,0.5511167413084572
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,0.5385037082164986
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,0.5439890445219978
JAW2011_Ratio H/L,,0.5544623257077462
PG2020_Intensity 10h_C,,0.533288300739304
FSO2013_Ratio M/L normalized Rep2,0.45211215919464126,0.547089756530981
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,0.5475738655527506
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,0.564944623489526
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,0.5303418939940495
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,0.5342137635825831
DL2023_control-1,0.46428725503493834,
AR2021_ALG 10 μM,,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,0.5393642521715755
EJN2021_4_Rest_Ins,,
RN2012_H05,,0.5347959783240646
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,0.5500749984399741
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,0.5395539840536997
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.46609837994087194,0.5550585576689518
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,0.4565794880751142,
AH2018_SILAC_IT_1_C,,0.5477835094288367
JW2021_After_3,,
GF2025_P8_Sph,,0.5295461615912421
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,0.454736976919157,0.5668384038435844
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,0.5481752188121392
CK2022_11 200-1,,0.5620453334376875
CK2022_12 200-1,,0.5623142230971845
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,0.5374170067923411
WZ2023_Su_010_20min,,0.5848747735751321
AH2018_TMTMS2_2_N,0.4641519470327722,0.5634236188290412
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,,0.5658946479754048
KS2014_Intensity N4,,0.5637481267620933
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,0.5588318216177245
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.5612745169647811
CK2022_14 200-1,,0.561189993395774
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.46002692826238284,0.5678353006275789
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.46423404074154045,0.5330503245040422
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,0.5461012667751629
CK2022_13 16-1,,0.5614300008255008
GF2025_P1_Adh,,0.5334706021179146
GF2025_P1_Sph,,0.5362659421623256
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.5969090567805527
CF2017_EOC 1,,0.5593047240575357
CK2022_3 200-1,,0.563635301264061
AH2018_LFQ_IT_3_C,,0.5492084528518758
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,0.5216232894078437
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,0.46138420778796935,0.5522343382251065
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,0.5527329405836823
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.5673200473016055
RB2022_1_PostSprint,,
CK2022_4 200-1,,0.5631972725650422
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,0.5621545324211797
AR2021_ALG 1 μM,,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,0.5755022063838142
CR2017_Ratio Replicate 3.2,,0.5325865499560513
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,0.5566070379704989
GF2025_P7_Adh,,0.5398984175448851
CK2022_9 16-1,,0.5619130268288791
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,0.5618053381835916
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,0.5231829621494233
CK2022_16 16-1,,0.5614456423250661
FS2019_db/db3,,
CK2022_15 40-1,,0.5648180426365363
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.5784552766858868
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,0.548478130716488
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.4646981065062219,0.5615383997579348
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,0.5663247942429223
KBE2022_Log2_Ex_40_U,,
AH2018_LFQ_M_1_N,,0.5482232896168457
KBE2022_Log2_Ex_27_U,,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,0.5490184460336738
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,0.5607492315793868
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,0.5280724463862605
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,0.5619874762287654
RN2012_L13,,0.5402701917922693
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,
SR2019_SKBR3_Biol_repl_3,,0.5360906949999554
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
