DatasetName,PTMS_S(13) PTMS_S(2),PTMS_S(5)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,0.5735954021443107
FSO2013_Ratio M/L normalized Rep3,,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.5401655525408771
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5428495210366268,0.5414117103345409
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,0.4542683379116429,0.3884007159399334
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,0.5488757335196376
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.6775547798473346
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,0.4232917506984295
FSO2013_Ratio M/L normalized Rep1___1,,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,0.4127047267524708
RB2022_5_PreEndurance,,0.569391295327167
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5572824021899496,0.6185113777718326
WZ2023_Pu_010_30min,,0.6051059265349005
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,0.4661866016686393
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.6452119296302976,0.6124063061179492
RB2022_8_RecoveryEndurance,,0.570839371319027
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.6271228359707482,0.4275632331151647
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.581531173755284
PG2020_Intensity 8h_C,0.5118734113509091,0.5317416126619434
AH2018_SILAC_MR_2_N,0.663854625319008,0.643100932329505
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.6274497125378867,0.4959767093897075
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,0.5316183066623874
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.5516294293389812
GF2025_P6_Sph,,0.7195962953158545
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.6050347443493306
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,,0.5957233738917166
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.5376767321622993
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.615883927092069
AH2018_SILAC_MR_2_X,0.6432083864610685,0.6105592649745067
HS2024_4_PD_T2,,0.4321981653361585
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,
FR2021_Norm.Intensity.B,0.5286945175507266,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5707755974087938,0.5128488827716325
RB2022_5_PostSprint,,0.5393467865509294
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,,0.5605220950630506
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5657843416925539,0.5575874322738356
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5473722458852701,0.5207632406592679
HS2024_7_PD_T2,0.7577210718739641,0.7883577421076087
FSO2013_Ratio H/L normalized Rep1___1,,
AH2018_LFQ_1_C,0.6050120531197007,0.5184047636527078
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,0.5331173442265503
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.6018528090521489
CK2022_11 40-1,,0.5349506563093899
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5624284184337138,0.5508755857561556
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.4234014119354989
FSO2013_Ratio H/L normalized Rep2,,
WZ2023_Pu_005_20min,,0.6130939085329288
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.6155400685128682,0.6201460080862882
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,0.5695618640791369,0.5552836174012393
AH2018_LFQ_M_1_C,0.6153031375782487,0.5458086236854441
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.585281061778332,0.5583961537473854
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5291406327148113,0.5207633193848767
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,0.524286803927685,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,0.5641540936353293
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.4464254144125643
CK2022_1 200-1,,0.4817975366701862
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5582979371294701,0.5530098709864165
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,0.4932617904170556
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5995103188324044,0.4973454378190955
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.5610973594456298,0.4932800929182797
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,0.5125035542995123
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5304748147261231,0.5097788128556142
RN2012_L11,,0.4544852026225744
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,0.5502815535112348
HS2024_5_PD_T1,,0.5047734761070983
AH2018_LFQ_M_2_C,0.6087356298569506,0.5463928304908648
CK2022_3 40-1,,0.536129745400298
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5132107548866753,0.5381998991231122
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.8155683307001147,0.6431122931434976
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5056993512563773,0.5323392996334837
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5446932560969677,0.5154052610826632
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.5298370424359478,0.519805731711007
