DatasetName,MIDEAS_M(718) MIDEAS_S(148) MIDEAS_S(3) MIDEAS_S(346) MIDEAS_S(4) MIDEAS_S(458) MIDEAS_S(459) MIDEAS_S(461) MIDEAS_S(48) MIDEAS_S(486) MIDEAS_S(632) MIDEAS_S(636) MIDEAS_S(648) MIDEAS_S(661) MIDEAS_S(700) MIDEAS_S(709) MIDEAS_S(894) MIDEAS_S(920) MIDEAS_S(923) MIDEAS_S(925) MIDEAS_S(987) MIDEAS_S(996) MIDEAS_T(468) MIDEAS_T(617) MIDEAS_T(628) MIDEAS_T(655) MIDEAS_T(687) MIDEAS_T(704) MIDEAS_T(715) MIDEAS_T(882) MIDEAS_T(893) MIDEAS_T(923) MIDEAS_Y(624) MIDEAS_Y(654),MIDEAS_M(715) MIDEAS_S(1002) MIDEAS_S(572) MIDEAS_S(711) MIDEAS_S(898) MIDEAS_T(459) MIDEAS_T(711)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5274131143421833,
FSO2013_Ratio M/L normalized Rep3,0.5312396526560758,
SR2019_MCF7_Biol_repl_3,0.5160735176075121,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5059449024797457,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.52368036574105,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5208592301952613,
ZX2022_Control Replicate 2,0.5133857793596781,
HS2024_6_B_T3,0.5267386278000464,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5223900308314143,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5148264304220284,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.519640905697208,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5286111826082373,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.519549887326788,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5366386673827002,
FSO2013_Ratio M/L normalized Rep1___1,0.5151164253073484,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5160262526491481,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5160836683453888,
WZ2023_Pu_010_30min,0.5393152000568249,0.2741987076792877
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5154709678898471,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.526046286115872,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5259090892332206,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.51840163809306,
AH2018_SILAC_MR_2_N,0.5199308644645501,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5225982450289837,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5224330770773955,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.508776419023184,
GF2025_P6_Sph,0.5176386672821631,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5161417956839847,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5403842876330446,0.32225940390531227
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5193306903673021,
KBE2022_Log2_Ex_34_U,0.528156414932815,
WZ2023_Pu_005_10min,0.5439833400678563,0.33962551475864305
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5211244559850088,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5394585397523409,0.30692968352067057
AH2018_SILAC_MR_2_X,0.5170824545744828,
HS2024_4_PD_T2,0.5239127624045675,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5111172388141884,0.3180854956719278
FR2021_Norm.Intensity.B,0.5194060027035055,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5311509523563644,
RB2022_5_PostSprint,0.5254372638472102,
EJN2021_3_Rest_Basal,0.5183857150195275,
CR2017_Ratio Replicate 1.3,0.5214921271632839,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5174625184806319,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5209367198559328,
HS2024_7_PD_T2,0.5095999117042849,
FSO2013_Ratio H/L normalized Rep1___1,0.5178544332544635,
AH2018_LFQ_1_C,0.5225296671085583,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5200142597086592,
HS2024_3_B_N1,0.5229363651310729,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5370121704466047,0.33264490454021517
CK2022_11 40-1,0.5212601103776412,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.520154722605457,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5246032296957992,
FSO2013_Ratio H/L normalized Rep2,0.5211142432568716,
WZ2023_Pu_005_20min,0.5420230594859067,0.30684649760963023
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5111826073908966,0.29897480785433245
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.501245286674966,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,0.5167226703978556,
AH2018_LFQ_M_1_C,0.5212929085044458,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5124002677415238,
HS2024_9_B_T2,0.5274603414712942,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5096372680788407,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,0.5084298614627505,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5159504723340733,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5138759457953578,
CK2022_1 200-1,0.5188713939011259,
PG2020_Intensity Mock_10h_D,0.5128546048422749,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5114104435509098,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5186155170896904,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.5215448811373172,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.522295423582558,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5144298588839802,
PG2020_Intensity 2h_C,0.5074372000036143,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5148234382600428,
KBE2022_Log2_Ex_8_T,0.5279890077407364,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5015454266926253,
RN2012_L11,0.5227904234933672,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5218063796741592,
HS2024_5_PD_T1,0.5319534285083383,
AH2018_LFQ_M_2_C,0.5228334042095116,
CK2022_3 40-1,0.5195315842387014,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5140425414919303,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,0.5173631826736025,0.2839864405360989
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.512263111445503,
EJN2021_5_Rest_Basal,0.5178052824676566,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.509995066677785,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5196974777180615,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.49923781013671337,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5335108242030656,
RB2022_1_PostEndurance,0.5329776278971766,
CR2017_Ratio Replicate 3,0.5142390478801305,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,0.5238069462012994,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5189025977407787,
HS2024_8_I_T3,0.5285742897741211,
CF2017_EOC 3,0.5179557405622403,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.49871377300318864,
DL2023_12h-2,0.5204875923743997,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5407038962608518,0.3177414836030853
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.519821548434682,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5093800760012887,
KS2014_Intensity N3,,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5239784249033395,
FSO2013_Ratio H/M normalized Rep2,0.524069750124897,
RAM2015_Log2 A,0.5183414603590017,
HS2024_8_PD_T1,0.5347473310271226,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.5188055673020474,
KS2014_Intensity E15_2,0.5237849878336392,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.517608670990084,
HS2024_7_I_T1,0.5120421571322089,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,0.509805393582864,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5224069842503579,
AH2018_SILAC_M_3_X,0.5195403831802304,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.5174406769644879,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5242286057669335,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5220074053798394,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5143242814508378,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,0.5146745617193421,
AST2020_anti-CD3.1,0.5193299972344907,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5161506105012504,
HS2024_6_B_N1,0.5202604737567741,
KBE2022_Log2_Ex_27_T,0.5272660500250379,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.521662967553485,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5146447883197515,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5186080727117836,
FSO2013_Ratio M/L normalized Rep2,0.5258560308002272,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5153081457632226,
