DatasetName,DAP_S(40) DAP_S(49) DAP_S(91) DAP_T(11),DAP_S(2) DAP_S(3) DAP_S(51) DAP_T(36) DAP_T(56)
RM2024_Intensity D4-1___3,0.4787154647540741,0.591547990934803
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.4665824964172856,0.5845980977599614
SR2019_MCF7_Biol_repl_3,,0.5780969865650439
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,0.544210050953183
SR2019_LM2_Biol_repl_1,,0.6246207648926315
RCJD2014_15min_1,,0.5747999939678328
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.5821260652652958
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,0.5815957873157405
RKK2015_TNF-α/basal,,0.5528069796801105
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.4595228963043771,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,0.4506862761491408,0.49321632623628525
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,0.571326822698066
FSO2013_Ratio M/L normalized Rep1,0.455882212917635,0.5817063523627077
SR2019_MDAMB231_Biol_repl_4,,0.6133819585125191
GF2025_P2_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.6907316166063012
DB2022_Intensity L2,,
TM2022_mock.4h.C,,0.6381993213691273
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,0.5481339864851756
FSO2013_Ratio M/L normalized Rep1___1,,0.5818882773455062
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,0.49190777449045575,0.6021018387239083
RM2024_Intensity D6-1,0.5020453364829032,0.6199710865131326
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,0.6068177038420801
EP2017_Untreated R#4 normalized log2 ratio,,
WZ2023_Pu_010_30min,,0.5553497909330869
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.43225466900751075,0.5890332171346916
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,0.6837529427412572
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.490532334828335,0.6693563082417164
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,0.5838017338498529
AH2018_SILAC_MR_2_N,0.47951194142605724,0.5542625558071951
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,0.6380685313711215
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,0.6235443207775864
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,0.6213055996301247
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,0.5281773272092384
UK2020_HCM_2,,0.5742841843695438
FSO2013_Ratio H/L normalized Rep2___2,0.4579914512252917,0.5749687801117771
