DatasetName,FYTTD1_S(115) FYTTD1_S(23) FYTTD1_S(7),FYTTD1_S(1) FYTTD1_S(118) FYTTD1_S(15) FYTTD1_S(16) FYTTD1_S(257) FYTTD1_S(3) FYTTD1_S(61) FYTTD1_S(9) FYTTD1_T(12) FYTTD1_T(14) FYTTD1_T(260)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.7259689583946288,0.48371079799023703
FSO2013_Ratio M/L normalized Rep3,,0.49558373495855484
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,0.4831357229078181
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,0.4812197164849535
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5967117050961414,0.4766163313786946
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.4788735218111571
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,0.4677612950937995
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,,0.47766396486057777
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.6653278301908002,0.4870092012052388
RB2022_5_PreEndurance,0.723947102646048,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,0.49292768492164
WZ2023_Pu_010_30min,,0.4977947383851591
AS2011_Ratio H/L Proteins RNAi_2,,0.5249114164490907
RB2022_4_PreStrength,0.7109857878171888,0.4799866135064594
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,0.49256414795308284
RB2022_8_RecoveryEndurance,0.6906636019389018,0.4832812729706124
KBE2022_Log2_Ex_14_U,0.6425511906841418,0.4956191209703134
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,0.5130005609965058
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,0.7092583879281124,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,,0.48758303463396435
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.6072035179603247,0.504266771142561
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,0.48419869167866253
EP2017_Pervanadate R#3 normalized log2 ratio,,0.46091336121674314
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.7058159571755421,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.6816804764563743,
GF2025_P6_Sph,0.6228223916704921,0.4642290005512118
RB2022_2_PreSprint,,0.4717085634598789
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.5020707444495295
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,0.48840093805217927
WZ2023_Pu_005_10min,,0.4995243144557589
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,0.47975248564341827
WZ2023_Pu_025_30min,,0.49819880871449007
AH2018_SILAC_MR_2_X,,0.4872522888836397
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,0.4863452426424764
AS2011_Ratio H/L Protein RNAi_1,,
