DatasetName,CDK12_S(1053) CDK12_S(1080) CDK12_S(1082) CDK12_S(1083) CDK12_S(1236) CDK12_S(133) CDK12_S(14) CDK12_S(152) CDK12_S(154) CDK12_S(215) CDK12_S(225) CDK12_S(228) CDK12_S(236) CDK12_S(238) CDK12_S(24) CDK12_S(249) CDK12_S(25) CDK12_S(253) CDK12_S(265) CDK12_S(268) CDK12_S(274) CDK12_S(276) CDK12_S(283) CDK12_S(291) CDK12_S(292) CDK12_S(293) CDK12_S(3) CDK12_S(30) CDK12_S(300) CDK12_S(301) CDK12_S(302) CDK12_S(303) CDK12_S(306) CDK12_S(318) CDK12_S(32) CDK12_S(320) CDK12_S(322) CDK12_S(323) CDK12_S(325) CDK12_S(331) CDK12_S(332) CDK12_S(333) CDK12_S(334) CDK12_S(338) CDK12_S(341) CDK12_S(343) CDK12_S(345) CDK12_S(356) CDK12_S(360) CDK12_S(382) CDK12_S(383) CDK12_S(384) CDK12_S(385) CDK12_S(394) CDK12_S(400) CDK12_S(418) CDK12_S(420) CDK12_S(423) CDK12_S(440) CDK12_S(644) CDK12_S(681) CDK12_S(685) CDK12_S(889) CDK12_T(1242) CDK12_T(1244) CDK12_T(1246) CDK12_T(1255) CDK12_T(514) CDK12_T(692) CDK12_T(871) CDK12_T(882) CDK12_T(889) CDK12_T(892) CDK12_T(893) CDK12_Y(279) CDK12_Y(327),CDK12_S(1226) CDK12_S(1232) CDK12_S(153) CDK12_S(211) CDK12_S(261) CDK12_S(290) CDK12_S(315) CDK12_S(349) CDK12_S(357) CDK12_S(359) CDK12_S(614) CDK12_S(680) CDK12_S(684) CDK12_T(11) CDK12_T(255) CDK12_T(57) CDK12_T(65) CDK12_Y(319)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5548902608809797,
FSO2013_Ratio M/L normalized Rep3,0.5474164429865515,
SR2019_MCF7_Biol_repl_3,0.5480675921676932,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5521721604445766,
SR2019_LM2_Biol_repl_1,0.5504402903688967,
RCJD2014_15min_1,0.5435666286349135,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5519195600389576,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5632066584072676,
RKK2015_TNF-α/basal,0.5535510240872228,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.551481394261167,
ZX2022_Control Replicate 2,0.5433514542239918,
HS2024_6_B_T3,0.5526010795724399,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.552488801931289,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5560814727044259,
SR2019_MDAMB231_Biol_repl_4,0.5507991492564802,
GF2025_P2_Sph,0.5429041358851634,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5500377819790183,0.36425836768845066
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5548530924137257,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.553495350018141,
FSO2013_Ratio M/L normalized Rep1___1,0.5553459397839319,
SAS2015_AZD/DMSO_Exp3,0.5531232182112893,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5534967267409636,
RB2022_5_PreEndurance,0.551427882985497,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.5529040259337784,
EP2017_Untreated R#4 normalized log2 ratio,0.5500826199629777,
WZ2023_Pu_010_30min,0.5622197690819866,0.36646560358745867
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5529908979555291,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5493318968123994,
RB2022_8_RecoveryEndurance,0.5572847159088357,
KBE2022_Log2_Ex_14_U,0.5553920166056445,0.3630422717153018
FSO2013_Ratio M/L normalized Rep3___3,0.5495677268298552,
AH2018_TMTMS3_1_C,0.5647834771745653,
JJ2018_Ratio H/L normalized___1,,
