DatasetName,HASPIN_S(143) HASPIN_S(349) HASPIN_S(353),HASPIN_S(141) HASPIN_S(153) HASPIN_T(764) HASPIN_T(89) HASPIN_T(909),HASPIN_S(108) HASPIN_S(145) HASPIN_S(147) HASPIN_S(288) HASPIN_S(387) HASPIN_S(389) HASPIN_S(93) HASPIN_T(112) HASPIN_T(253) HASPIN_T(289) HASPIN_T(97)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,,,
FSO2013_Ratio M/L normalized Rep3,,,0.48633517541212723
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,
RCJD2014_15min_1,,,0.4809152470118833
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,,,0.4936067628040115
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,,,
HS2024_6_B_T3,,,
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,,0.49223716743127927
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,,,
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,0.48815374563429825
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,
FSO2013_Ratio M/L normalized Rep1___1,,,0.4926295330142309
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,,,
RB2022_5_PreEndurance,,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,,,0.4693656240594967
WZ2023_Pu_010_30min,,0.6545880665585828,0.46751487450932333
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,,,
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,,,
RB2022_8_RecoveryEndurance,,,
KBE2022_Log2_Ex_14_U,,,
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,,,0.4816139422575526
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,,,
RB2022_5_PreSprint,,,
PG2020_Intensity 8h_C,,,
AH2018_SILAC_MR_2_N,,,
MV2014_Ratio M/L normalized A1___2 (2 min),,,
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,,,0.4969014870118136
AS2011_Ratio H/L Proteins Inhi_2,,0.6525147747580582,
BS2014_Log2(Ratio H/L normalized),,,0.4822637435020665
UK2020_HCM_2,,,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,,,0.4594532563155754
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,,,
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,,,
GF2025_P6_Sph,,,
RB2022_2_PreSprint,,,
ZX2022_CB treated Replicate 3,,,
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,,0.6491436716872448,0.4814519013290701
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,,,0.4883656266673222
KBE2022_Log2_Ex_34_U,,,
WZ2023_Pu_005_10min,,0.6500136748682861,0.463426713915352
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,,,0.47979540223224076
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,
LG2023_GSK3α-1_intensity,,,
WZ2023_Pu_025_30min,,0.6521175764485945,0.4715096933412484
AH2018_SILAC_MR_2_X,,,
HS2024_4_PD_T2,,,
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,,,
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,,,0.4986731010093392
FR2021_Norm.Intensity.B,,,
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,
RB2022_5_PostSprint,,,
EJN2021_3_Rest_Basal,,,
CR2017_Ratio Replicate 1.3,,,0.49686358757892357
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,,,
HS2024_7_PD_T2,,,
FSO2013_Ratio H/L normalized Rep1___1,,,0.4743519436850438
AH2018_LFQ_1_C,,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,
KBE2022_Log2_Ex_28_T,,,
HS2024_3_B_N1,,,
RM2024_Intensity D4-2___3,,,
WZ2023_Pe_025_30min,,0.651980503588615,0.47789018951069456
CK2022_11 40-1,,,0.48039956401717193
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,
AH2018_SILAC_2_X,,,
MV2014_Ratio H/M normalized A2___2 (2 min),,,
AS2011_Ratio H/L RNAi_1_2,,,
KS2014_Intensity E15_1,,,0.4910175047303996
FSO2013_Ratio H/L normalized Rep2,,,0.47149280231258417
WZ2023_Pu_005_20min,,0.6547683031722987,0.470045726224765
NJH2024_Sub10_MICT_Post,,,
RM2024_Intensity D2-3___1,,,
CR2017_Ratio Replicate 1.5,,,0.49304337699022655
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,
HS2024_7_B_T3,,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,
AS2011_Ratio H/L RNAi_1,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,
AH2018_LFQ_M_1_C,,,
NJH2025_Sub7_MICT_Pre,,,
SR2019_SKBR3_Biol_repl_2,,,
HS2024_9_B_T2,,,
KTGR2014_Ratio-AA 7 mins,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,
HS2024_3_PD_T1,,,
FSO2013_Ratio M/L normalized Rep3___2,,,
SR2019_BT549_Biol_repl_3,,,
RCJD2014_20min_mean,,,0.5005558695413952
FR2021_Norm.Intensity.H,,,
RB2022_2_PreStrength,,,
DB2022_LFQ intensity L1.2,,,
HS2024_4_B_N1,,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,
CK2022_1 16-1,,,0.49360069481323593
CK2022_1 200-1,,,0.48852432876534047
PG2020_Intensity Mock_10h_D,,,
SR2019_MCF10A_Biol_repl_2,,,
JJ2018_Ratio M/L normalized pP2___2,,,
HS2024_6_PD_T1,,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,
RB2022_6_RecoveryEndurance,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,
EP2017_Mitotic R#2 normalized log2 ratio,,,0.518753063416623
RCJD2014_5min_1,,,0.4794582816227038
RM2024_Intensity D4-1___1,,,
DL2023_24h-1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,
TM2022_S2.4h.C,,,
SAS2015_PLX/AZD_Exp2,,,
CR2017_Ratio Replicate 3.3,,,0.4996722841081833
PG2020_Intensity 2h_C,,,
VOI2024_Veh2 di,,,
ZX2022_CB treated Replicate 2,,,
KBE2022_Log2_Ex_8_T,,,
NJH2025_Sub10_MICT_Post,,,
HS2024_6_I_T3,,,
RN2012_L11,,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,
IMM2018_normalised rep. int. Empty-1,,,
HS2024_5_PD_T1,,,
AH2018_LFQ_M_2_C,,,
CK2022_3 40-1,,,0.48291793012618933
RBK2021_1260T Early,,,
NJH2024_Sub4_HIIT_Post,,,
HS2024_4_I_T1,,,
YA2020_Reporter_intensity_Cancer_No.5,,,
HH2022_Reporter intensity 8,,0.6330838759797167,
ZQ2022_N2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,
FSO2013_Ratio H/L normalized Rep3___3,,,
AH2018_TMTMS3_2_N,,,0.4886526749931297
EJN2021_5_Rest_Basal,,,
NJH2025_Sub2_HIIT_Post,,,
NJH2025_Sub1_MICT_Post,,,
HS2024_9_B_T1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,
JAW2011_Ratio H/L LS2_1,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,
NJH2024_Sub6_HIIT_Pre,,,
AH2018_SILAC_3_N,,,
YA2020_Reporter_intensity_Normal_No.1,,,
HS2024_3_B_T1,,,
JJ2018_Ratio H/L normalized___2,,,
RM2024_Intensity D0-2,,,
MV2014_Ratio M/L normalized B1___2 (5 min),,,
RB2022_7_PostStrength,,,
RB2022_1_PostEndurance,,,
CR2017_Ratio Replicate 3,,,0.4875837408967246
SR2019_Hs578T_Biol_repl_3,,,
MV2014_Ratio L/H normalized B3___1 (5 min),,,
RBK2021_1244T Early,,,
RB2022_3_PostSprint,,,
NJH2024_Sub13_MICT_Mid,,,
KTGR2014_Ratio-AA 2 mins,,,
GF2025_P7_Sph,,,
HS2024_8_I_T3,,,
CF2017_EOC 3,,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,,
HS2024_6_PD_T3,,,
DL2023_12h-2,,,
RM2024_Intensity D6-3___1,,,
FS2019_Ctr1,,,
WZ2023_Pu_010_20min,,0.6530301542498661,0.469187613537073
AS2011_Ratio H/L_3,,,
CK2022_1 40-1,,,0.48146497335273514
RNJ2017_Log2_ratio_Tsup:Trest_D1,,,
CK2022_8 16-1,,,0.49270202824941517
KS2014_Intensity N3,,,0.5199357178520451
RB2022_4_RecoveryEndurance,,,
RB2022_5_RecoveryEndurance,,,
JAW2011_Ratio H/L LS1a_2,,,
NJH2024_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_N,,,
FSO2013_Ratio H/M normalized Rep2,,,0.4772664967085623
RAM2015_Log2 A,0.31018463929815504,,0.4480400565851856
HS2024_8_PD_T1,,,
JJ2018_Ratio H/L normalized pP2,,,
CF2017_OSE 27,,,
KS2014_Intensity E15_2,,,0.4802709265600002
BS2014_Log2(Ratio H/L protein),,,
PG2020_Intensity 8h_A,,,
HS2024_7_I_T1,,,
VOI2024_Veh3 di,,,
RKK2015_TNF-α+SC-514/basal,,,
SR2019_JIMT1_Biol_repl_1,,,
HW2015_Ratio H/L normalized Exp2,,,
HS2024_3_I_N1,,,
AH2018_SILAC_M_3_X,,,
NJH2024_Sub9_HIIT_Post,,,
AS2011_Ratio H/L RNAi_1_3,,,
GRW2016_Ratio H/L normalized SILAC 1___2,,,
NJH2025_Sub1_HIIT_Pre,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,,
NJH2024_Sub4_HIIT_Mid,,,
VOI2024_0.1uM 2 h_1 di,,,
KBE2022_Log2_Ex_6_T,,,
RM2024_Intensity D4-3___1,,,
AH2018_LFQ_4_X,,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,
RB2022_8_PostEndurance,,,
NJH2025_Sub4_MICT_Mid,,,
YP2020_Intensity C30_R1_mult_log2,,,
AST2020_anti-CD3.1,,,0.4879572921664261
NJH2025_Sub4_HIIT_Post,,,
EP2017_Untreated R#4 log2 ratio,,,0.4688437953863977
HS2024_6_B_N1,,,
KBE2022_Log2_Ex_27_T,,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,,
VOI2024_0.1uM 24 h_1 mono,,,
AMK2021_120R_p5,,,
AS2011_Ratio H/L Proteins,,0.6621935750819186,
NJH2024_Sub7_HIIT_Post,,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,,
AS2011_Ratio H/L RNAi_2_2,,,
RB2022_7_RecoveryStrength,,,
AH2018_SILAC_IT_3_X,,,
JAW2011_Ratio H/L,,,
PG2020_Intensity 10h_C,,,
FSO2013_Ratio M/L normalized Rep2,,,0.47189459582493
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,,
HH2022_Reporter intensity 5,,0.6392028987729284,
SR2019_HCC1954_Biol_repl_2,,,
CK2022_14 40-1,,,0.4830383865769243
RB2022_6_PreSprint,,,
NJH2025_Sub12_MICT_Mid,,,
PG2020_Intensity 4h_D,,,
NJH2025_Sub2_MICT_Post,,,
AH2018_LFQ_4_C,,,
DL2023_control-1,,,
AR2021_ALG 10 μM,,,0.49411604541437143
JAW2011_Ratio H/L LS2_2,,,
AH2018_SILAC_IT_3_N,,,
EJN2021_4_Rest_Ins,,,
RN2012_H05,,,
NJH2024_Sub7_HIIT_Mid,,,
GF2025_P2_Adh,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,,
RB2022_8_PostSprint,,,
EJN2021_1_Rest_Ins,,,
HH2022_Reporter intensity 3,,0.6688571689810014,0.48699065675754283
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,,
AH2018_SILAC_IT_1_C,,,
JW2021_After_3,,,
GF2025_P8_Sph,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,,
JJ2018_Ratio M/L normalized pP2___1,,,
AH2018_SILAC_2_N,,,
CK2022_11 200-1,,,0.4849549434941396
CK2022_12 200-1,,,0.48541169392228267
AS2011_Ratio H/L Normalized by Protein RNAi_1,,,
RM2024_Intensity D2-1___3,,,
NJH2024_Sub1_MICT_Pre,,,
HH2022_Reporter intensity 9,,0.6380091480205913,
WZ2023_Su_010_20min,,0.6534056722943239,
AH2018_TMTMS2_2_N,,,0.482960854553588
NJH2024_Sub13_MICT_Pre,,,
KBE2022_Log2_Ex_41_U,,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,,
AH2018_TMTMS3_Pool,,,0.49220844000279873
KS2014_Intensity N4,,,0.5202345809372898
NJH2024_Sub1_HIIT_Post,,,
MM2018_Ratio H/L replicate2,,,
RM2024_Intensity D4-2___2,,,
NJH2024_Sub13_HIIT_Pre,,,
CF2017_OSE 26,,,
CK2022_14 200-1,,,0.48870312700206087
SR2019_Hs578T_Biol_repl_1,,,
RB2022_7_PostSprint,,,
TM2022_mock.4h.A,,,
NJH2025_Sub12_HIIT_Pre,,,
AH2018_TMTMS3_1_N,,,0.49290251963283516
AST2020_anti-CD3+PDL2.2,,,0.4885188316432305
PG2020_Intensity Mock_10h_A,,,
JW2021_After_2,,,
NJH2024_Sub2_MICT_Post,,,
EJN2021_2_Rest_Ins,,,
SR2019_LM2_Biol_repl_4,,,
CP2009_Ratio H/M,,,
JAW2011_Ratio H/L HS,,,
CK2022_13 16-1,,,0.4898524539946656
GF2025_P1_Adh,,,
GF2025_P1_Sph,,,
EJN2021_5_Ex_Basal,,,
HS2024_7_I_T3,,,
JJ2018_Ratio H/L normalized pP2___2,,,
WZ2023_Pe_010_10min,,0.6502684099195654,0.48177335464896187
CF2017_EOC 1,,,
CK2022_3 200-1,,,0.4886117646619547
AH2018_LFQ_IT_3_C,,,
SR2019_Hs578T_Biol_repl_2,,,
NJH2024_Sub12_HIIT_Post,,,
JJ2018_Ratio H/L normalized pP1___2,,,
MV2014_Ratio H/L normalized A1___2 (10 min),,,
NJH2024_Sub10_MICT_Mid,,,
NJH2024_Sub13_MICT_Post,,,
BS2014_Log2(Ratio H/L normalized Rep_1),,,0.4847004693060617
RB2022_3_RecoverySprint,,,
NJH2025_Sub1_HIIT_Mid,,,
RCJD2014_20min_2,,,0.48354798564218465
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,,
HS2024_6_PD_T2,,,
HS2024_5_B_T1,,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,,
DL2023_12h-3,,,
SR2019_MDAMB231_Biol_repl_2,,,
HS2024_3_B_T2,,,
RB2022_6_PreStrength,,,
CK2022_2 40-1,,,0.48201155634313414
RB2022_1_PostSprint,,,
CK2022_4 200-1,,,0.48816687365667194
JW2021_Before_2,,,
TM2022_S2.12h.A,,,
MV2014_Ratio L/M normalized B2___2 (30 min),,,
CK2022_5 16-1,,,0.4935306861566879
AR2021_ALG 1 μM,,,0.48379480434449706
HS2024_4_B_T1,,,
MV2014_Ratio M/H normalized A3___1 (10 min),,,
SR2019_BT549_Biol_repl_4,,,
EJN2021_1_Rest_Basal,,,
NJH2025_Sub8_MICT_Post,,,
RCJD2014_5min_3,,,0.4956686217708876
CR2017_Ratio Replicate 3.2,,,0.4900759069242789
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,,
GF2025_P7_Adh,,,
CK2022_9 16-1,,,0.4914301607750382
NJH2024_Sub6_HIIT_Post,,,
AMK2021_30R_p3,,,
AS2011_Ratio H/L Normalized RNAi_2,,,
RM2024_Intensity D0-2___2,,,
KS2014_Intensity pY_N4,,,
CK2022_13 200-1,,,0.48875980610046277
AS2011_Ratio H/L Normalized_2,,,
PG2020_Intensity 6h_D,,,
CK2022_16 16-1,,,0.4907477485723133
FS2019_db/db3,,,
CK2022_15 40-1,,,0.48385034193723003
NJH2024_Sub9_MICT_Pre,,,
BS2014_Log2(Ratio H/L unmodified peptide),,,
WZ2023_Su_005_10min,,0.6547757495519504,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,,
KBE2022_Log2_Ex_41_T,,,
AMK2021_Ctrl_p1,,,
AH2018_LFQ_IT_3_X,,,
HS2024_5_PD_T3,,,
AH2018_TMTMS3_3_X,,,0.4942175858854615
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,,
KBE2022_Log2_Ex_40_U,,,
AH2018_LFQ_M_1_N,,,
KBE2022_Log2_Ex_27_U,,,
HW2015_Ratio M/L normalized Exp3,,,
RKK2015_TNF-α/IKKb(K44M),,,
AH2018_SILAC_M_1_N,,,
HW2015_Ratio M/L normalized Exp1,,,
RB2022_5_RecoveryStrength,,,
YP2020_Intensity P10_R1_mult_log2,,,
RB2022_7_PreStrength,,,
YA2020_Reporter_intensity_Normal_No.4,,,
NJH2025_Sub13_HIIT_Pre,,,
PG2020_Intensity CT_D,,,
NJH2025_Sub9_MICT_Post,,,
VOI2024_Veh1 mono,,,
CK2022_12 16-1,,,0.48730082424451787
RN2012_L13,,,
LG2023_Control-1_intensity,,,
RM2024_Intensity D6-3___2,,,
KBE2022_Log2_Ex_8_U,,,
SR2019_SKBR3_Biol_repl_3,,,
NJH2024_Sub1_MICT_Post,,,
HS2024_3_I_T2,,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,,
RM2024_Intensity D0-3___3,,,
HS2024_6_I_T2,,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,,
AS2011_Ratio H/L Protein Inhi_1,,,
FSO2013_Ratio H/M normalized Rep2___1,,,0.4818906333819058
