DatasetName,NBAS_S(1877) NBAS_S(1937),NBAS_S(11) NBAS_S(29) NBAS_S(473) NBAS_S(475)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,0.5792130733121736
FSO2013_Ratio M/L normalized Rep3,,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,0.6236743381545571
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,0.5546312055535654
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.44339641782687467,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.581113063807284
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,0.5490037352411307
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,0.5489169465762551
RB2022_5_PreEndurance,,0.5707976127251801
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,
WZ2023_Pu_010_30min,,0.576483642359912
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,0.5902442405064574
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,0.5765112743086607
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.5917814827312146
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.4807497221026069,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,0.5769874168738647
UK2020_HCM_2,,0.5449976986582383
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,0.5818356757122514
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.5705894244332379
GF2025_P6_Sph,0.5568952367543398,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,0.5655844125424954
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.573414829645892
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,0.5477717445696355
