DatasetName,COIL_S(105) COIL_S(202) COIL_S(217) COIL_S(218) COIL_S(226) COIL_S(232) COIL_S(233) COIL_S(235) COIL_S(269) COIL_S(271) COIL_S(272) COIL_S(280) COIL_S(297) COIL_S(301) COIL_S(305) COIL_S(358) COIL_S(382) COIL_S(446) COIL_S(447) COIL_S(486) COIL_S(487) COIL_S(489) COIL_S(557) COIL_S(561) COIL_S(566) COIL_S(568) COIL_S(571) COIL_S(94) COIL_T(122) COIL_T(290) COIL_T(297) COIL_T(303) COIL_T(444) COIL_T(456),COIL_T(126)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.4984200105948805,
FSO2013_Ratio M/L normalized Rep3,0.4912463368120102,
SR2019_MCF7_Biol_repl_3,0.4962900928425782,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.48854943295711273,
SR2019_LM2_Biol_repl_1,0.48968278040101637,
RCJD2014_15min_1,0.5020168098107123,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.49699553344364145,
NJH2025_Sub12_HIIT_Mid,0.49268335487294457,
AH2018_LFQ_IT_1_C,0.49486764865352045,
RKK2015_TNF-α/basal,0.5031480600681328,
JJ2018_Ratio H/M normalized pP2,0.4945516432286455,
NJH2025_Sub12_MICT_Pre,0.4933664433935661,
NJH2025_Sub7_MICT_Post,0.4940150261133208,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5032606741208641,
HS2024_6_B_T3,0.5190302012366006,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5048910320657428,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.4958722991910344,
SR2019_MDAMB231_Biol_repl_4,0.4928280232947691,
GF2025_P2_Sph,0.49422677394517023,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,0.49384708718213294,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,0.4940988266023233,
KBE2022_Log2_Ex_44_T,0.5018753416196859,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.4970503520809219,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.48834352197851366,
FSO2013_Ratio M/L normalized Rep1___1,0.495955100233004,
SAS2015_AZD/DMSO_Exp3,0.5043550385550898,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.4988086030176696,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5023593932188615,
WZ2023_Pu_010_30min,0.5090687898276297,0.7832275270808052
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.49517711926783103,
NJH2024_Sub4_MICT_Post,0.49508568270172,
AH2018_LFQ_M_1_X,0.49377784787031365,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.498715345851116,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.49916081254804695,
JJ2018_Ratio H/L normalized___1,0.4924612136497539,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.503699959103319,
AH2018_SILAC_MR_2_N,0.48744783404235176,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.49772940286757716,
MV2014_Ratio M/H normalized B3___1 (30 min),0.49208613098938725,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,0.49351516738356516,
LY2019_P1+,0.49231503967498147,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5030651670621542,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.48635559032248754,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,0.49548632611520727,
TM2022_S2.4h.A,0.4967830763472177,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.4959794951479683,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5029052539593939,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5071350313399696,0.768485174023161
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.4991249277975811,
WZ2023_Pu_005_10min,0.5085615538501154,0.7843079208614397
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,0.4967719393460546,
CK2022_9 40-1,0.5000466518741601,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,0.4868751522454238,
WZ2023_Pu_025_30min,0.5086002801834653,0.7905834603805015
AH2018_SILAC_MR_2_X,0.49179103469368557,
HS2024_4_PD_T2,0.5236659028137098,
NJH2024_Sub4_HIIT_Pre,0.4948821284843974,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,0.49125724482486854,
CR2017_Ratio Replicate 1.4,0.49091292816202775,
FR2021_Norm.Intensity.B,0.49796446126661775,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.4982529106096756,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,0.4931606365838923,
CR2017_Ratio Replicate 1.3,0.4880779798238245,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.49478646569335266,
JJ2018_Ratio M/L normalized pP3,0.49338394133752883,
AH2018_SILAC_M_2_N,0.49658451311014695,
HS2024_7_PD_T2,0.4921885238241747,
FSO2013_Ratio H/L normalized Rep1___1,0.5023791637961481,
AH2018_LFQ_1_C,0.49743828509589116,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5026500482787649,
HS2024_3_B_N1,0.5041463132139841,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5068910944336005,0.7643538517064452
CK2022_11 40-1,0.4996526214110554,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.49603224714468497,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.4905066466850073,
FSO2013_Ratio H/L normalized Rep2,0.49771302250224575,
WZ2023_Pu_005_20min,0.5086893244772922,0.7753472651906865
NJH2024_Sub10_MICT_Post,0.4913209605283792,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.4960608955176328,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.4807509616297337,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.49694229933688966,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.4973896960832202,
NJH2025_Sub7_MICT_Pre,0.4938880102071188,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.4866450538043253,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.512120786341719,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,0.4880323482891399,
FR2021_Norm.Intensity.H,0.493576107166706,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.4906201004062558,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.496010926809918,
CK2022_1 200-1,0.5015088001380875,
PG2020_Intensity Mock_10h_D,0.4907145188961941,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.480052515809257,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,0.495793155173862,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.4914437418723665,
RCJD2014_5min_1,0.49735077650924425,
