DatasetName,CIC_S(105) CIC_S(1051) CIC_S(1055) CIC_S(1079) CIC_S(1080) CIC_S(1082) CIC_S(1188) CIC_S(1194) CIC_S(1243) CIC_S(1245) CIC_S(1246) CIC_S(1294) CIC_S(1344) CIC_S(1345) CIC_S(1351) CIC_S(1371) CIC_S(1373) CIC_S(1378) CIC_S(1380) CIC_S(1382) CIC_S(1397) CIC_S(14) CIC_S(1402) CIC_S(1405) CIC_S(1409) CIC_S(1418) CIC_S(142) CIC_S(1429) CIC_S(146) CIC_S(1514) CIC_S(157) CIC_S(16) CIC_S(1609) CIC_S(1630) CIC_S(1639) CIC_S(1648) CIC_S(173) CIC_S(175) CIC_S(1808) CIC_S(1811) CIC_S(1813) CIC_S(191) CIC_S(2) CIC_S(20) CIC_S(2153) CIC_S(2201) CIC_S(225) CIC_S(227) CIC_S(2275) CIC_S(2279) CIC_S(2284) CIC_S(2288) CIC_S(2295) CIC_S(2299) CIC_S(2303) CIC_S(2308) CIC_S(2311) CIC_S(2315) CIC_S(277) CIC_S(278) CIC_S(279) CIC_S(299) CIC_S(3) CIC_S(301) CIC_S(356) CIC_S(423) CIC_S(428) CIC_S(431) CIC_S(436) CIC_S(442) CIC_S(456) CIC_S(459) CIC_S(496) CIC_S(54) CIC_S(55) CIC_S(565) CIC_S(585) CIC_S(605) CIC_S(645) CIC_S(650) CIC_S(662) CIC_S(664) CIC_S(700) CIC_S(710) CIC_S(721) CIC_S(739) CIC_S(766) CIC_S(768) CIC_S(776) CIC_S(778) CIC_S(780) CIC_S(809) CIC_S(9) CIC_S(902) CIC_S(904) CIC_S(946) CIC_T(1053) CIC_T(1228) CIC_T(1291) CIC_T(1318) CIC_T(1375) CIC_T(1379) CIC_T(1381) CIC_T(1398) CIC_T(1406) CIC_T(1408) CIC_T(1426) CIC_T(144) CIC_T(1492) CIC_T(171) CIC_T(2198) CIC_T(2314) CIC_T(3) CIC_T(435) CIC_T(472) CIC_T(489) CIC_T(583) CIC_T(667) CIC_T(674) CIC_T(704) CIC_T(755),CIC_S(1173) CIC_S(1340) CIC_S(154) CIC_S(307)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5184328672752379,
FSO2013_Ratio M/L normalized Rep3,0.5215066493737128,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5219032533703334,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5186469446264409,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.513801839978281,
RKK2015_TNF-α/basal,0.5168536394291685,
JJ2018_Ratio H/M normalized pP2,0.5174975894010354,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.517364236640159,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,0.5098636951164224,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.517358919783365,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5140461637770362,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5200992981245411,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5207643624553786,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5172517042341601,
AST2020_anti-CD3.2,0.5176144187112655,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5130908744569818,
FSO2013_Ratio M/L normalized Rep1___1,0.5174200388113462,
SAS2015_AZD/DMSO_Exp3,0.5176454104189558,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,0.5160546892707569,
RB2022_8_RecoverySprint,0.5194012315377716,
RB2022_5_PreEndurance,0.5180518064422289,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.5191927654067393,
EP2017_Untreated R#4 normalized log2 ratio,0.5186494493962717,
WZ2023_Pu_010_30min,0.5214859774208664,
AS2011_Ratio H/L Proteins RNAi_2,,
