DatasetName,DSTN_C(25) DSTN_S(155) DSTN_S(24) DSTN_S(3) DSTN_S(71) DSTN_S(88),DSTN_S(12)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.48050778387146154,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.4709776861643578,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.47779858485485055,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.47369321999204334,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.4455274165125566,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,0.5219017611365596,
FSO2013_Ratio M/L normalized Rep1,0.44946508162743565,
SR2019_MDAMB231_Biol_repl_4,0.48278023864277914,
GF2025_P2_Sph,0.4710492505225152,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.4808250468957637,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.4499339723995966,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.47907888197574766,
WZ2023_Pu_010_30min,0.4742722764963161,0.9617174688925996
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5277047084931455,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.4785440041667761,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.47365502965930006,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.45249057506441037,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5076121371035921,
AH2018_SILAC_MR_2_N,0.4713895961720085,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.45417577480321847,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.48366198993701476,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.47824224115939334,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.44325780728983494,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.48284864572542346,0.9675525218134564
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.48483879966395965,
WZ2023_Pu_005_10min,0.49001780348548385,0.974370842057681
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.47309008132624036,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.475195543772506,0.9585602720645284
AH2018_SILAC_MR_2_X,0.5267838487454024,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.4494240935181412,
FR2021_Norm.Intensity.B,0.5074364570742125,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.4797550379050855,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,0.4545747373050935,
CR2017_Ratio Replicate 1.3,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,0.5094073513401047,
AH2018_SILAC_3_X,0.4637242667879429,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5054124172033916,
HS2024_7_PD_T2,0.4867119435485447,
FSO2013_Ratio H/L normalized Rep1___1,,
AH2018_LFQ_1_C,0.412080657057532,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.4759985108028721,
HS2024_3_B_N1,0.45549272096795046,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.47812029179603965,0.9676404867018096
CK2022_11 40-1,0.47348299265123184,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5041734300702344,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5090902856526686,
FSO2013_Ratio H/L normalized Rep2,,
WZ2023_Pu_005_20min,0.4703723720748794,0.9646235335250708
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5097699104434597,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.46740152574227717,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,0.5103187241553232,
AH2018_LFQ_M_1_C,0.5259201825670972,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.4886587057567171,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.4430951901404569,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.48083051118691955,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,0.5049396800483114,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,0.46075364028244525,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.47489919106370154,
CK2022_1 200-1,0.49657223630704594,
PG2020_Intensity Mock_10h_D,0.4678891289339196,
SR2019_MCF10A_Biol_repl_2,0.48229703760563697,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.45470837336601716,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.4952279862743385,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.46992077532385546,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,
PG2020_Intensity 2h_C,0.4617806645092491,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.44253828181614113,
KBE2022_Log2_Ex_8_T,0.475972901706972,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.44084038720544655,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5214716996063772,
CK2022_3 40-1,0.47522949180706603,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.45593980481470003,
YA2020_Reporter_intensity_Cancer_No.5,0.4554299832796381,
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.5032476534103789,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.4752947754441343,
EJN2021_5_Rest_Basal,0.45199156545056524,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.46378207345192574,
YA2020_Reporter_intensity_Normal_No.1,0.4540363949580171,
HS2024_3_B_T1,0.4581385248046661,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.4795158657558843,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.4755834411609305,
HS2024_8_I_T3,,
CF2017_EOC 3,0.4244775840125407,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.4492883675828989,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,0.5136164381156733,
WZ2023_Pu_010_20min,0.4723836306267562,0.9676901371741464
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.4747003584237124,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.47901598438679877,
KS2014_Intensity N3,0.48821501787860805,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.47954143659868304,
FSO2013_Ratio H/M normalized Rep2,0.47133870873310085,
RAM2015_Log2 A,0.4432585235613564,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,0.47838299792537536,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5066442314226424,
HS2024_7_I_T1,0.4810077842583533,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,0.46655426214988266,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.4643701352089655,
AH2018_SILAC_M_3_X,0.4661345204291143,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.47215839587215286,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.48030162901593804,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.47973447659771323,
HS2024_6_B_N1,0.46224421021959056,
KBE2022_Log2_Ex_27_T,0.48556901250788426,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,0.4862701489409759,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5069388446950823,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.48932808840402625,
FSO2013_Ratio M/L normalized Rep2,0.468507766853198,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,0.4724821285048925,
CK2022_14 40-1,0.4739807423285048,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.47004515860196205,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5284031425546593,
DL2023_control-1,,
AR2021_ALG 10 μM,0.48095730570770995,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.4590774853617731,
EJN2021_4_Rest_Ins,0.46506096985903334,
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.46556195649638427,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,0.4629186978283011,
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.47636721466786064,
JW2021_After_3,,
GF2025_P8_Sph,0.46584302749491363,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5044799210721689,
CK2022_11 200-1,0.49602691493773343,
CK2022_12 200-1,0.4963807776177316,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.47246852788595234,0.9644982947452692
AH2018_TMTMS2_2_N,0.4711627948395835,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.47960816602138373,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.4747970870276086,
KS2014_Intensity N4,0.5011526333200024,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.49789843603058775,
SR2019_Hs578T_Biol_repl_1,0.484180364378199,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.47049815138497625,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.4647123722111924,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.4577272724523021,
SR2019_LM2_Biol_repl_4,0.4772754367896319,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.474600745098081,
GF2025_P1_Adh,0.4723097180615658,
GF2025_P1_Sph,0.4657619592566436,
EJN2021_5_Ex_Basal,0.45604254886831147,
HS2024_7_I_T3,0.48938303806522027,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.4929714147381356,0.9671943329564257
CF2017_EOC 1,0.4590072222617352,
CK2022_3 200-1,0.4966829669281548,
AH2018_LFQ_IT_3_C,0.5013947884729973,
SR2019_Hs578T_Biol_repl_2,0.47914172860871834,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.46791245123123365,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.4767835279746529,
HS2024_3_B_T2,0.46491518621908395,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.4748493910662452,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.4969193367943974,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.47853465698890885,
AR2021_ALG 1 μM,0.4657232831861713,
HS2024_4_B_T1,0.44607826962189234,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.48039453480318106,
EJN2021_1_Rest_Basal,0.45675871249559147,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.477237900886587,
CK2022_9 16-1,0.47567475016318334,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,0.5146835408625535,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.49636079724602394,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.510261872870845,
CK2022_16 16-1,0.4764628099693456,
FS2019_db/db3,0.5291895528550442,
CK2022_15 40-1,0.47423033876258525,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.46766766186578357,0.9586714491376532
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.47744907355353744,
AMK2021_Ctrl_p1,0.5122526850192346,
AH2018_LFQ_IT_3_X,0.5042111878829499,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.48373462764658504,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.4732884630906511,
AH2018_LFQ_M_1_N,0.5193813751340617,
KBE2022_Log2_Ex_27_U,0.48663746139532416,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.48100458366039806,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.4646087944897717,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.47975032270830753,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.47612312656558636,
RN2012_L13,,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.47611666497772703,
SR2019_SKBR3_Biol_repl_3,0.48856785527357444,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.44805322562247923,
