DatasetName,ESAM_S(13) ESAM_S(276) ESAM_S(312) ESAM_S(315) ESAM_S(336) ESAM_S(338) ESAM_S(388) ESAM_T(309) ESAM_T(314) ESAM_T(332) ESAM_T(334),ESAM_S(311) ESAM_S(366) ESAM_S(367) ESAM_S(6) ESAM_T(274),ESAM_S(305) ESAM_S(330) ESAM_S(339) ESAM_S(344) ESAM_S(359)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,0.5208262157628055,,
FSO2013_Ratio M/L normalized Rep3,,,
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,
RCJD2014_15min_1,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,,,
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,,,
HS2024_6_B_T3,,,0.6127201874248335
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,,
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,,,0.6373585566510375
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,0.6125827365117281
FSO2013_Ratio M/L normalized Rep1___1,,,
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,0.5044492214460583,,0.6454525558906365
RB2022_5_PreEndurance,,,0.6455467752225481
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,,,
WZ2023_Pu_010_30min,0.5121903288625156,0.41997013701348607,0.6747900769508387
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,0.5174298052088524,,
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,,,
RB2022_8_RecoveryEndurance,,,0.6353901729405393
KBE2022_Log2_Ex_14_U,,,
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,,,
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,,,
RB2022_5_PreSprint,0.5167917342120478,,0.6497143486788601
PG2020_Intensity 8h_C,,,
AH2018_SILAC_MR_2_N,,,
MV2014_Ratio M/L normalized A1___2 (2 min),0.5366749529391875,,0.6367986184022472
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),0.5218965439629895,,0.6258776003203593
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,,,
AS2011_Ratio H/L Proteins Inhi_2,,,
BS2014_Log2(Ratio H/L normalized),,,
UK2020_HCM_2,,,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,,,
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,0.5131255664314541,,0.6571150595640499
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,,,0.6180999040848236
GF2025_P6_Sph,,,
RB2022_2_PreSprint,0.5139330609904759,,
ZX2022_CB treated Replicate 3,,,
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,0.49868832876874974,0.42233947443840913,0.6777740673082567
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,,,
KBE2022_Log2_Ex_34_U,,,0.6381199146055074
WZ2023_Pu_005_10min,0.5238635175430437,0.4284778122943168,0.6758832014561367
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,
LG2023_GSK3α-1_intensity,,,
WZ2023_Pu_025_30min,0.5332068851560322,0.4179447271860817,0.6725761991376109
AH2018_SILAC_MR_2_X,,,
HS2024_4_PD_T2,,,0.6259719455329961
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,0.5219145274947854,,
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,,,
FR2021_Norm.Intensity.B,,,
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,
RB2022_5_PostSprint,0.4953853772549246,,0.6364132902502879
EJN2021_3_Rest_Basal,,,
CR2017_Ratio Replicate 1.3,,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,,,
HS2024_7_PD_T2,,,0.6197085102878614
FSO2013_Ratio H/L normalized Rep1___1,,,
AH2018_LFQ_1_C,,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,
KBE2022_Log2_Ex_28_T,,,0.6335085781437598
HS2024_3_B_N1,0.5363228512245946,,0.6292547495064738
RM2024_Intensity D4-2___3,,,
WZ2023_Pe_025_30min,0.5119507533038852,0.41417617077194013,0.6792183183312092
CK2022_11 40-1,,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,
AH2018_SILAC_2_X,,,
MV2014_Ratio H/M normalized A2___2 (2 min),0.5642693799412165,,0.6472896664414229
AS2011_Ratio H/L RNAi_1_2,,,
KS2014_Intensity E15_1,,,
FSO2013_Ratio H/L normalized Rep2,,,
WZ2023_Pu_005_20min,0.5370764146922439,0.42484341950055365,0.6806483958979476
NJH2024_Sub10_MICT_Post,,,
RM2024_Intensity D2-3___1,,,
CR2017_Ratio Replicate 1.5,,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,
HS2024_7_B_T3,,,0.6435751303237112
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,
AS2011_Ratio H/L RNAi_1,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,
AH2018_LFQ_M_1_C,,,
NJH2025_Sub7_MICT_Pre,,,
SR2019_SKBR3_Biol_repl_2,,,
HS2024_9_B_T2,,,0.6298782052694047
KTGR2014_Ratio-AA 7 mins,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,
HS2024_3_PD_T1,0.5020616541253612,,0.6051394751935804
FSO2013_Ratio M/L normalized Rep3___2,,,
SR2019_BT549_Biol_repl_3,,,
RCJD2014_20min_mean,,,
FR2021_Norm.Intensity.H,,,
RB2022_2_PreStrength,0.5049503855618132,,
DB2022_LFQ intensity L1.2,,,
HS2024_4_B_N1,,,0.6484893796307554
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,
CK2022_1 16-1,,,
CK2022_1 200-1,,,
PG2020_Intensity Mock_10h_D,,,
SR2019_MCF10A_Biol_repl_2,,,
JJ2018_Ratio M/L normalized pP2___2,,,
HS2024_6_PD_T1,0.5316389106274705,,0.5760344701819182
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,
RB2022_6_RecoveryEndurance,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,
EP2017_Mitotic R#2 normalized log2 ratio,,,
RCJD2014_5min_1,,,
RM2024_Intensity D4-1___1,,,
DL2023_24h-1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,
TM2022_S2.4h.C,,,
SAS2015_PLX/AZD_Exp2,,,
CR2017_Ratio Replicate 3.3,,,
PG2020_Intensity 2h_C,,,
VOI2024_Veh2 di,,,
ZX2022_CB treated Replicate 2,,,
KBE2022_Log2_Ex_8_T,,,
NJH2025_Sub10_MICT_Post,,,
HS2024_6_I_T3,0.5650123581991537,,0.622374179192942
RN2012_L11,,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,
IMM2018_normalised rep. int. Empty-1,,,
HS2024_5_PD_T1,,,0.6046645453700015
AH2018_LFQ_M_2_C,,,
CK2022_3 40-1,,,
RBK2021_1260T Early,,,
NJH2024_Sub4_HIIT_Post,,,
HS2024_4_I_T1,,,0.6113192289852967
YA2020_Reporter_intensity_Cancer_No.5,,,
HH2022_Reporter intensity 8,,,
ZQ2022_N2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,
FSO2013_Ratio H/L normalized Rep3___3,,,
AH2018_TMTMS3_2_N,,,
EJN2021_5_Rest_Basal,,,
NJH2025_Sub2_HIIT_Post,,,
NJH2025_Sub1_MICT_Post,,,
HS2024_9_B_T1,,,0.6110188914732335
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,
JAW2011_Ratio H/L LS2_1,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,
NJH2024_Sub6_HIIT_Pre,,,
AH2018_SILAC_3_N,,,
YA2020_Reporter_intensity_Normal_No.1,,,
HS2024_3_B_T1,0.49921550592831276,,0.6299150574408074
JJ2018_Ratio H/L normalized___2,,,
RM2024_Intensity D0-2,,,
MV2014_Ratio M/L normalized B1___2 (5 min),0.5260898281590091,,0.6156065138619902
RB2022_7_PostStrength,0.5300990605025396,,0.6177186166103934
RB2022_1_PostEndurance,0.5180052845384426,,
CR2017_Ratio Replicate 3,,,0.6410057267793603
SR2019_Hs578T_Biol_repl_3,,,
MV2014_Ratio L/H normalized B3___1 (5 min),0.5213467215649428,,
RBK2021_1244T Early,,,
RB2022_3_PostSprint,0.48882191986610374,,0.6125172156231413
NJH2024_Sub13_MICT_Mid,,,
KTGR2014_Ratio-AA 2 mins,,,
GF2025_P7_Sph,,,
HS2024_8_I_T3,,,0.5840127842372274
CF2017_EOC 3,,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,,
HS2024_6_PD_T3,0.5216159023822194,,0.6267271263596359
DL2023_12h-2,,,
RM2024_Intensity D6-3___1,,,
FS2019_Ctr1,,,
WZ2023_Pu_010_20min,0.515691583768075,0.4269628001625098,0.6779505039022483
AS2011_Ratio H/L_3,,,
CK2022_1 40-1,,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,,
CK2022_8 16-1,,,
KS2014_Intensity N3,,,
RB2022_4_RecoveryEndurance,0.5062865927259629,,
RB2022_5_RecoveryEndurance,0.5194327332351186,,0.6397200118603926
JAW2011_Ratio H/L LS1a_2,,,
NJH2024_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_N,,,
FSO2013_Ratio H/M normalized Rep2,,,
RAM2015_Log2 A,,,
HS2024_8_PD_T1,,,0.5834861378092151
JJ2018_Ratio H/L normalized pP2,,,
CF2017_OSE 27,,,
KS2014_Intensity E15_2,,,
BS2014_Log2(Ratio H/L protein),,,
PG2020_Intensity 8h_A,,,
HS2024_7_I_T1,,,0.6154835711844477
VOI2024_Veh3 di,,,
RKK2015_TNF-α+SC-514/basal,,,
SR2019_JIMT1_Biol_repl_1,,,
HW2015_Ratio H/L normalized Exp2,,,
HS2024_3_I_N1,0.5264922756888963,,0.6186677266033022
AH2018_SILAC_M_3_X,,,
NJH2024_Sub9_HIIT_Post,,,
AS2011_Ratio H/L RNAi_1_3,,,
GRW2016_Ratio H/L normalized SILAC 1___2,,,
NJH2025_Sub1_HIIT_Pre,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,,
NJH2024_Sub4_HIIT_Mid,,,
VOI2024_0.1uM 2 h_1 di,,,
KBE2022_Log2_Ex_6_T,,,0.6320654512965088
RM2024_Intensity D4-3___1,,,
AH2018_LFQ_4_X,,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,
RB2022_8_PostEndurance,,,0.6166797554141292
NJH2025_Sub4_MICT_Mid,,,
YP2020_Intensity C30_R1_mult_log2,,,
AST2020_anti-CD3.1,,,
NJH2025_Sub4_HIIT_Post,,,
EP2017_Untreated R#4 log2 ratio,,,
HS2024_6_B_N1,0.570889260928714,,0.6379616444620286
KBE2022_Log2_Ex_27_T,,,0.6443879571035435
CW2012_10 µM Gef/control Experiment 1 Replicate A,,,
VOI2024_0.1uM 24 h_1 mono,,,
AMK2021_120R_p5,,,
AS2011_Ratio H/L Proteins,,,
NJH2024_Sub7_HIIT_Post,,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.5140544957472387,0.4045762669716367,
AS2011_Ratio H/L RNAi_2_2,,,
RB2022_7_RecoveryStrength,0.5198183755226572,,0.6426911384394478
AH2018_SILAC_IT_3_X,,,
JAW2011_Ratio H/L,,,
PG2020_Intensity 10h_C,,,
FSO2013_Ratio M/L normalized Rep2,,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,,
HH2022_Reporter intensity 5,,,
SR2019_HCC1954_Biol_repl_2,,,
CK2022_14 40-1,,,
RB2022_6_PreSprint,,,
NJH2025_Sub12_MICT_Mid,,,
PG2020_Intensity 4h_D,,,
NJH2025_Sub2_MICT_Post,,,
AH2018_LFQ_4_C,,,
DL2023_control-1,,,
AR2021_ALG 10 μM,,,
JAW2011_Ratio H/L LS2_2,,,
AH2018_SILAC_IT_3_N,,,
EJN2021_4_Rest_Ins,,,
RN2012_H05,,,
NJH2024_Sub7_HIIT_Mid,,,
GF2025_P2_Adh,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,,
RB2022_8_PostSprint,,,0.6301165117873913
EJN2021_1_Rest_Ins,,,
HH2022_Reporter intensity 3,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,,
AH2018_SILAC_IT_1_C,,,
JW2021_After_3,,,
GF2025_P8_Sph,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,,
JJ2018_Ratio M/L normalized pP2___1,,,
AH2018_SILAC_2_N,,,
CK2022_11 200-1,,,
CK2022_12 200-1,,,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,,
RM2024_Intensity D2-1___3,,,
NJH2024_Sub1_MICT_Pre,,,
HH2022_Reporter intensity 9,,,
WZ2023_Su_010_20min,0.54212212455847,0.442408841081539,0.6872401744976744
AH2018_TMTMS2_2_N,,,
NJH2024_Sub13_MICT_Pre,,,
KBE2022_Log2_Ex_41_U,,,0.6369924083497711
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.523121083841664,0.42741101891329525,
AH2018_TMTMS3_Pool,,,
KS2014_Intensity N4,,,
NJH2024_Sub1_HIIT_Post,,,
MM2018_Ratio H/L replicate2,,,
RM2024_Intensity D4-2___2,,,
NJH2024_Sub13_HIIT_Pre,,,
CF2017_OSE 26,,,
CK2022_14 200-1,,,
SR2019_Hs578T_Biol_repl_1,,,
RB2022_7_PostSprint,0.5002392942962613,,0.6132134473631956
TM2022_mock.4h.A,,,
