DatasetName,CFL2_S(1) CFL2_S(24),CFL2_S(314) CFL2_T(6),CFL2_S(3)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,0.6876716523894592,,0.6574534076551171
FSO2013_Ratio M/L normalized Rep3,,,0.6035632690133362
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,0.5464810974015475
RCJD2014_15min_1,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,,,0.7510430487213489
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,,,0.5935644828102542
HS2024_6_B_T3,,,
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,,0.4233754627555914
SR2019_MDAMB231_Biol_repl_4,,,0.4694573932281299
GF2025_P2_Sph,,,0.5949635458080877
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,,,0.562239663677206
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,
FSO2013_Ratio M/L normalized Rep1___1,,,0.425597261954393
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,0.6966182869392556,0.5406964650860405,0.5197042065636426
RB2022_5_PreEndurance,0.6972224475429318,,0.6332355304222265
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,,,
WZ2023_Pu_010_30min,,0.5392184316611778,0.8215189302001987
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,0.7022672947691784,,0.5958858622929998
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,,,
RB2022_8_RecoveryEndurance,0.5365984546574876,0.4370088482294884,
KBE2022_Log2_Ex_14_U,,,0.5450544690250453
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,,0.4017275731783536,
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,,,
RB2022_5_PreSprint,0.6567880140296563,,0.5468352856703076
PG2020_Intensity 8h_C,,,0.6016441840159881
AH2018_SILAC_MR_2_N,,0.5140486979863549,
MV2014_Ratio M/L normalized A1___2 (2 min),,,
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,,,0.2502193797692947
AS2011_Ratio H/L Proteins Inhi_2,,,
BS2014_Log2(Ratio H/L normalized),,,
UK2020_HCM_2,,,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,,,
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,0.6821266845759708,,0.5564742573625528
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,0.5228120224030028,,
GF2025_P6_Sph,,,0.5867544952416793
RB2022_2_PreSprint,,0.5286546873311001,0.5925896564546375
ZX2022_CB treated Replicate 3,,,0.6109894234360995
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,,0.540359542018851,0.8280950003916562
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,,,
KBE2022_Log2_Ex_34_U,,,0.5866117001833904
WZ2023_Pu_005_10min,,0.542617701381066,0.8188009589011902
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,,,0.6408694859173246
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,0.5034981294425379
LG2023_GSK3α-1_intensity,,,
WZ2023_Pu_025_30min,,0.5335479839958821,0.81221536985719
AH2018_SILAC_MR_2_X,,0.5122295963595693,
HS2024_4_PD_T2,,,
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,,0.553409960608762,0.6140359852116041
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,,,
FR2021_Norm.Intensity.B,,,0.5805146948173971
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,0.6947824057259299
RB2022_5_PostSprint,0.6567807237955636,,0.6543720336354547
EJN2021_3_Rest_Basal,0.6537038675337883,,0.6280415959185512
CR2017_Ratio Replicate 1.3,,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,0.7894721174261168
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,,,
HS2024_7_PD_T2,,,0.7439769771855178
FSO2013_Ratio H/L normalized Rep1___1,,,
AH2018_LFQ_1_C,,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,
KBE2022_Log2_Ex_28_T,,,0.546273842272567
HS2024_3_B_N1,,,0.4271958153512677
RM2024_Intensity D4-2___3,,,
WZ2023_Pe_025_30min,,0.5370270377609503,0.8283133170427541
CK2022_11 40-1,,,0.6313008733542503
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,
AH2018_SILAC_2_X,,,
MV2014_Ratio H/M normalized A2___2 (2 min),,,
AS2011_Ratio H/L RNAi_1_2,,,
KS2014_Intensity E15_1,,,
FSO2013_Ratio H/L normalized Rep2,,,
WZ2023_Pu_005_20min,,0.5419281372466573,0.8168146027705313
NJH2024_Sub10_MICT_Post,,,
RM2024_Intensity D2-3___1,,,
CR2017_Ratio Replicate 1.5,,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,
HS2024_7_B_T3,,,0.6265188415174402
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,
AS2011_Ratio H/L RNAi_1,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,
AH2018_LFQ_M_1_C,,,
NJH2025_Sub7_MICT_Pre,,,
SR2019_SKBR3_Biol_repl_2,,,0.4039120788163425
HS2024_9_B_T2,,,
KTGR2014_Ratio-AA 7 mins,,,0.7816237906941588
MV2014_Ratio L/H normalized B3___3 (5 min),,,
HS2024_3_PD_T1,,,0.2036222269245885
FSO2013_Ratio M/L normalized Rep3___2,,,
SR2019_BT549_Biol_repl_3,,,0.5124098031035323
RCJD2014_20min_mean,,,
FR2021_Norm.Intensity.H,,,0.5877292830993447
RB2022_2_PreStrength,,0.5029668188930252,0.5066617514379069
DB2022_LFQ intensity L1.2,,,
HS2024_4_B_N1,,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,0.71947175686814
CK2022_1 16-1,,,0.7803943290459859
CK2022_1 200-1,,,0.6174486996782422
PG2020_Intensity Mock_10h_D,,,
SR2019_MCF10A_Biol_repl_2,,,0.4501886942847345
JJ2018_Ratio M/L normalized pP2___2,,,
HS2024_6_PD_T1,,,0.5538046225768322
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,0.6722450170712373
RB2022_6_RecoveryEndurance,,0.5132562480218907,0.5818867248786497
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,
EP2017_Mitotic R#2 normalized log2 ratio,,,
RCJD2014_5min_1,,,
RM2024_Intensity D4-1___1,,,
DL2023_24h-1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,0.6782507595850982
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,
TM2022_S2.4h.C,,,
SAS2015_PLX/AZD_Exp2,,,
CR2017_Ratio Replicate 3.3,,,
PG2020_Intensity 2h_C,,,
VOI2024_Veh2 di,,,
ZX2022_CB treated Replicate 2,,,0.6023139501466496
KBE2022_Log2_Ex_8_T,,,0.5575298071472541
NJH2025_Sub10_MICT_Post,,,
HS2024_6_I_T3,,,0.6557763564573953
RN2012_L11,,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,
IMM2018_normalised rep. int. Empty-1,,,
HS2024_5_PD_T1,,,
AH2018_LFQ_M_2_C,,0.5755684337043971,
CK2022_3 40-1,,,0.8238125372143308
RBK2021_1260T Early,,,
NJH2024_Sub4_HIIT_Post,,,
HS2024_4_I_T1,,,0.3533018758478453
YA2020_Reporter_intensity_Cancer_No.5,,,
HH2022_Reporter intensity 8,,,
ZQ2022_N2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,
FSO2013_Ratio H/L normalized Rep3___3,,,
AH2018_TMTMS3_2_N,,,
EJN2021_5_Rest_Basal,0.6364135523560479,,0.6728436480035531
NJH2025_Sub2_HIIT_Post,,,
NJH2025_Sub1_MICT_Post,,,
HS2024_9_B_T1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,
JAW2011_Ratio H/L LS2_1,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,0.395936741579997
NJH2024_Sub6_HIIT_Pre,,,
AH2018_SILAC_3_N,,,
YA2020_Reporter_intensity_Normal_No.1,,,
HS2024_3_B_T1,,,0.5859019551171591
JJ2018_Ratio H/L normalized___2,,,
RM2024_Intensity D0-2,,,
MV2014_Ratio M/L normalized B1___2 (5 min),,,
RB2022_7_PostStrength,0.6725720269668963,,0.5950762997701187
