DatasetName,MAP4_C(636) MAP4_M(280) MAP4_M(507) MAP4_M(624) MAP4_S(1) MAP4_S(10) MAP4_S(1002) MAP4_S(1046) MAP4_S(1058) MAP4_S(1073) MAP4_S(1092) MAP4_S(111) MAP4_S(1151) MAP4_S(116) MAP4_S(133) MAP4_S(1679) MAP4_S(1841) MAP4_S(1868) MAP4_S(1932) MAP4_S(1970) MAP4_S(1972) MAP4_S(1998) MAP4_S(2021) MAP4_S(2073) MAP4_S(2086) MAP4_S(2218) MAP4_S(2296) MAP4_S(276) MAP4_S(280) MAP4_S(295) MAP4_S(297) MAP4_S(3) MAP4_S(330) MAP4_S(352) MAP4_S(358) MAP4_S(375) MAP4_S(440) MAP4_S(5) MAP4_S(507) MAP4_S(510) MAP4_S(514) MAP4_S(524) MAP4_S(527) MAP4_S(580) MAP4_S(597) MAP4_S(6) MAP4_S(624) MAP4_S(633) MAP4_S(636) MAP4_S(641) MAP4_S(643) MAP4_S(653) MAP4_S(678) MAP4_S(68) MAP4_S(693) MAP4_S(696) MAP4_S(742) MAP4_S(784) MAP4_S(787) MAP4_S(789) MAP4_S(824) MAP4_S(825) MAP4_S(865) MAP4_S(868) MAP4_S(876) MAP4_S(9) MAP4_S(922) MAP4_S(928) MAP4_S(936) MAP4_S(938) MAP4_S(94) MAP4_S(941) MAP4_S(99) MAP4_T(101) MAP4_T(114) MAP4_T(2070) MAP4_T(2072) MAP4_T(282) MAP4_T(287) MAP4_T(3) MAP4_T(304) MAP4_T(354) MAP4_T(4) MAP4_T(451) MAP4_T(510) MAP4_T(514) MAP4_T(521) MAP4_T(526) MAP4_T(529) MAP4_T(538) MAP4_T(565) MAP4_T(571) MAP4_T(585) MAP4_T(588) MAP4_T(599) MAP4_T(602) MAP4_T(622) MAP4_T(627) MAP4_T(681) MAP4_T(686) MAP4_T(687) MAP4_T(689) MAP4_T(82) MAP4_T(828) MAP4_T(927) MAP4_T(938) MAP4_T(942),MAP4_S(1000) MAP4_S(1010) MAP4_S(1145) MAP4_S(14) MAP4_S(16) MAP4_S(163) MAP4_S(180) MAP4_S(2044) MAP4_S(2128) MAP4_S(2145) MAP4_S(2290) MAP4_S(384) MAP4_S(4) MAP4_S(401) MAP4_S(457) MAP4_S(504) MAP4_S(583) MAP4_S(60) MAP4_S(609) MAP4_S(7) MAP4_S(71) MAP4_S(723) MAP4_S(793) MAP4_S(823) MAP4_S(827) MAP4_S(853) MAP4_S(859) MAP4_S(937) MAP4_S(983) MAP4_T(11) MAP4_T(113) MAP4_T(1142) MAP4_T(1832) MAP4_T(2062) MAP4_T(22) MAP4_T(23) MAP4_T(28) MAP4_T(349) MAP4_T(512) MAP4_T(518) MAP4_T(582) MAP4_T(620) MAP4_T(722) MAP4_T(76) MAP4_T(874) MAP4_T(878) MAP4_T(917) MAP4_T(925) MAP4_T(96) MAP4_T(97) MAP4_Y(47)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5845457792731539,0.4289250549086816
FSO2013_Ratio M/L normalized Rep3,0.5729896951421221,0.42735720544866995
SR2019_MCF7_Biol_repl_3,0.5784283470813096,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.5829464011427993,
RCJD2014_15min_1,0.5875299058522407,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5825356706939668,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5929684016468876,0.4289396894570822
RKK2015_TNF-α/basal,0.5867553007127434,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5868656598192263,
ZX2022_Control Replicate 2,0.5642392108340002,0.4288102357954216
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,0.5853228012474543,
FSO2013_Ratio M/L normalized Rep1,0.5800798635837806,0.43338088996036706
SR2019_MDAMB231_Biol_repl_4,0.582740836896116,
GF2025_P2_Sph,0.57538777122024,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,0.5857538293954724,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5837811272497138,
DB2022_Intensity L2,0.5864088312204576,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5853583085959144,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5787762615754692,0.4333131967204452
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5784806684360322,0.4301958108831346
RB2022_5_PreEndurance,0.5847119453735721,0.42890765363380645
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5897138893303693,0.42985286802657247
WZ2023_Pu_010_30min,0.5983753540904401,0.4257243383578495
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5847091456857241,0.4247781893996267
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5965841267163058,0.4263414057964756
RB2022_8_RecoveryEndurance,0.5914311399574299,0.4293749052285931
KBE2022_Log2_Ex_14_U,0.584640725259506,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.6054319445231107,0.4278049136396091
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.5806242836331396,
RB2022_5_PreSprint,0.5912871992119721,0.43254680264922557
PG2020_Intensity 8h_C,0.5819490871409642,0.4296936431251705
AH2018_SILAC_MR_2_N,0.5848339679170471,0.43044115321155785
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,0.5878064390605332,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5884209284776395,0.43456662133948587
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,0.5855968579052847,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5666811381513568,0.4326173469813493
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5811873332770034,0.42605326923119535
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.5994401793373133,0.4333396931086194
GF2025_P6_Sph,0.5794159499415132,
RB2022_2_PreSprint,0.5869064171644072,0.4289655378803441
ZX2022_CB treated Replicate 3,0.5633374438131988,0.428946847731848
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5957818262482957,0.41944898127574515
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5854004970185541,
KBE2022_Log2_Ex_34_U,0.5842651276278393,
WZ2023_Pu_005_10min,0.59593992324628,0.42226973195560685
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5842352687725488,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,0.5863363360562837,
WZ2023_Pu_025_30min,0.5948179363118038,0.42050673631144414
AH2018_SILAC_MR_2_X,0.5901552718577736,0.42980892600809345
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,0.5862444820912732,0.4280791491593477
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5782145359871738,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.5807281478441535,0.43286911680224593
EJN2021_3_Rest_Basal,0.5883915369338257,0.42814429472082743
CR2017_Ratio Replicate 1.3,0.5854506218472738,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,0.58621596531718,
AH2018_SILAC_3_X,0.5967394119082475,0.42806699269092324
JJ2018_Ratio M/L normalized pP3,,
