DatasetName,DPM1_S(21) DPM1_S(3) DPM1_S(435) DPM1_S(7),DPM1_S(9)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.3761444912539558,0.4134011950408892
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.4363848804440916,0.5344507646581003
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,0.416346722481383
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5731819252874064,0.6659768727852087
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.668962257874694
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.4865056831780682,0.5411498444187445
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5081826918338384,0.5758591085020391
FSO2013_Ratio M/L normalized Rep1___1,0.5718639639162894,0.6619998947669258
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,0.4995626715755804
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,
WZ2023_Pu_010_30min,,0.4787000942305105
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.485172647059793,0.5085071297586069
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.4077575070007526
PG2020_Intensity 8h_C,,0.6078876665700421
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.4995082112422251,0.2989513788217697
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,,0.7893910775802875
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.4321460132798627
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.48248679298097613,0.519970989570475
WZ2023_Pu_005_10min,,0.5182902066832261
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.4585920906990223,0.619931763892711
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,0.5168019986974208,0.8545258872880205
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.6098006164998339
FR2021_Norm.Intensity.B,,0.7220648824522031
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,0.7897125411470564
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,0.5785571301022243
CR2017_Ratio Replicate 1.3,,0.5609858716320814
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,,0.5916766606645266
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.4865211578887218,0.5272219929738116
HS2024_3_B_N1,0.5056110065404542,0.5043539751303245
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.3973853452290087
CK2022_11 40-1,0.454721323581586,0.6214579969848374
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.4765476802762868,
FSO2013_Ratio H/L normalized Rep2,,0.5706051340156546
WZ2023_Pu_005_20min,,0.4141996116311021
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.6245798205401542
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,0.4238518261445216
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,0.4723594957979983
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.4819478017593517,0.6776085146124032
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,0.5904685732859013
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,0.7056782126117059
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.49641268963781704,0.7142332463528237
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.451707284224925,0.5104583928336945
CK2022_1 200-1,0.47623609602633704,0.6463477891445601
PG2020_Intensity Mock_10h_D,,0.727152830013827
SR2019_MCF10A_Biol_repl_2,,0.3702032689653526
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.4913492227220021,0.3469596571452653
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,0.7521767776494284
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,0.5488490863606331
PG2020_Intensity 2h_C,0.49793493274234346,0.6418193514802631
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,0.47416462542085736,0.4895056256665318
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.485060815860712,0.3781096375898395
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,0.4406589854421872
HS2024_5_PD_T1,,0.5589775340863242
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,0.45976974399443393,0.6284836097716423
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,0.5248488300792942
YA2020_Reporter_intensity_Cancer_No.5,0.47029934198684076,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,
EJN2021_5_Rest_Basal,,0.5877062034322814
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,0.460906810584837,
HS2024_3_B_T1,0.4978798314004239,0.4790424774669641
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.4486170210204163
SR2019_Hs578T_Biol_repl_3,,0.4901850133836978
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.7616396800344231
HS2024_8_I_T3,,0.3107886908001007
CF2017_EOC 3,0.5276148728173182,0.8775468830775393
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.48797314743308673,0.1403247277080043
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.4730491589159575
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.45728130338621664,0.6334453937684943
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.43789634751374207,0.5503564491454689
KS2014_Intensity N3,0.5422926375970534,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,0.4958357682206331
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,,0.535853769784782
RAM2015_Log2 A,0.4996705833209067,0.5740469356390975
HS2024_8_PD_T1,,0.3051938649948952
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.5362687126360177,0.8473139131048254
KS2014_Intensity E15_2,0.46053183969177913,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.4085446615618665,0.5284831580936852
HS2024_7_I_T1,,0.430244372639228
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,0.3996980184782172
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.4644543610034314,0.5644064838747644
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.4803003258005422,0.5217874490557033
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,0.4782154002482975
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,
HS2024_6_B_N1,0.5192682621241471,0.634371632961139
KBE2022_Log2_Ex_27_T,0.49863789005725256,0.5778386584018215
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,0.4078715352632611
FSO2013_Ratio M/L normalized Rep2,0.41329245508068435,0.5860583183575507
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,0.338659847733644
CK2022_14 40-1,0.4545679048108169,0.6120569793399321
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,0.7363017864381871
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,,0.503510511613133
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,,0.4359399956181814
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,0.5290726800640371
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,0.5552336064806402
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,,0.632428034696967
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.44491563434123416,0.6694407077922105
CK2022_12 200-1,0.45054977284537373,0.6752555526778036
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,,0.2577505641161285
AH2018_TMTMS2_2_N,,0.3488972692903827
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.48429487627557477,0.5194212853088258
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,,
KS2014_Intensity N4,0.5465849290477016,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,0.5650337267065828
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5347078760796705,0.8541732876420499
CK2022_14 200-1,0.45676532971202277,0.6480766139452998
SR2019_Hs578T_Biol_repl_1,,0.3486447845744528
RB2022_7_PostSprint,,0.2698457839692654
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.4988656216657272,0.6922629574868385
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,0.5678968327885874
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.45040427879489514,0.5272408796081934
GF2025_P1_Adh,,0.4789719221496471
GF2025_P1_Sph,,0.6423804088985019
EJN2021_5_Ex_Basal,,0.5907752752447714
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.4725314939780578
CF2017_EOC 1,,0.7855064917416922
CK2022_3 200-1,0.475472841767238,0.6413361831711436
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,0.3556940437787766
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5018861925831583,0.2123780981009185
HS2024_5_B_T1,,0.4398640941415176
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,0.4585293646870889,0.5526534299513874
RB2022_6_PreStrength,,
CK2022_2 40-1,0.4595495171726065,0.6349488411077434
RB2022_1_PostSprint,,
CK2022_4 200-1,0.47403560190033456,0.6496797076349826
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.4364934517118101,0.5501612183187339
AR2021_ALG 1 μM,,0.6096527174628269
HS2024_4_B_T1,,0.4985285310764042
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,0.5854300179743247
EJN2021_1_Rest_Basal,,0.5677086653885122
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,,0.4780261208747864
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,0.3477368337749118
CK2022_9 16-1,0.4554721470328836,0.5752088725795931
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.45289652284584053,0.6440922956434407
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,0.7209571120199307
CK2022_16 16-1,0.4544961348516273,0.5381882770105432
FS2019_db/db3,,
CK2022_15 40-1,0.4559951513563937,0.614209380217303
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.4692677956999085
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.4843560038188649,0.5456765015336608
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,0.5265270075334876,0.5401081369323667
AH2018_TMTMS3_3_X,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.4827697944299639,0.4933223091003392
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.49980234969030246,0.5875080786521469
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,0.4572264553027171
RB2022_7_PreStrength,,0.4820668526307985
YA2020_Reporter_intensity_Normal_No.4,0.4649675882050662,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,0.7246634693116224
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
