DatasetName,ASMTL_S(165) ASMTL_S(181) ASMTL_S(19) ASMTL_S(21) ASMTL_S(223) ASMTL_S(228) ASMTL_S(239) ASMTL_S(255) ASMTL_S(421),ASMTL_S(246)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.516387949115964,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5027447815825465,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5040744082038796,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.544383728778646,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5230886654957206,
DB2022_Intensity L2,0.5066340342668503,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5175507461524106,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5231810546137626,
WZ2023_Pu_010_30min,0.5184269845450835,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5323632709007805,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.5248895251291007,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5297390777382953,
JJ2018_Ratio H/L normalized___1,0.5242823319391152,
ZQ2022_C2,0.514914858799127,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5207948136655847,
AH2018_SILAC_MR_2_N,0.5214870208916075,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5143685630538128,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5246040115083366,
UK2020_HCM_2,0.5200005977789227,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5012727219773904,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5214664155386539,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.506472318429555,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5194868337971706,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5181503935829299,
KBE2022_Log2_Ex_34_U,0.5221715708343836,
WZ2023_Pu_005_10min,0.5185445714069968,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5194119621429422,
AH2018_SILAC_MR_2_X,0.5262851091188674,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5317304647858765,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,0.5245924160881501,
CR2017_Ratio Replicate 1.3,0.5120856625319452,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5250371222326797,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5302345126302914,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,,
AH2018_LFQ_1_C,0.5249518312001018,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5113819822154095,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5181293343455146,
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5254773019945376,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5225504707013691,
FSO2013_Ratio H/L normalized Rep2,,
WZ2023_Pu_005_20min,0.5176138040536431,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5279868235115589,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5314939063331866,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,0.4894637952459282,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5151641717259808,
CK2022_1 200-1,0.5151579053592733,
PG2020_Intensity Mock_10h_D,0.5277125012500457,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5210057574722056,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5209048824073894,
PG2020_Intensity 2h_C,0.5229003821004616,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5040885431299285,
KBE2022_Log2_Ex_8_T,0.5252793417832228,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.512346040363313,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5301020118143014,
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,0.5227557250554352,
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.5226841967481275,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5286015291285965,
EJN2021_5_Rest_Basal,0.5201580261078991,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5253792452302929,
YA2020_Reporter_intensity_Normal_No.1,0.5184290129009103,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5163866015187732,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5193572293806922,
HS2024_8_I_T3,,
CF2017_EOC 3,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,0.5201976747291657,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5190380400602925,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.516683136479093,
KS2014_Intensity N3,0.5066333300224117,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5061703085999674,
FSO2013_Ratio H/M normalized Rep2,,
RAM2015_Log2 A,,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,0.5209444053119848,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5205587584390595,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5271030940195849,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.512660366604527,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5197183800394953,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,0.5184159082558355,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.523277589571244,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.5227162358105637,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5348741564546385,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5085863224024325,
FSO2013_Ratio M/L normalized Rep2,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5232072619644753,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5279937034105163,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5208716416898513,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5357620246407726,
EJN2021_4_Rest_Ins,0.5233620799598795,
RN2012_H05,0.5160183619085,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.510569273924851,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,0.5232444301594048,
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5047342710116017,
JW2021_After_3,,
GF2025_P8_Sph,0.5017425147779149,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5258365075942215,
CK2022_11 200-1,0.510136076252036,
CK2022_12 200-1,0.5089141480999121,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.5159311447323983,
AH2018_TMTMS2_2_N,0.5335343785855375,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5252801743899319,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5228052301173791,
KS2014_Intensity N4,0.49559147239354584,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,0.49307475324019745,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.5131014324109855,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5331635931735597,
AST2020_anti-CD3+PDL2.2,0.5181967524541199,
PG2020_Intensity Mock_10h_A,0.5299888958538994,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.5067060891296321,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5089305624457814,
GF2025_P1_Adh,0.507084946288013,
GF2025_P1_Sph,0.542121736774939,
EJN2021_5_Ex_Basal,0.5167896792694189,
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5180790657733811,
CF2017_EOC 1,,
CK2022_3 200-1,0.5146682956010192,
AH2018_LFQ_IT_3_C,0.5258455291894455,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),0.5239419718808012,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.514937982283505,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5160318467377297,
AR2021_ALG 1 μM,0.5125803085246012,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,0.5224511180052447,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.5185357566204195,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5164113425984483,
CK2022_9 16-1,0.5165480947538843,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.51129385654749,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5039894347407781,
CK2022_16 16-1,0.5046787729627744,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.517902171573886,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5232618693812685,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5254261626210933,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5358111945467829,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5214240880952067,
AH2018_LFQ_M_1_N,0.5376376707417628,
KBE2022_Log2_Ex_27_U,0.5237634487441988,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.5103644606646038,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.5234842017790828,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5292500771028081,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5131963649915402,
RN2012_L13,0.521770373681765,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.5212929197939743,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5635505628190407,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
