DatasetName,H1_S(1) H1_S(102) H1_S(103) H1_S(104) H1_S(105) H1_S(106) H1_S(108) H1_S(11) H1_S(113) H1_S(114) H1_S(115) H1_S(116) H1_S(124) H1_S(141) H1_S(146) H1_S(154) H1_S(17) H1_S(173) H1_S(18) H1_S(183) H1_S(187) H1_S(188) H1_S(189) H1_S(19) H1_S(190) H1_S(2) H1_S(23) H1_S(27) H1_S(31) H1_S(33) H1_S(36) H1_S(37) H1_S(4) H1_S(41) H1_S(42) H1_S(43) H1_S(44) H1_S(49) H1_S(5) H1_S(54) H1_S(55) H1_S(56) H1_S(58) H1_S(59) H1_S(61) H1_S(66) H1_S(7) H1_S(71) H1_S(75) H1_S(8) H1_S(81) H1_S(85) H1_S(92) H1_T(1) H1_T(10) H1_T(11) H1_T(12) H1_T(13) H1_T(138) H1_T(139) H1_T(140) H1_T(146) H1_T(147) H1_T(153) H1_T(163) H1_T(165) H1_T(18) H1_T(193) H1_T(2) H1_T(226) H1_T(31) H1_T(36) H1_T(38) H1_T(39) H1_T(4) H1_T(41) H1_T(45) H1_T(6) H1_T(9),H1_S(555) H1_S(82) H1_T(101)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5307494854548254,
FSO2013_Ratio M/L normalized Rep3,0.527079060102585,
SR2019_MCF7_Biol_repl_3,0.550424944544173,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5004711501763538,
SR2019_LM2_Biol_repl_1,0.5326524231441899,
RCJD2014_15min_1,0.527217957894707,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5449302354736016,
NJH2025_Sub12_HIIT_Mid,0.5281614862867476,
AH2018_LFQ_IT_1_C,0.5302175741723718,
RKK2015_TNF-α/basal,0.5201781280509234,
JJ2018_Ratio H/M normalized pP2,0.5360036227872729,
NJH2025_Sub12_MICT_Pre,0.5290796625473924,
NJH2025_Sub7_MICT_Post,0.5282989469373283,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5250625155335736,
HS2024_6_B_T3,0.5405312977068166,
JW2015_Intensity pre1,0.5309727374714724,
IMM2018_normalised rep. int. Empty-3,0.5400875042018668,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5289265278303472,
SR2019_MDAMB231_Biol_repl_4,0.5422842433130064,
GF2025_P2_Sph,0.5262459044317851,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,0.5285760062114084,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,0.5286803672203333,
KBE2022_Log2_Ex_44_T,0.5530379893695991,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5301253269645863,
AST2020_anti-CD3.2,0.5334793867480879,
CW2012_10 µM Erl/control Experiment 1 Replicate B,0.5299023400315723,
HS2024_7_B_N1,0.5244732115061372,
FSO2013_Ratio M/L normalized Rep1___1,0.5310717860260422,
SAS2015_AZD/DMSO_Exp3,0.5288591666275975,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5365245276401105,
RB2022_5_PreEndurance,0.5338967898030033,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.5271936248255029,
EP2017_Untreated R#4 normalized log2 ratio,0.523215180226466,
WZ2023_Pu_010_30min,0.5354160180834227,
AS2011_Ratio H/L Proteins RNAi_2,0.5342653999067314,
RB2022_4_PreStrength,0.5297859741705647,
NJH2024_Sub4_MICT_Post,0.5304621052879266,
AH2018_LFQ_M_1_X,0.5300296896985529,
RB2022_8_RecoveryEndurance,0.5280648112560612,
KBE2022_Log2_Ex_14_U,0.5521165828328076,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5300226844943488,
JJ2018_Ratio H/L normalized___1,0.5361525064937112,
ZQ2022_C2,,
RB2022_5_PreSprint,0.5275995153650755,
PG2020_Intensity 8h_C,0.5299132129731312,
AH2018_SILAC_MR_2_N,0.5290194531250667,
MV2014_Ratio M/L normalized A1___2 (2 min),0.5318381535997327,
TM2022_S2.8h.B,0.5325233380867177,
MV2014_Ratio M/H normalized B3___1 (30 min),0.527216740238835,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,0.532635817894948,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
