DatasetName,BNC2_C(829) BNC2_S(229) BNC2_S(403) BNC2_S(904),BNC2_S(563) BNC2_S(737) BNC2_S(829),BNC2_C(403) BNC2_C(408),BNC2_S(827) BNC2_S(937) BNC2_T(519)
RM2024_Intensity D4-1___3,,,,
RB2022_4_PostEndurance,,,,
FSO2013_Ratio M/L normalized Rep3,,,,
SR2019_MCF7_Biol_repl_3,,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,,
SR2019_LM2_Biol_repl_1,,,,
RCJD2014_15min_1,,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,,
CK2022_7 16-1,,,,
NJH2025_Sub12_HIIT_Mid,,,,
AH2018_LFQ_IT_1_C,0.44765982325165454,,,
RKK2015_TNF-α/basal,,,,
JJ2018_Ratio H/M normalized pP2,,,,
NJH2025_Sub12_MICT_Pre,,,,
NJH2025_Sub7_MICT_Post,,,,
DL2023_control-3,,,,
ZX2022_Control Replicate 2,,,,
HS2024_6_B_T3,,,,
JW2015_Intensity pre1,,,,
IMM2018_normalised rep. int. Empty-3,,,,
AMK2021_30R_p5,,,,
FSO2013_Ratio M/L normalized Rep1,,,,
SR2019_MDAMB231_Biol_repl_4,,,,
GF2025_P2_Sph,0.49026939801131314,0.55680379095047,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,,
NJH2025_Sub13_HIIT_Mid,,,,
CP2009_Ratio M/L,,,,
NJH2025_Sub7_HIIT_Post,,,,
KBE2022_Log2_Ex_44_T,,,,
DB2022_Intensity L2,,,,
TM2022_mock.4h.C,,,,
AST2020_anti-CD3.2,,,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,,
HS2024_7_B_N1,,,,
FSO2013_Ratio M/L normalized Rep1___1,,,,
SAS2015_AZD/DMSO_Exp3,,,,
RM2024_Intensity D0-2___3,,,,
RM2024_Intensity D6-1,,,,
RB2022_8_RecoverySprint,,,,
RB2022_5_PreEndurance,,,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,,
EP2017_Untreated R#4 normalized log2 ratio,0.50954333118276,0.5845751733313163,,0.570352826018651
WZ2023_Pu_010_30min,0.46439080551738854,,0.6018599490137682,0.3370982667809095
AS2011_Ratio H/L Proteins RNAi_2,,,,
RB2022_4_PreStrength,,,,
NJH2024_Sub4_MICT_Post,,,,
AH2018_LFQ_M_1_X,0.45841766070190015,,,
RB2022_8_RecoveryEndurance,,,,
KBE2022_Log2_Ex_14_U,,,,
FSO2013_Ratio M/L normalized Rep3___3,,,,
AH2018_TMTMS3_1_C,0.4897543598894436,,,
JJ2018_Ratio H/L normalized___1,,,,
ZQ2022_C2,,,,
RB2022_5_PreSprint,,,,
PG2020_Intensity 8h_C,,,,
AH2018_SILAC_MR_2_N,0.48938977666032185,,,
MV2014_Ratio M/L normalized A1___2 (2 min),,,,
TM2022_S2.8h.B,,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,,
RM2024_Intensity D6-1___2,,,,
NJH2025_Sub7_MICT_Mid,,,,
LY2019_P1+,,,,
AS2011_Ratio H/L Proteins Inhi_2,,,,
BS2014_Log2(Ratio H/L normalized),,,,
UK2020_HCM_2,,,,
FSO2013_Ratio H/L normalized Rep2___2,,,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.4830214579574843,0.5186500656351197,,0.4583079452812709
RM2024_Intensity D4-3___3,,,,
RB2022_5_PreStrength,,,,
NJH2024_Sub4_MICT_Mid,,,,
TM2022_S2.4h.A,,,,
RB2022_5_PostStrength,,,,
GF2025_P6_Sph,0.49004854581220736,,,
RB2022_2_PreSprint,,,,
ZX2022_CB treated Replicate 3,,,,
RM2024_Intensity D6-2___3,,,,
WZ2023_Pe_025_10min,0.4672113556038085,,0.595421571930056,0.3415345528987727
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,,
AST2020_anti-CD3+PDL2.1,,,,
KBE2022_Log2_Ex_34_U,,,,
WZ2023_Pu_005_10min,0.4586555691077138,,0.6147048163669343,0.35623446916418194
AS2011_Ratio H/L RNAi_2_1,,,,
NJH2024_Sub9_HIIT_Mid,,,,
CK2022_9 40-1,,,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,,
LG2023_GSK3α-1_intensity,,,,
WZ2023_Pu_025_30min,0.4600927738812093,,0.6137473871937372,0.36404268304666626
AH2018_SILAC_MR_2_X,0.455009718077005,,,
HS2024_4_PD_T2,,,,
NJH2024_Sub4_HIIT_Pre,,,,
RB2022_2_RecoverySprint,,,,
AS2011_Ratio H/L Protein RNAi_1,,,,
RM2024_Intensity D2-1___2,,,,
CR2017_Ratio Replicate 1.4,,,,
FR2021_Norm.Intensity.B,,,,
RM2024_Intensity D6-2___1,,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,,
RB2022_5_PostSprint,,,,
EJN2021_3_Rest_Basal,,,,
CR2017_Ratio Replicate 1.3,,,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,,
KTGR2014_Ratio-Rapa 7 mins,,,,
AMK2021_120R_p1,,,,
AH2018_SILAC_3_X,0.4484005981416542,,,
JJ2018_Ratio M/L normalized pP3,,,,
AH2018_SILAC_M_2_N,0.45191939737802145,,,
HS2024_7_PD_T2,,,,
FSO2013_Ratio H/L normalized Rep1___1,,,,
AH2018_LFQ_1_C,,,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,,
KBE2022_Log2_Ex_28_T,,,,
HS2024_3_B_N1,,,,
RM2024_Intensity D4-2___3,,,,
WZ2023_Pe_025_30min,0.47120108105256486,,0.5936462816604913,0.3499233738341478
CK2022_11 40-1,,,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,,
AH2018_SILAC_2_X,0.4548772923695773,,,
MV2014_Ratio H/M normalized A2___2 (2 min),,,,
AS2011_Ratio H/L RNAi_1_2,,,,
KS2014_Intensity E15_1,0.4626943650355002,,,
FSO2013_Ratio H/L normalized Rep2,,,,
WZ2023_Pu_005_20min,0.4618794782265564,,0.5954928328840077,0.37066438890782144
NJH2024_Sub10_MICT_Post,,,,
RM2024_Intensity D2-3___1,,,,
CR2017_Ratio Replicate 1.5,,,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,,
HS2024_7_B_T3,,,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,,
AS2011_Ratio H/L RNAi_1,,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,,
AH2018_LFQ_M_1_C,,,,
NJH2025_Sub7_MICT_Pre,,,,
SR2019_SKBR3_Biol_repl_2,,,,
HS2024_9_B_T2,,,,
KTGR2014_Ratio-AA 7 mins,,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,,
HS2024_3_PD_T1,,,,
FSO2013_Ratio M/L normalized Rep3___2,,,,
SR2019_BT549_Biol_repl_3,,,,
RCJD2014_20min_mean,,,,
FR2021_Norm.Intensity.H,,,,
RB2022_2_PreStrength,,,,
DB2022_LFQ intensity L1.2,,,,
HS2024_4_B_N1,,,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,,
CK2022_1 16-1,,,,
CK2022_1 200-1,,,,
PG2020_Intensity Mock_10h_D,0.4518909777840896,,,
SR2019_MCF10A_Biol_repl_2,,,,
JJ2018_Ratio M/L normalized pP2___2,,,,
HS2024_6_PD_T1,,,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,,
RB2022_6_RecoveryEndurance,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,,
EP2017_Mitotic R#2 normalized log2 ratio,0.4685572407279339,,,0.5231481487613298
RCJD2014_5min_1,,,,
RM2024_Intensity D4-1___1,,,,
DL2023_24h-1,,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,,
TM2022_S2.4h.C,,,,
SAS2015_PLX/AZD_Exp2,,,,
CR2017_Ratio Replicate 3.3,,,,
PG2020_Intensity 2h_C,,,,
VOI2024_Veh2 di,,,,
ZX2022_CB treated Replicate 2,,,,
KBE2022_Log2_Ex_8_T,,,,
NJH2025_Sub10_MICT_Post,,,,
HS2024_6_I_T3,,,,
RN2012_L11,,,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,,
IMM2018_normalised rep. int. Empty-1,,,,
HS2024_5_PD_T1,,,,
AH2018_LFQ_M_2_C,0.4576291438126625,,,
CK2022_3 40-1,,,,
RBK2021_1260T Early,,,,
NJH2024_Sub4_HIIT_Post,,,,
HS2024_4_I_T1,,,,
YA2020_Reporter_intensity_Cancer_No.5,,,,
HH2022_Reporter intensity 8,,,,
ZQ2022_N2,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,,
FSO2013_Ratio H/L normalized Rep3___3,,,,
AH2018_TMTMS3_2_N,0.4895840156017519,0.5138839113215586,,
EJN2021_5_Rest_Basal,,,,
NJH2025_Sub2_HIIT_Post,,,,
NJH2025_Sub1_MICT_Post,,,,
HS2024_9_B_T1,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,,
JAW2011_Ratio H/L LS2_1,,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,,
NJH2024_Sub6_HIIT_Pre,,,,
AH2018_SILAC_3_N,0.4433974998983978,,,
YA2020_Reporter_intensity_Normal_No.1,,,,
HS2024_3_B_T1,,,,
JJ2018_Ratio H/L normalized___2,,,,
RM2024_Intensity D0-2,,,,
MV2014_Ratio M/L normalized B1___2 (5 min),,,,
RB2022_7_PostStrength,,,,
RB2022_1_PostEndurance,,,,
CR2017_Ratio Replicate 3,,,,
SR2019_Hs578T_Biol_repl_3,,,,
MV2014_Ratio L/H normalized B3___1 (5 min),,,,
RBK2021_1244T Early,,,,
RB2022_3_PostSprint,,,,
NJH2024_Sub13_MICT_Mid,,,,
KTGR2014_Ratio-AA 2 mins,,,,
GF2025_P7_Sph,0.48839712269802865,,,
HS2024_8_I_T3,,,,
CF2017_EOC 3,,,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,0.47150220525959613,,,
HS2024_6_PD_T3,,,,
DL2023_12h-2,,,,
RM2024_Intensity D6-3___1,,,,
FS2019_Ctr1,,,,
WZ2023_Pu_010_20min,0.4636377227642984,,0.6153376015664,0.3505416213239096
AS2011_Ratio H/L_3,,,,
CK2022_1 40-1,,,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,,,
CK2022_8 16-1,,,,
KS2014_Intensity N3,0.4631465140078951,,,
RB2022_4_RecoveryEndurance,,,,
RB2022_5_RecoveryEndurance,,,,
JAW2011_Ratio H/L LS1a_2,,,,
NJH2024_Sub12_HIIT_Mid,,,,
AH2018_LFQ_IT_1_N,0.4497579482456747,,,
FSO2013_Ratio H/M normalized Rep2,,,,
RAM2015_Log2 A,,,,
HS2024_8_PD_T1,,,,
JJ2018_Ratio H/L normalized pP2,,,,
CF2017_OSE 27,,,,
KS2014_Intensity E15_2,0.4675245775199671,,,
BS2014_Log2(Ratio H/L protein),,,,
PG2020_Intensity 8h_A,,,,
HS2024_7_I_T1,,,,
VOI2024_Veh3 di,,,,
RKK2015_TNF-α+SC-514/basal,,,,
SR2019_JIMT1_Biol_repl_1,,,,
HW2015_Ratio H/L normalized Exp2,,,,
HS2024_3_I_N1,,,,
AH2018_SILAC_M_3_X,0.4505206342244446,,,
NJH2024_Sub9_HIIT_Post,,,,
AS2011_Ratio H/L RNAi_1_3,,,,
GRW2016_Ratio H/L normalized SILAC 1___2,,,,
NJH2025_Sub1_HIIT_Pre,,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,,,
NJH2024_Sub4_HIIT_Mid,,,,
VOI2024_0.1uM 2 h_1 di,,,,
KBE2022_Log2_Ex_6_T,,,,
RM2024_Intensity D4-3___1,,,,
AH2018_LFQ_4_X,,,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,,
RB2022_8_PostEndurance,,,,
NJH2025_Sub4_MICT_Mid,,,,
YP2020_Intensity C30_R1_mult_log2,,,,
AST2020_anti-CD3.1,,,,
NJH2025_Sub4_HIIT_Post,,,,
EP2017_Untreated R#4 log2 ratio,0.5094526599675409,0.584717652787964,,0.5703497165302632
HS2024_6_B_N1,,,,
KBE2022_Log2_Ex_27_T,,,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,,,
VOI2024_0.1uM 24 h_1 mono,,,,
AMK2021_120R_p5,,,,
AS2011_Ratio H/L Proteins,,,,
NJH2024_Sub7_HIIT_Post,,,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,,,
AS2011_Ratio H/L RNAi_2_2,,,,
RB2022_7_RecoveryStrength,,,,
AH2018_SILAC_IT_3_X,0.4424673899246926,,,
JAW2011_Ratio H/L,,,,
PG2020_Intensity 10h_C,,,,
FSO2013_Ratio M/L normalized Rep2,,,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,,,
HH2022_Reporter intensity 5,,,,
SR2019_HCC1954_Biol_repl_2,,,,
CK2022_14 40-1,,,,
RB2022_6_PreSprint,,,,
NJH2025_Sub12_MICT_Mid,,,,
PG2020_Intensity 4h_D,0.4329746961969124,,,
NJH2025_Sub2_MICT_Post,,,,
AH2018_LFQ_4_C,,,,
DL2023_control-1,,,,
AR2021_ALG 10 μM,,,,
JAW2011_Ratio H/L LS2_2,,,,
AH2018_SILAC_IT_3_N,0.4387784735238794,,,
EJN2021_4_Rest_Ins,,,,
RN2012_H05,0.5016710725877063,,,
NJH2024_Sub7_HIIT_Mid,,,,
GF2025_P2_Adh,0.4978755669200396,0.5361860009073206,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,,,
RB2022_8_PostSprint,,,,
EJN2021_1_Rest_Ins,,,,
HH2022_Reporter intensity 3,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,,,
AH2018_SILAC_IT_1_C,0.447043994273019,,,
JW2021_After_3,,,,
GF2025_P8_Sph,0.47813423094336466,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,,,
JJ2018_Ratio M/L normalized pP2___1,,,,
AH2018_SILAC_2_N,0.4497332938743137,,,
CK2022_11 200-1,,,,
CK2022_12 200-1,,,,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,,,
RM2024_Intensity D2-1___3,,,,
NJH2024_Sub1_MICT_Pre,,,,
HH2022_Reporter intensity 9,,,,
WZ2023_Su_010_20min,0.46695312538003586,,0.5987101867670666,0.35858323524993674
AH2018_TMTMS2_2_N,0.4926337376771534,,,
NJH2024_Sub13_MICT_Pre,,,,
KBE2022_Log2_Ex_41_U,,,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,,,
AH2018_TMTMS3_Pool,0.47974151807404414,,,
KS2014_Intensity N4,0.4781450064120412,,,
NJH2024_Sub1_HIIT_Post,,,,
MM2018_Ratio H/L replicate2,,,,
RM2024_Intensity D4-2___2,,,,
NJH2024_Sub13_HIIT_Pre,,,,
CF2017_OSE 26,,,,
CK2022_14 200-1,,,,
SR2019_Hs578T_Biol_repl_1,,,,
RB2022_7_PostSprint,,,,
TM2022_mock.4h.A,,,,
NJH2025_Sub12_HIIT_Pre,,,,
AH2018_TMTMS3_1_N,0.47912423700179285,0.5176818030083559,,
AST2020_anti-CD3+PDL2.2,,,,
PG2020_Intensity Mock_10h_A,0.4401643176163887,,,
JW2021_After_2,,,,
NJH2024_Sub2_MICT_Post,,,,
EJN2021_2_Rest_Ins,,,,
SR2019_LM2_Biol_repl_4,,,,
CP2009_Ratio H/M,,,,
JAW2011_Ratio H/L HS,,,,
CK2022_13 16-1,,,,
GF2025_P1_Adh,0.48992899537164053,0.5345077757750277,,
GF2025_P1_Sph,0.4721436392280657,0.5102837670586695,,
EJN2021_5_Ex_Basal,,,,
HS2024_7_I_T3,,,,
JJ2018_Ratio H/L normalized pP2___2,,,,
WZ2023_Pe_010_10min,0.47074420728531696,,0.6098916291127732,0.36461111985918615
CF2017_EOC 1,,,,
CK2022_3 200-1,,,,
AH2018_LFQ_IT_3_C,0.453200707059043,,,
SR2019_Hs578T_Biol_repl_2,,,,
NJH2024_Sub12_HIIT_Post,,,,
JJ2018_Ratio H/L normalized pP1___2,,,,
MV2014_Ratio H/L normalized A1___2 (10 min),,,,
NJH2024_Sub10_MICT_Mid,,,,
NJH2024_Sub13_MICT_Post,,,,
BS2014_Log2(Ratio H/L normalized Rep_1),,,,
RB2022_3_RecoverySprint,,,,
NJH2025_Sub1_HIIT_Mid,,,,
RCJD2014_20min_2,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,,,
HS2024_6_PD_T2,,,,
HS2024_5_B_T1,,,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,,,
DL2023_12h-3,,,,
SR2019_MDAMB231_Biol_repl_2,,,,
HS2024_3_B_T2,,,,
RB2022_6_PreStrength,,,,
CK2022_2 40-1,,,,
RB2022_1_PostSprint,,,,
CK2022_4 200-1,,,,
JW2021_Before_2,,,,
TM2022_S2.12h.A,,,,
MV2014_Ratio L/M normalized B2___2 (30 min),,,,
CK2022_5 16-1,,,,
AR2021_ALG 1 μM,0.4757677448037263,,,
HS2024_4_B_T1,,,,
MV2014_Ratio M/H normalized A3___1 (10 min),,,,
SR2019_BT549_Biol_repl_4,,,,
EJN2021_1_Rest_Basal,,,,
NJH2025_Sub8_MICT_Post,,,,
RCJD2014_5min_3,,,,
CR2017_Ratio Replicate 3.2,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,,,
GF2025_P7_Adh,0.4743843340870804,,,
CK2022_9 16-1,,,,
NJH2024_Sub6_HIIT_Post,,,,
AMK2021_30R_p3,,,,
AS2011_Ratio H/L Normalized RNAi_2,,,,
RM2024_Intensity D0-2___2,,,,
KS2014_Intensity pY_N4,,,,
CK2022_13 200-1,,,,
AS2011_Ratio H/L Normalized_2,,,,
PG2020_Intensity 6h_D,,,,
CK2022_16 16-1,,,,
FS2019_db/db3,,,,
CK2022_15 40-1,,,,
NJH2024_Sub9_MICT_Pre,,,,
BS2014_Log2(Ratio H/L unmodified peptide),,,,
WZ2023_Su_005_10min,0.46637968271117575,,0.5912316953287755,0.37224749182818656
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,,,
KBE2022_Log2_Ex_41_T,,,,
AMK2021_Ctrl_p1,,,,
AH2018_LFQ_IT_3_X,0.45491909704210637,,,
HS2024_5_PD_T3,,,,
AH2018_TMTMS3_3_X,0.43712226084675326,0.5227145221753392,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,,,
KBE2022_Log2_Ex_40_U,,,,
AH2018_LFQ_M_1_N,0.46205704285053945,,,
KBE2022_Log2_Ex_27_U,,,,
HW2015_Ratio M/L normalized Exp3,,,,
RKK2015_TNF-α/IKKb(K44M),,,,
AH2018_SILAC_M_1_N,0.4518693540324582,,,
HW2015_Ratio M/L normalized Exp1,,,,
RB2022_5_RecoveryStrength,,,,
YP2020_Intensity P10_R1_mult_log2,,,,
RB2022_7_PreStrength,,,,
YA2020_Reporter_intensity_Normal_No.4,,,,
NJH2025_Sub13_HIIT_Pre,,,,
PG2020_Intensity CT_D,0.4054909932842338,,,
