DatasetName,MVP_S(12) MVP_S(445) MVP_S(864) MVP_S(867) MVP_S(873) MVP_S(876) MVP_T(442) MVP_T(60) MVP_T(608),MVP_S(740)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.4876748366497918,
SR2019_MCF7_Biol_repl_3,0.4987340622563993,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.5183346152660955,
RCJD2014_15min_1,0.5220284530973613,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,0.48300447260222046,
JJ2018_Ratio H/M normalized pP2,0.50771606320519,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,0.4984429385344742,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.48942635226311343,
HS2024_6_B_T3,0.48696576598702623,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5079145458740831,
SR2019_MDAMB231_Biol_repl_4,0.5159402336436766,
GF2025_P2_Sph,0.5411215513156075,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,0.4965405912889235,
KBE2022_Log2_Ex_44_T,0.4986202338549369,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.512095216195635,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5343359328116569,
FSO2013_Ratio M/L normalized Rep1___1,0.5080478617332906,
SAS2015_AZD/DMSO_Exp3,0.5025363192074179,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.5152951629590773,
EP2017_Untreated R#4 normalized log2 ratio,0.48396659410058707,
WZ2023_Pu_010_30min,0.5514300438976082,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,0.5255840822468355,
KBE2022_Log2_Ex_14_U,0.5022521574596484,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,0.4796003749812468,
ZQ2022_C2,0.5497493495631874,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5125931628275964,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,0.4976294167229638,
LY2019_P1+,0.5480714191675048,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,0.49877717615091055,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5028259999732677,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,0.5130058719991227,
RB2022_5_PostStrength,0.5074598807207246,
GF2025_P6_Sph,0.5065444031681633,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5603969615294383,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.49899755962342,
WZ2023_Pu_005_10min,0.5477196587770126,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,0.4998006782967559,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5513232297240099,
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,0.4997044837970981,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,
FR2021_Norm.Intensity.B,0.5090826643901638,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,0.5060862924864461,
FSO2013_Ratio H/L normalized Rep1___1,0.49431781158289323,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5027951242183397,
HS2024_3_B_N1,0.555118835334451,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5620718329405461,
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.5091739680801505,
WZ2023_Pu_005_20min,0.55657498331935,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.4722326185371901,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.5167413622790805,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,0.49664565087485435,
SR2019_SKBR3_Biol_repl_2,0.5374555682682725,
HS2024_9_B_T2,0.5128830044511727,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.49375089569908176,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.5472284188249181,
RCJD2014_20min_mean,0.5120953436433449,
FR2021_Norm.Intensity.H,0.48190371882822053,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5050597268939001,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,,
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,0.580454482703034,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.48411393161041055,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.49912840794263924,
RCJD2014_5min_1,0.48196165631956567,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.5137327809799525,
SAS2015_PLX/AZD_Exp2,0.5152694166056979,
CR2017_Ratio Replicate 3.3,0.5153707085327978,
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,0.5015765540431808,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.48331509830708963,
RN2012_L11,0.48263375285566634,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,0.5238612110300207,
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5236459254123309,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.470096031164768,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.4996227313221804,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,0.5057546117394823,
NJH2025_Sub1_MICT_Post,0.5068424995092888,
HS2024_9_B_T1,0.567182057100182,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,0.4893600640248018,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,0.4845061597903574,
HS2024_3_B_T1,0.517374476336852,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,
SR2019_Hs578T_Biol_repl_3,0.541990293348916,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5215333216161842,
HS2024_8_I_T3,0.513459380238851,
CF2017_EOC 3,0.504507506231965,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5115601169731221,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5503596958027701,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.5060220843156493,
RAM2015_Log2 A,0.5221642877397585,
HS2024_8_PD_T1,0.5183750735097805,
JJ2018_Ratio H/L normalized pP2,0.4801416657409654,
CF2017_OSE 27,0.5267120208608378,
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,0.4705001811361192,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.4926383912608652,
SR2019_JIMT1_Biol_repl_1,0.5412731857707798,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5198128964023595,
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,0.4995019059627045,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,0.517326386177441,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5031735346192093,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.4838711397740865,
HS2024_6_B_N1,0.5141142501300184,
KBE2022_Log2_Ex_27_T,0.5008997500502597,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,0.4965405912889235,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.5076094168133884,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.48611263203734345,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,0.5356185946943608,
CK2022_14 40-1,,
RB2022_6_PreSprint,0.5149733046826166,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,0.5018341692611847,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,0.4876813142670746,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,,
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,0.5014935958525563,
GF2025_P2_Adh,0.4965905846383624,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5099868923135145,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,0.49967085248025256,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.48519141305907154,
AH2018_SILAC_2_N,,
CK2022_11 200-1,,
CK2022_12 200-1,,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,0.5052113211813638,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.5612385307458232,
AH2018_TMTMS2_2_N,,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5063421100689303,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.5187832746606944,
AH2018_TMTMS3_Pool,0.50012974659497,
KS2014_Intensity N4,,
NJH2024_Sub1_HIIT_Post,0.5095368544123243,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5263776209056602,
CK2022_14 200-1,,
SR2019_Hs578T_Biol_repl_1,0.5836294699839318,
RB2022_7_PostSprint,0.5031878895800168,
TM2022_mock.4h.A,0.5142366079487315,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,0.5018341692611847,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,0.5053757308616553,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,
GF2025_P1_Adh,0.5189979698646008,
GF2025_P1_Sph,0.5274722753267925,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.4830598937410383,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5390243518154444,
CF2017_EOC 1,0.5241641271529738,
CK2022_3 200-1,,
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,0.5623055316344635,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,0.5068311028427109,
RCJD2014_20min_2,0.5260658754575354,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.521952633283957,
HS2024_5_B_T1,0.5335011937988612,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.536744205247428,
HS2024_3_B_T2,0.5537682264223113,
RB2022_6_PreStrength,,
CK2022_2 40-1,,
RB2022_1_PostSprint,0.48796771988455034,
CK2022_4 200-1,,
JW2021_Before_2,,
TM2022_S2.12h.A,0.5136567044954293,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,0.47342180071652695,
HS2024_4_B_T1,0.5206482105979159,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.552289896798841,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5179720229101066,
CR2017_Ratio Replicate 3.2,0.502122635455885,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.4903096921746527,
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,0.4977490972460957,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,0.5007366591940101,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5517310283844482,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5128763825746379,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,0.4635502898501719,
AH2018_TMTMS3_3_X,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5000043612201068,
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.500673477606616,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.48461623885707994,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
NJH2025_Sub9_MICT_Post,0.4998441963302128,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,
RN2012_L13,,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.5074243690894846,
SR2019_SKBR3_Biol_repl_3,0.5582028484759118,
NJH2024_Sub1_MICT_Post,0.5068424995092888,
HS2024_3_I_T2,0.4667270872795919,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.4720743083828005,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5104912816211526,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
