DatasetName,ATL1_S(10) ATL1_S(15) ATL1_S(22) ATL1_S(23) ATL1_S(6),ATL1_S(4)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5533725186247807,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5504912831178441,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5365089410910805,
ZX2022_Control Replicate 2,0.5678282339093037,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5026061634408047,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.48887671408985744,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.511125668180776,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5030354716438028,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5294742124867057,
WZ2023_Pu_010_30min,0.5000748963265623,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5177399584505491,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5447639910813622,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.49616118625487404,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,0.5069778321233729,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.46984758864320914,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5362550196056854,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5136198761846511,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5734099750881955,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5090254812274144,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.5207389477308112,
WZ2023_Pu_005_10min,0.5042994328957908,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5017346876173545,
AH2018_SILAC_MR_2_X,0.5117570627269936,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5409163998283011,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5053188151328379,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5410768017828829,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5182026342615446,
AH2018_LFQ_1_C,0.49007738409163126,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5040059104237959,
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5306905731145417,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.5040486282309473,
WZ2023_Pu_005_20min,0.5066061972728761,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.49657030574922184,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5087136405545567,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,0.5432481938309627,
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,0.5246763994744861,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5026875160113403,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.5347245693829699,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.4370839311064113,
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5636061578129702,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.5226661240751707,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5144023184192822,
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,0.5288319858502497,
ZQ2022_N2,0.5460774258514178,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5128906358681629,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5016713517454138,
HS2024_8_I_T3,,
CF2017_EOC 3,0.5291638293103051,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,0.536511055251324,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5021073732025748,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5735506396710657,
FSO2013_Ratio H/M normalized Rep2,0.5532247354310575,
RAM2015_Log2 A,,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.5457430242566725,
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5269377202398565,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5198739785764517,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5284174405746794,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.5345489609094386,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,0.6520870696358795
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5554754677610197,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.542377695857601,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5368109936208126,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5339303764122443,
DL2023_control-1,0.5163506725995386,
AR2021_ALG 10 μM,0.4992463622606914,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5354458533644746,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.5096046965212526,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5244838502854993,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5351804874161179,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.554896616056174,
JW2021_After_3,0.5684672163724356,
GF2025_P8_Sph,0.5057487074639535,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5330025864068576,
CK2022_11 200-1,0.5356664073991518,
CK2022_12 200-1,0.538748030210596,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.511352854512342,
WZ2023_Su_010_20min,0.5038489604188726,
AH2018_TMTMS2_2_N,0.548522478516016,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5138998820670149,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,0.6443850435474637
AH2018_TMTMS3_Pool,0.5221301917631793,
KS2014_Intensity N4,,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5309057039137413,
CK2022_14 200-1,0.5329782833358634,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5136495159752472,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,
JW2021_After_2,0.5841804872714758,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,
GF2025_P1_Adh,0.5471277063247693,
GF2025_P1_Sph,0.4990957614042733,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5002854957811016,
CF2017_EOC 1,0.519244918805161,
CK2022_3 200-1,0.5444257986881238,
AH2018_LFQ_IT_3_C,0.5282939963894139,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.5402013587862672,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5440285717667652,
JW2021_Before_2,0.5627428444656266,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,0.5439641416195936,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.4802608738993744,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5368958239878736,
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5320767925190044,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.4886740132474389,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5034384331741286,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5305709719008511,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5295311297731132,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,
AH2018_LFQ_M_1_N,0.5174229284951617,
KBE2022_Log2_Ex_27_U,0.5325944848428797,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.5817806442635087,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,
RN2012_L13,0.5168201759482335,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5549980777056055,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.6149703803422345,
HH2022_Reporter intensity 6,0.5026029440006357,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.4941551735039714,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.5479573900282478,
GF2025_P3_Adh,0.526904350780828,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5484193117109485,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.49523016055849933,
