DatasetName,NCL_S(145) NCL_S(153) NCL_S(168) NCL_S(2) NCL_S(211) NCL_S(25) NCL_S(26) NCL_S(28) NCL_S(328) NCL_S(34) NCL_S(356) NCL_S(4) NCL_S(41) NCL_S(42) NCL_S(457) NCL_S(458) NCL_S(460) NCL_S(482) NCL_S(485) NCL_S(494) NCL_S(496) NCL_S(5) NCL_S(532) NCL_S(568) NCL_S(577) NCL_S(580) NCL_S(591) NCL_S(595) NCL_S(60) NCL_S(608) NCL_S(609) NCL_S(619) NCL_S(835) NCL_S(9) NCL_T(106) NCL_T(113) NCL_T(121) NCL_T(367) NCL_T(405) NCL_T(464) NCL_T(501) NCL_T(577) NCL_T(583) NCL_T(584) NCL_T(587) NCL_T(63) NCL_T(69) NCL_T(76) NCL_T(84) NCL_T(92) NCL_T(97) NCL_T(99),NCL_S(12) NCL_S(18) NCL_S(184) NCL_S(206) NCL_S(3) NCL_S(563) NCL_S(62) NCL_S(63) NCL_S(67) NCL_T(102) NCL_T(105) NCL_T(62) NCL_T(95)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,0.7220586103099028
FSO2013_Ratio M/L normalized Rep3,0.48798735832185225,0.7024721190353677
SR2019_MCF7_Biol_repl_3,0.5065069543792952,0.7451610108463126
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.5038118042845603,0.7294934585384668
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.4973542066707405,0.7411182206157468
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5077270572064226,0.72482274556565
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5107998532745438,
ZX2022_Control Replicate 2,0.4867734930267383,0.7016221465376431
HS2024_6_B_T3,0.5373053832034868,0.7230738759101427
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5049294770215135,0.7310871893554254
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5071801841192537,0.7146660958909172
SR2019_MDAMB231_Biol_repl_4,0.5059502474415996,0.7368737900902508
GF2025_P2_Sph,0.5096216287594554,0.6799188246033017
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.49944278749204163,0.741681084709292
DB2022_Intensity L2,,0.7120297396460202
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5056464815276306,0.7306062671837421
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.4867575069043278,0.7101985964765143
FSO2013_Ratio M/L normalized Rep1___1,0.5013648679989371,0.7145815737904194
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,0.7078193874169372
RB2022_5_PreEndurance,,0.7107517453492384
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.49991267728122374,0.700508279083828
WZ2023_Pu_010_30min,0.5101583562988661,0.7460870565280929
AS2011_Ratio H/L Proteins RNAi_2,0.507519867282176,0.7000565723235979
RB2022_4_PreStrength,,0.7104852471905344
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5028525910423037,0.735501115748473
RB2022_8_RecoveryEndurance,,0.723157545360868
KBE2022_Log2_Ex_14_U,0.49998044415022114,0.743996030349272
FSO2013_Ratio M/L normalized Rep3___3,0.49397067375294246,
AH2018_TMTMS3_1_C,0.5273443910562408,0.7327049697625626
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.7164583529050454
PG2020_Intensity 8h_C,0.50697868801579,0.7235526004585255
AH2018_SILAC_MR_2_N,0.5070300810230353,0.7383014956088044
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,0.7121680165509614
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.49887584522821915,0.7043723804318365
AS2011_Ratio H/L Proteins Inhi_2,0.5369300575469984,0.7378989799396533
BS2014_Log2(Ratio H/L normalized),0.5042137917411332,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5025305339696058,0.6941774343473406
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,0.7098454334449958
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.722328227820842
GF2025_P6_Sph,0.500553803901828,0.6932355840448624
RB2022_2_PreSprint,,0.7167818430855489
ZX2022_CB treated Replicate 3,0.48234638828530574,0.6998078155727535
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5159351135081246,0.7483809229695311
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5057942705693973,0.7310797561661497
KBE2022_Log2_Ex_34_U,0.4960878608868671,0.7432511253048601
WZ2023_Pu_005_10min,0.5145520691663827,0.7456813223969646
AS2011_Ratio H/L RNAi_2_1,0.505448192719001,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5067014589222814,0.7416100945117206
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5127381733604677,0.7489816108642203
AH2018_SILAC_MR_2_X,0.509077365877006,0.7332345606785408
HS2024_4_PD_T2,0.5200871037712069,0.7258071666717784
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,0.7015154333975485
AS2011_Ratio H/L Protein RNAi_1,0.5048934719089325,0.7210977262228215
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5026323920354396,0.7065924132081829
FR2021_Norm.Intensity.B,0.510713862976472,0.7371804096699377
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5031786421142374,
RB2022_5_PostSprint,,0.707021750290233
EJN2021_3_Rest_Basal,,0.7104831869620961
CR2017_Ratio Replicate 1.3,0.5071827704766435,0.7140523909484552
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.49278537117595206,0.7326481628693382
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.49276831959648987,0.7297889353814551
HS2024_7_PD_T2,0.4942848152764945,0.694117244516092
FSO2013_Ratio H/L normalized Rep1___1,0.5106599593313592,0.7122130146702627
AH2018_LFQ_1_C,0.5034617739749133,0.7315168537842831
AS2011_Ratio H/L Normalized Inhi_1_3,0.5002750674011952,0.6890602814346666
KBE2022_Log2_Ex_28_T,0.5044413262237799,0.7357222917167949
HS2024_3_B_N1,0.47094160054304884,0.7052610690687781
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5098143573591606,0.7342256331430679
CK2022_11 40-1,0.5060470296677828,0.7419231155102891
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.504862725893111,0.7259527302797874
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5023814288007271,0.7315299832227729
FSO2013_Ratio H/L normalized Rep2,0.5082535518302085,0.7161031879435119
WZ2023_Pu_005_20min,0.512956251084879,0.7389609168727559
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5049288612890271,0.7156011979333627
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.4730436019580627,0.696550284578925
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,0.49721282206316875,0.7129941796237568
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,0.7419733705271384
AH2018_LFQ_M_1_C,0.5047072060851745,0.7328359579306784
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5005153806425626,0.7265347234204569
HS2024_9_B_T2,0.466961472765509,0.6913266156028812
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5125311322103858,0.7273769293980945
FSO2013_Ratio M/L normalized Rep3___2,0.49787358360393574,
SR2019_BT549_Biol_repl_3,0.506761309949339,0.746043290804968
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,0.5158422276040054,0.7298696039113545
RB2022_2_PreStrength,,0.7183910072568502
DB2022_LFQ intensity L1.2,,0.7124105858947025
HS2024_4_B_N1,0.5020199520467815,0.7176720224805236
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.49891828271160193,0.7460436298904504
CK2022_1 200-1,0.5101418688201292,0.7377316782810752
PG2020_Intensity Mock_10h_D,0.5025200827621255,0.7202804784714142
SR2019_MCF10A_Biol_repl_2,0.4980139586576228,0.7256072676309542
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.4555563776207048,0.6975302640378847
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.5011316699956728,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5160026197359564,0.6935615365290387
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.5055804166472885,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.5027225982359851,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5076919515957558,0.70624966379253
PG2020_Intensity 2h_C,0.5010208794389875,0.720340881795279
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.47460413543088126,0.6961619935861774
KBE2022_Log2_Ex_8_T,0.5015516332509653,0.7380407359559163
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.4540875360481514,0.6988621859696722
RN2012_L11,0.4968232822755345,0.7015073871026005
AS2011_Ratio H/L Normalized Inhi_2_2,0.5245148247853064,0.7287756084738487
IMM2018_normalised rep. int. Empty-1,0.505912083416808,0.7322225422811314
HS2024_5_PD_T1,0.47722119858125533,0.6995794898572691
AH2018_LFQ_M_2_C,0.5071306300375387,0.7343917216942751
CK2022_3 40-1,0.5046713173896558,0.743818961673955
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.4960274484847315,0.7094856339881647
