DatasetName,DBNL_M(269) DBNL_M(275) DBNL_S(129) DBNL_S(160) DBNL_S(166) DBNL_S(172) DBNL_S(180) DBNL_S(198) DBNL_S(204) DBNL_S(212) DBNL_S(232) DBNL_S(269) DBNL_S(270) DBNL_S(274) DBNL_S(275) DBNL_S(276) DBNL_S(283) DBNL_S(284) DBNL_S(38) DBNL_S(5) DBNL_S(647) DBNL_T(167) DBNL_T(168) DBNL_T(188) DBNL_T(220) DBNL_T(26) DBNL_T(266) DBNL_T(270) DBNL_T(288) DBNL_T(291) DBNL_T(292) DBNL_T(3) DBNL_Y(162) DBNL_Y(37),DBNL_S(141) DBNL_S(169) DBNL_S(223) DBNL_S(272) DBNL_S(273) DBNL_S(3) DBNL_S(9) DBNL_Y(140)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.544300613425208,
FSO2013_Ratio M/L normalized Rep3,0.5483149957640452,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.546798418955167,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5494114167635679,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5484433701134251,
ZX2022_Control Replicate 2,0.5543733319482955,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5514863680815478,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5540893628547524,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5576320657084755,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5515212169176016,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5515075005241468,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5495953018898668,
RB2022_5_PreEndurance,0.5466873270997743,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5221606220160762,
WZ2023_Pu_010_30min,0.5668625284700435,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5440896320202535,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5529290698328783,
RB2022_8_RecoveryEndurance,0.5582593772302124,
KBE2022_Log2_Ex_14_U,0.5531124011731223,0.3785295445427302
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5531305346705236,0.3940429623902705
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,0.4273682747926608
RB2022_5_PreSprint,0.5511383195442684,
PG2020_Intensity 8h_C,0.5426502083228146,
AH2018_SILAC_MR_2_N,0.545809732022575,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,0.5556029618369482,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.544725072644503,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,0.5473167477538589,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5645544493501715,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5456929100859329,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.5589164495677796,
GF2025_P6_Sph,0.5553511260948433,
RB2022_2_PreSprint,0.5505877862929839,
ZX2022_CB treated Replicate 3,0.5532198491121922,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.566364138585422,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5515396268632299,
KBE2022_Log2_Ex_34_U,0.5562627079645265,
WZ2023_Pu_005_10min,0.5735563746296517,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5537581555711848,
