DatasetName,NACA_S(1066) NACA_S(1098) NACA_S(11) NACA_S(12) NACA_S(13) NACA_S(1404) NACA_S(1511) NACA_S(1607) NACA_S(17) NACA_S(18) NACA_S(19) NACA_S(191) NACA_S(193) NACA_S(1980) NACA_S(1995) NACA_S(2) NACA_S(2022) NACA_S(2066) NACA_S(21) NACA_S(257) NACA_S(271) NACA_S(340) NACA_S(38) NACA_S(506) NACA_S(6) NACA_S(625) NACA_S(7) NACA_S(738) NACA_S(793) NACA_S(795) NACA_S(826) NACA_S(829) NACA_S(9) NACA_S(933) NACA_S(935) NACA_T(1039) NACA_T(1109) NACA_T(1265) NACA_T(1303) NACA_T(1362) NACA_T(1439) NACA_T(1471) NACA_T(1606) NACA_T(1615) NACA_T(5) NACA_T(6) NACA_T(8) NACA_T(80) NACA_T(857) NACA_T(866) NACA_T(871) NACA_T(941) NACA_Y(1983),NACA_S(10) NACA_S(1018) NACA_S(1022) NACA_S(1042) NACA_S(1046) NACA_S(1112) NACA_S(1135) NACA_S(1190) NACA_S(1296) NACA_S(1304) NACA_S(1319) NACA_S(1323) NACA_S(1388) NACA_S(1397) NACA_S(1411) NACA_S(1474) NACA_S(1487) NACA_S(1489) NACA_S(1512) NACA_S(1580) NACA_S(1581) NACA_S(1623) NACA_S(1639) NACA_S(1650) NACA_S(166) NACA_S(1713) NACA_S(1757) NACA_S(1962) NACA_S(1977) NACA_S(2029) NACA_S(2049) NACA_S(2054) NACA_S(25) NACA_S(4) NACA_S(5) NACA_S(579) NACA_S(585) NACA_S(765) NACA_S(766) NACA_S(8) NACA_S(800) NACA_S(802) NACA_S(825) NACA_S(855) NACA_S(860) NACA_S(87) NACA_S(874) NACA_S(916) NACA_S(917) NACA_S(93) NACA_S(949) NACA_T(1010) NACA_T(1015) NACA_T(1034) NACA_T(1128) NACA_T(1132) NACA_T(12) NACA_T(1293) NACA_T(1326) NACA_T(1385) NACA_T(1418) NACA_T(1421) NACA_T(1427) NACA_T(1434) NACA_T(1620) NACA_T(1636) NACA_T(1638) NACA_T(1643) NACA_T(2) NACA_T(2022) NACA_T(2024) NACA_T(2133) NACA_T(4) NACA_T(744) NACA_T(853) NACA_T(9) NACA_T(946) NACA_T(956),NACA_S(1653) NACA_S(1819) NACA_S(1827) NACA_S(2138) NACA_S(3) NACA_S(36) NACA_S(972) NACA_T(1403)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,0.45191824926403024,0.5586258571429027,0.7536951642080469
FSO2013_Ratio M/L normalized Rep3,,,
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,
RCJD2014_15min_1,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,,0.5595323632207637,
NJH2025_Sub12_HIIT_Mid,0.45306921199332534,0.5472631326994246,
AH2018_LFQ_IT_1_C,,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,0.46196898805942316,0.5647078801041112,
NJH2025_Sub7_MICT_Post,0.4586550167095208,0.5563345190768015,
DL2023_control-3,,0.5590644714317943,
ZX2022_Control Replicate 2,,0.559448356360627,0.7409509809071835
HS2024_6_B_T3,,,
JW2015_Intensity pre1,0.45717002270161905,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,,
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,0.4474043165733482,0.5472237450631614,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,0.4550771738972841,0.5572882539425701,
KBE2022_Log2_Ex_44_T,0.45604390309890835,,
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,0.45618293327631865,0.5589171141890105,
FSO2013_Ratio M/L normalized Rep1___1,,,
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,0.4539525411168817,0.5547030990273643,0.7213236358070382
RB2022_5_PreEndurance,0.45232280170150446,0.54565567798802,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,,0.5552755244528969,
WZ2023_Pu_010_30min,0.4550523563232894,0.5582187231195959,
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,0.44642149008306303,0.5577819822120624,
