DatasetName,CDC26_S(42) CDC26_S(52) CDC26_S(56) CDC26_S(82),CDC26_S(76)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5294242798267186,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5195034885746441,
SR2019_LM2_Biol_repl_1,0.5479393079650684,
RCJD2014_15min_1,0.5257780156157063,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.544823897830755,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,0.5455739614292322,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,0.5717069415085899,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5425468541421854,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5642460009744877,
SR2019_MDAMB231_Biol_repl_4,0.5634651830014745,
GF2025_P2_Sph,0.6153022334271493,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5260373458148575,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.6000268790861645,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5642384165294012,
SAS2015_AZD/DMSO_Exp3,0.5390376128064925,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5816341272932726,
WZ2023_Pu_010_30min,0.5575927714005355,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,0.5333217979857641,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5122267664752042,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5010749073294555,
AH2018_SILAC_MR_2_N,0.5453402108053159,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5993845221560556,
MV2014_Ratio M/H normalized B3___1 (30 min),0.4960121687109849,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5467461879114172,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.515552570386499,
UK2020_HCM_2,0.5281935860283516,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5302235671044143,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,0.5381263640974708,
TM2022_S2.4h.A,0.6008847619861087,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.6015340773227373,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5586858027768088,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.5306527000933654,
WZ2023_Pu_005_10min,0.5585318576071129,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,0.5236336256225312,
CK2022_9 40-1,0.5808326375337358,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5583770957511686,
AH2018_SILAC_MR_2_X,0.5658636816402054,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,0.5355495453629552,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5547604438109395,
FR2021_Norm.Intensity.B,0.5574760181791139,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5653970365722265,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,0.5373728073417644,
CR2017_Ratio Replicate 1.3,0.551752778643125,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5536204137609866,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5475611319450834,
HS2024_3_B_N1,0.5860720579691147,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5599632819223546,
CK2022_11 40-1,0.5811779363012592,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.5461096769136008,
WZ2023_Pu_005_20min,0.5550731769397313,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5490133959066738,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.5822170808725684,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5676090369048934,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.5669483926745441,
RCJD2014_20min_mean,0.5451548868238537,
FR2021_Norm.Intensity.H,0.5549752145415586,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5472281510503704,
CK2022_1 200-1,0.5722673472445038,
PG2020_Intensity Mock_10h_D,0.5103315526040255,
SR2019_MCF10A_Biol_repl_2,0.5721411612976476,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5605003714165979,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,0.578485558668647,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5205915842000406,
RCJD2014_5min_1,0.5358736248242315,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.568353415697344,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.6008679435013053,
SAS2015_PLX/AZD_Exp2,0.5487112958482833,
CR2017_Ratio Replicate 3.3,0.5692057240044536,
PG2020_Intensity 2h_C,0.5114844887663511,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5452800631454185,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5426287010004682,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,0.5826315066919227,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,0.532419010100886,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.6246990687721512,
EJN2021_5_Rest_Basal,0.5344298297489903,
NJH2025_Sub2_HIIT_Post,0.5115345072390429,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5890205339264586,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.5517728579858789,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5648203543140222,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5434621445282873,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),0.49953611916742385,
RBK2021_1244T Early,,
RB2022_3_PostSprint,0.5545263430135143,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5778003433465795,
HS2024_8_I_T3,,
CF2017_EOC 3,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.550144947114152,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5600908336028467,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5817300041753656,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5380890050455401,
KS2014_Intensity N3,0.5225286695587419,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.5336544473705332,
RAM2015_Log2 A,0.6139368929421504,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5077417812720898,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.5132296556696284,
SR2019_JIMT1_Biol_repl_1,0.5639399621906344,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.6123327476984766,
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,0.5243204909221255,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,0.524400137863768,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5236973331549747,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5500168975838614,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,0.5381263640974708,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,0.532419010100886,
EP2017_Untreated R#4 log2 ratio,0.5819010966104694,
HS2024_6_B_N1,0.5831001417884654,
KBE2022_Log2_Ex_27_T,0.5271498009094429,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,0.5014540441018658,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.5742611306328027,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.4841938629402752,
FSO2013_Ratio M/L normalized Rep2,0.5483173181258537,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,0.5598649039729302,
CK2022_14 40-1,0.573860444576629,
RB2022_6_PreSprint,0.577775495124488,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5247212899815747,
NJH2025_Sub2_MICT_Post,0.5254242169380113,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5570453758271572,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,0.5365063382354948,
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.6003008000814184,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,0.5422024601492073,
HH2022_Reporter intensity 3,,0.2426548263350099
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,0.5541037337561209,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.5955726267942236,
CK2022_12 200-1,0.5848905197129647,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.5576295731997052,
AH2018_TMTMS2_2_N,0.5131415676762918,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.531433495455186,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5894984130088212,
KS2014_Intensity N4,0.5341535620888522,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.5838472935071487,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.5595439499913996,
TM2022_mock.4h.A,0.5992702020030602,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.609677631882222,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.511420514001603,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,0.5254242169380113,
EJN2021_2_Rest_Ins,0.5378735382632354,
SR2019_LM2_Biol_repl_4,0.5503946247866722,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5624952551116378,
GF2025_P1_Adh,0.5942619356210931,
GF2025_P1_Sph,0.6121855888086288,
EJN2021_5_Ex_Basal,0.5321259246489796,
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5601548679011197,
CF2017_EOC 1,,
CK2022_3 200-1,0.5717466379195072,
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),0.5528973432749725,
RB2022_3_RecoverySprint,0.5409619878424773,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5684413267380586,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5586080669772201,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.5661468599395965,
HS2024_3_B_T2,0.5824897218545326,
RB2022_6_PreStrength,0.5750537397803024,
CK2022_2 40-1,0.5814842782232297,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5751989974517357,
JW2021_Before_2,,
TM2022_S2.12h.A,0.6023096376640097,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5397473893218103,
AR2021_ALG 1 μM,0.5749331945292305,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),0.5463495490271196,
SR2019_BT549_Biol_repl_4,0.5690400287997264,
EJN2021_1_Rest_Basal,0.5346625813712983,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5915738245295428,
CR2017_Ratio Replicate 3.2,0.5412340083437287,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5689606385650344,
CK2022_9 16-1,0.5776967471605523,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5836418598249961,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.48319326609040647,
CK2022_16 16-1,0.5568643689583831,
FS2019_db/db3,,
CK2022_15 40-1,0.5750355515356137,
NJH2024_Sub9_MICT_Pre,0.5272954116222295,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5596824041702954,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5294887944220397,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5800164226329536,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.5231806610469196,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),0.5266254193603033,
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,0.5847075753630276,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5183464863951321,
NJH2025_Sub9_MICT_Post,0.5278872997748214,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5565229890577189,
RN2012_L13,,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,
SR2019_SKBR3_Biol_repl_3,0.5562264737220622,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.5813303260837377,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
