DatasetName,AMK2021_120R_p1,AMK2021_120R_p3,AMK2021_120R_p5,AMK2021_30R_p1,AMK2021_30R_p3,AMK2021_45I_p1,AMK2021_45I_p3,AMK2021_45I_p5,AMK2021_Ctrl_p1,AMK2021_Ctrl_p3,AMK2021_Ctrl_p5,AST2020_Control,AST2020_Control.1,AST2020_Control.2,AST2020_anti-CD3,AST2020_anti-CD3+PDL2,AST2020_anti-CD3+PDL2.1,AST2020_anti-CD3+PDL2.2,AST2020_anti-CD3.1,AST2020_anti-CD3.2,CF2017_EOC 1,CF2017_EOC 13,CF2017_EOC 14,CF2017_EOC 15,CF2017_EOC 16,CF2017_EOC 17,CF2017_EOC 2,CF2017_EOC 3,CF2017_EOC 4,CF2017_FTE 1,CF2017_FTE 2,CF2017_FTE 3,CF2017_FTE 4,CKC2017_0min_p1,CKC2017_0min_p2,CKC2017_0min_p3,CKC2017_120min_p1,CKC2017_120min_p2,CKC2017_120min_p3,CKC2017_15min_p1,CKC2017_15min_p2,CKC2017_15min_p3,CKC2017_30min_p1,CKC2017_30min_p2,CKC2017_30min_p3,CKC2017_60min_p1,CKC2017_60min_p2,CKC2017_60min_p3,CKC2017_90min_p1,CKC2017_90min_p2,CKC2017_90min_p3,DB2022_Intensity_L1,DB2022_Intensity_L2,DB2022_Intensity_R1,DB2022_Intensity_R2,DB2022_L1,DB2022_L1.1,DB2022_L1.2,DB2022_L2,DB2022_L2.1,DB2022_L2.2,DB2022_R1,DB2022_R1.1,DB2022_R1.2,DB2022_R2,DB2022_R2.1,DB2022_R2.2,EJN2021_1_Ex_Basal,EJN2021_1_Ex_Ins,EJN2021_1_Rest_Basal,EJN2021_1_Rest_Ins,EJN2021_2_Ex_Basal,EJN2021_2_Ex_Ins,EJN2021_2_Rest_Basal,EJN2021_2_Rest_Ins,EJN2021_3_Ex_Basal,EJN2021_3_Ex_Ins,EJN2021_3_Rest_Basal,EJN2021_3_Rest_Ins,EJN2021_4_Ex_Basal,EJN2021_4_Ex_Ins,EJN2021_4_Rest_Basal,EJN2021_4_Rest_Ins,EJN2021_5_Ex_Basal,EJN2021_5_Ex_Ins,EJN2021_5_Rest_Basal,EJN2021_5_Rest_Ins,FS2019_Ctr1,FS2019_Ctr2,FS2019_Ctr3,FS2019_dbdb1,FS2019_dbdb2,FS2019_dbdb3,GF2025_P10_Adh,GF2025_P10_Sph,GF2025_P1_Adh,GF2025_P1_Sph,GF2025_P2_Adh,GF2025_P2_Sph,GF2025_P3_Adh,GF2025_P3_Sph,GF2025_P4_Adh,GF2025_P4_Sph,GF2025_P5_Adh,GF2025_P5_Sph,GF2025_P6_Adh,GF2025_P6_Sph,GF2025_P7_Adh,GF2025_P7_Sph,GF2025_P8_Adh,GF2025_P8_Sph,GF2025_P9_Adh,GF2025_P9_Sph,HH2022_Reporter_intensity_0_p1,HH2022_Reporter_intensity_0_p2,HH2022_Reporter_intensity_0_p3,HH2022_Reporter_intensity_1_p1,HH2022_Reporter_intensity_1_p2,HH2022_Reporter_intensity_1_p3,HH2022_Reporter_intensity_2_p1,HH2022_Reporter_intensity_2_p2,HH2022_Reporter_intensity_2_p3,HH2022_Reporter_intensity_3_p1,HS2024_R03_B_T1,HS2024_R03_B_T2,HS2024_R03_B_T3,HS2024_R03_I_T1,HS2024_R03_I_T2,HS2024_R03_I_T3,HS2024_R03_N_T1,HS2024_R03_N_T2,HS2024_R03_N_T3,HS2024_R03_PD_T1,HS2024_R03_PD_T2,HS2024_R03_PD_T3,HS2024_R04_B_T1,HS2024_R04_B_T2,HS2024_R04_B_T3,HS2024_R04_I_T1,HS2024_R04_I_T2,HS2024_R04_I_T3,HS2024_R04_N_T1,HS2024_R04_N_T2,HS2024_R04_N_T3,HS2024_R04_PD_T1,HS2024_R04_PD_T2,HS2024_R04_PD_T3,HS2024_R05_B_T1,HS2024_R05_B_T2,HS2024_R05_B_T3,HS2024_R05_I_T1,HS2024_R05_I_T2,HS2024_R05_I_T3,HS2024_R05_N_T1,HS2024_R05_N_T2,HS2024_R05_N_T3,HS2024_R05_PD_T1,HS2024_R05_PD_T2,HS2024_R05_PD_T3,HS2024_R06_B_T1,HS2024_R06_B_T2,HS2024_R06_B_T3,HS2024_R06_I_T1,HS2024_R06_I_T2,HS2024_R06_I_T3,HS2024_R06_N_T1,HS2024_R06_N_T2,HS2024_R06_N_T3,HS2024_R06_PD_T1,HS2024_R06_PD_T2,HS2024_R06_PD_T3,HS2024_R07_B_T1,HS2024_R07_B_T2,HS2024_R07_B_T3,HS2024_R07_I_T1,HS2024_R07_I_T2,HS2024_R07_I_T3,HS2024_R07_N_T1,HS2024_R07_N_T2,HS2024_R07_N_T3,HS2024_R07_PD_T1,HS2024_R07_PD_T2,HS2024_R07_PD_T3,HS2024_R08_B_T1,HS2024_R08_B_T2,HS2024_R08_B_T3,HS2024_R08_I_T1,HS2024_R08_I_T2,HS2024_R08_I_T3,HS2024_R08_N_T1,HS2024_R08_N_T2,HS2024_R08_N_T3,HS2024_R08_PD_T1,HS2024_R08_PD_T2,HS2024_R08_PD_T3,HS2024_R09_B_T1,HS2024_R09_B_T2,HS2024_R09_B_T3,HS2024_R09_I_T1,HS2024_R09_I_T2,HS2024_R09_I_T3,HS2024_R09_PD_T1,HS2024_R09_PD_T2,JAW2011_HS,JAW2011_HS_1,JAW2011_LS1a,JAW2011_LS1a_1,JAW2011_LS1b,JAW2011_LS1b_1,JAW2011_LS2,JAW2011_LS2_1,JB2023_Intensity_20220718_C28798_002_S397439_M2_prim_IIM_R3_Group_4___1,JB2023_Intensity_20220718_C28798_002_S397439_M2_prim_IIM_R3_Group_4___2,JB2023_Intensity_20220718_C28798_002_S397439_M2_prim_IIM_R3_Group_4___3,JB2023_Intensity_20220718_C28798_003_S397432_M2_prim_IS_R4_Group_2___1,JB2023_Intensity_20220718_C28798_003_S397432_M2_prim_IS_R4_Group_2___2,JB2023_Intensity_20220718_C28798_003_S397432_M2_prim_IS_R4_Group_2___3,JB2023_Intensity_20220718_C28798_004_S397437_M2_prim_IIM_R1_Group_4___1,JB2023_Intensity_20220718_C28798_004_S397437_M2_prim_IIM_R1_Group_4___2,JB2023_Intensity_20220718_C28798_004_S397437_M2_prim_IIM_R1_Group_4___3,JB2023_Intensity_20220718_C28798_005_S397438_M2_prim_IIM_R2_Group_4___1,JB2023_Intensity_20220718_C28798_005_S397438_M2_prim_IIM_R2_Group_4___2
AAAS_S(371),,,,,,,,,,,,0.191866077834149,0.0,0.5458106209261331,0.9111503773023415,1.0,0.7649470033601418,0.6363901942734955,0.03565056756900731,0.5245351282488997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS_S(495),,,,,,,,,,,,,,,,,,,,,0.9906452967532224,0.9999999999999999,0.9987690972777862,0.9978622083562171,0.995870976667249,0.9971175255877655,0.9878144450082856,0.975854581355402,0.9915811846193273,0.9933573197795743,0.9803573686050636,0.9902186244978043,0.9851228745356575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1635721621175584,0.14361261909584835,0.2361498040035787,0.25803977190444727,0.22533349128018912,0.20204788518230168,0.40716397201839144,0.21059546818686287,0.1852101376009287,0.3891228468653743,0.0,0.18155816687342538,0.45457313593559195,0.1903305949558599,0.08350891338386021,0.004103773870930888,0.29375268490633727,0.258980515194875,0.2289302209091742,0.12841847600083656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAGAB_S(201),,,,,,,,,,,,0.07194954110705964,0.0,0.8536065082178794,0.5568905955949219,0.8656782643340222,0.9914086100068147,0.9590732152120864,0.7572570626777235,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1_S(20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.0,,,,,0.5151840442264697,0.443127621548681
AAK1_S(21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.3345143642144386,0.04983245628438571,,,
AAK1_S(618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6381436153414324,0.4113066172657747,0.792456325100853,0.0,0.8588850928903106,0.8006626535100496,1.0,0.7240049996178564,0.669446620851152,,0.7650672242347848,,,0.747514734510467,0.8132414540486692,0.750440595380486,0.5246426891691202,0.5831708129949216,,0.5821792383334964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1_S(622),,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.19273853192776613,0.3676383058349053,0.5215615713450461,,0.7765782578045801,0.7852494093643543,0.8477298856931625,0.5869368622195843,0.33495182983452665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1_S(623),0.6010041501878329,0.622858481273296,0.5825291092199243,0.563632137327627,0.5814938797934185,0.6313186190067599,0.5116665405860936,0.6116746218712823,0.6534815975589526,0.536107023876599,0.5649698658649513,,,,,,,,,,0.9583856731282119,0.9947960455016223,,0.9907014534174501,0.9787801513753474,0.9912283963930633,0.9733322730931577,0.9758850136010806,1.0,0.9614165412368505,0.9790583304599871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28810795971115444,0.2635492939529999,0.32962969595271924,0.27575341384050966,0.29095274465951537,0.36166898103928546,0.3147765887387196,0.33342693116923444,0.2783455393270284,0.1980058447829624,0.2668422119667175,0.0,0.17811772517782504,0.29994910018671184,0.30706504930529566,0.3002658705538532,0.27581970280089024,0.2821562909354693,0.16765830687805944,0.2820489374133773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1_S(624),,,,,,,,,,,,0.2157713021761059,0.2155225731676939,0.21585305931856846,0.2164194851948678,0.215924639367726,0.21600005244201687,0.2162717176035417,0.21597066632269815,0.2166925669757074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8685563954549006,0.8725594126215122,0.8583141935789543,0.8509046496338021,0.901072614907391,0.9013304886500677,0.8940788121045667,0.8847584148747527,0.0,0.026471424095130126,0.04591789203357169,0.07462985989590165,0.8387599155938144,0.8279267366755826,0.8252142189575634,0.833794201753477,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04686059458755396,0.07735550994950306,0.0780520602057351,0.0610389743763512,0.07889723497611835,0.08967666210984652,0.0788847813587679,0.08142361024929971,0.07537207276464235,0.05623971541858998,0.07040160195499028,0.009637790372556451,0.04991042370064597,0.07595541179975282,0.06290765586806488,0.07946264007823395,0.0631990906880117,0.07370077260295073,0.04809325717598989,0.07535429442971275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,0.8816067537572095,0.9233773316840388,,,,,
AAK1_S(634),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8792122378997926,0.8951274336412376,0.9843908644506048,1.0,0.0,0.5651034652703029,,,0.4884852976166254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
