phosphosite_ID,Ratio M/L normalized,Ratio M/L normalized___1,Ratio M/L normalized___2,Ratio M/L normalized___3,Ratio M/L normalized pP1,Ratio M/L normalized pP1___1,Ratio M/L normalized pP1___2,Ratio M/L normalized pP1___3,Ratio M/L normalized pP2,Ratio M/L normalized pP2___1,Ratio M/L normalized pP2___2,Ratio M/L normalized pP2___3,Ratio M/L normalized pP3,Ratio M/L normalized pP3___1,Ratio M/L normalized pP3___2,Ratio M/L normalized pP3___3,Ratio H/L normalized,Ratio H/L normalized___1,Ratio H/L normalized___2,Ratio H/L normalized___3,Ratio H/L normalized pP1,Ratio H/L normalized pP1___1,Ratio H/L normalized pP1___2,Ratio H/L normalized pP1___3,Ratio H/L normalized pP2,Ratio H/L normalized pP2___1,Ratio H/L normalized pP2___2,Ratio H/L normalized pP2___3,Ratio H/L normalized pP3,Ratio H/L normalized pP3___1,Ratio H/L normalized pP3___2,Ratio H/L normalized pP3___3,Ratio H/M normalized,Ratio H/M normalized___1,Ratio H/M normalized___2,Ratio H/M normalized___3,Ratio H/M normalized pP1,Ratio H/M normalized pP1___1,Ratio H/M normalized pP1___2,Ratio H/M normalized pP1___3,Ratio H/M normalized pP2,Ratio H/M normalized pP2___1,Ratio H/M normalized pP2___2,Ratio H/M normalized pP2___3,Ratio H/M normalized pP3,Ratio H/M normalized pP3___1,Ratio H/M normalized pP3___2,Ratio H/M normalized pP3___3
DOT1L_S(1001),-0.7447047333412615,,-0.7447047333412615,,-0.7447047333412615,,-0.7447047333412615,,,,,,,,,,-0.602525582954102,,-0.602525582954102,,-0.602525582954102,,-0.602525582954102,,,,,,,,,,-0.008783844919687887,,-0.008783844919687887,,-0.008783844919687887,,-0.008783844919687887,,,,,,,,,
DOT1L_S(1009),-0.7447047333412615,,-0.7447047333412615,,-0.7447047333412615,,-0.7447047333412615,,,,,,,,,,-0.602525582954102,,-0.602525582954102,,-0.602525582954102,,-0.602525582954102,,,,,,,,,,-0.008783844919687887,,-0.008783844919687887,,-0.008783844919687887,,-0.008783844919687887,,,,,,,,,
UBAP2_S(473),0.38526535935068074,0.38526535935068074,,,-0.6673321616670693,-0.6673321616670693,,,0.4814022827632454,0.4814022827632454,,,0.38526535935068074,0.38526535935068074,,,0.16684396441249089,0.16684396441249089,,,-0.34219538604868616,-0.34219538604868616,,,-0.1975668709288195,-0.1975668709288195,,,0.565987040750771,0.565987040750771,,,0.28166857997284495,0.28166857997284495,,,0.306378910710963,0.306378910710963,,,-0.6398717435082282,-0.6398717435082282,,,0.2916035580305647,0.2916035580305647,,
NUCKS1_S(214),-0.20111170007030657,-0.20111170007030657,-0.40220664975719495,0.10701824988212043,-0.30891255904810616,-0.30891255904810616,-0.5658441863899304,-0.37058275885696446,-0.24862197755084559,-0.24862197755084559,0.15328652099086262,,0.10433665981473553,0.10433665981473553,0.14782766837732045,0.35648190225687115,-0.05703141042195106,-0.05703141042195106,-0.028793075844041394,0.16414264884830632,0.0,0.0,-0.2109802742108377,0.2270016745890376,-0.2637328392681129,-0.2637328392681129,0.23388806017427727,,-0.03640750590354383,-0.03640750590354383,0.45974635413086756,0.12895322038600612,-0.045937726862621237,-0.045937726862621237,0.24865627000440324,0.27655621838606215,0.38714192839716993,0.38714192839716993,0.27572225616074836,0.4379734003380242,-0.08799403114040555,-0.08799403114040555,0.03449746419944489,,-0.09784150200884735,-0.09784150200884735,0.32054244242845936,0.12921706366415348
NUCKS1_S(204),-0.4934183675886122,-0.4934183675886122,-0.512184399770617,0.10701824988212043,0.5965535527425057,0.5965535527425057,-0.512184399770617,-0.37058275885696446,-1.2354500168576565,-1.2354500168576565,,,0.24865627000440324,0.24865627000440324,0.21200896011356488,0.35648190225687115,0.009060468156383597,0.009060468156383597,0.1457426602776055,0.16414264884830632,-0.2125006682012082,-0.2125006682012082,0.1457426602776055,0.2270016745890376,-0.09297091231506939,-0.09297091231506939,,,0.11116488907888972,0.11116488907888972,0.4669663842730794,0.12895322038600612,0.6161694661867307,0.6161694661867307,0.46560884839559313,0.27655621838606215,-0.8283063771736767,-0.8283063771736767,0.46560884839559313,0.4379734003380242,1.2417181745967014,1.2417181745967014,,,-0.009422648824612273,-0.009422648824612273,0.1767057381891143,0.12921706366415348
BIN1_S(296),0.11076412189980747,0.11076412189980747,-0.18141117623171568,,-0.023460391868989305,-0.023460391868989305,-0.31719301397209587,,0.14925936549962288,0.14925936549962288,0.011924948479708557,,0.37250640898616877,0.37250640898616877,,,-0.031179327540511573,-0.031179327540511573,0.2184712107432615,,0.05630606033187654,0.05630606033187654,0.2654368960490983,,-0.37602079767710966,-0.37602079767710966,-0.4064836809894609,,0.13145778547908782,0.13145778547908782,,,-0.20706137759963106,-0.20706137759963106,0.3264222961010625,,0.17043786850810766,0.17043786850810766,0.39429462049465747,,-0.5268677087973583,-0.5268677087973583,-0.5206452523131584,,-0.20706137759963106,-0.20706137759963106,,
BIN1_S(298),0.18218376912146833,0.18218376912146833,0.580531438155187,,0.1655582544611737,0.1655582544611737,0.9559822847719376,,0.35332329116289674,0.35332329116289674,0.2051422406252982,,0.03773362744651491,0.03773362744651491,,,-0.10716603270398524,-0.10716603270398524,0.5906259703457475,,-0.23977053580193644,-0.23977053580193644,1.31388432800847,,0.13382652729882785,0.13382652729882785,-0.13268863783340903,,-0.10716603270398524,-0.10716603270398524,,,-0.1927604981625374,-0.1927604981625374,0.3171882775965018,,-0.4699092759875196,-0.4699092759875196,0.39429462049465747,,-0.20350191744580204,-0.20350191744580204,-0.38822327858091776,,-0.09281704782099316,-0.09281704782099316,,
BIN1_S(303),0.07833657112117902,0.07833657112117902,-0.38093449889398556,,-0.17258742560114246,-0.17258742560114246,-0.38909209893448105,,0.0824300999459491,0.0824300999459491,-0.18141117623171568,,0.17696099208944205,0.17696099208944205,,,-0.017884398413821733,-0.017884398413821733,0.13920752027125408,,-0.0039439433971980445,-0.0039439433971980445,0.14925936549962288,,-0.31143467563890975,-0.31143467563890975,-0.68028958831249,,0.0822938359514309,0.0822938359514309,,,-0.13874333136369735,-0.13874333136369735,0.5191392826429724,,0.13000830410860617,0.13000830410860617,0.5332643130717917,,-0.3495295233467138,-0.3495295233467138,-0.6530828118662896,,-0.13874333136369735,-0.13874333136369735,,
SGTA_S(305),-0.4415952062127222,-0.4415952062127222,1.2904833844683572,,1.6977293461495846,1.6977293461495846,1.4503270872783944,,-0.936414225906738,-0.936414225906738,,,-0.2542205487836333,-0.2542205487836333,-0.12447154601691147,,-1.4502027049166484,-1.4502027049166484,1.0357646536009746,,1.198619873219215,1.198619873219215,1.1790651153426415,,0.6070106659013291,0.6070106659013291,,,-1.662734199980414,-1.662734199980414,-0.9264813591884465,,-0.9426953043899785,-0.9426953043899785,-0.42273312546085157,,-0.4960407294696436,-0.4960407294696436,-0.2339391901925557,,1.5637438774838905,1.5637438774838905,,,-1.342634384441633,-1.342634384441633,-0.8733442544240012,
SGTA_S(307),1.6371001240563314,1.6371001240563314,0.5235619560570128,,1.6371001240563314,1.6371001240563314,1.2822618665876497,,,,,,-0.235178290892707,,-0.235178290892707,,1.2034517656090966,1.2034517656090966,0.08283881472489178,,1.2034517656090966,1.2034517656090966,1.3248106034204836,,,,,,-1.1592346626761258,,-1.1592346626761258,,-0.44929630375211216,-0.44929630375211216,-0.5091013216196989,,-0.44929630375211216,-0.44929630375211216,-0.10928094286855976,,,,,,-0.9089027543708469,,-0.9089027543708469,
