TargetFeature,colsample_bytree,gamma,max_depth,min_child_weight,n_estimators,subsample,mean_mse,mean_r2
ERCC5_S(1069) ERCC5_S(156) ERCC5_S(157) ERCC5_S(173) ERCC5_S(310) ERCC5_S(311) ERCC5_S(318) ERCC5_S(323) ERCC5_S(341) ERCC5_S(355) ERCC5_S(356) ERCC5_S(372) ERCC5_S(382) ERCC5_S(384) ERCC5_S(395) ERCC5_S(423) ERCC5_S(424) ERCC5_S(520) ERCC5_S(526) ERCC5_S(562) ERCC5_S(563) ERCC5_S(609) ERCC5_S(699) ERCC5_S(705) ERCC5_S(767) ERCC5_S(952) ERCC5_T(338) ERCC5_T(523) ERCC5_T(528) ERCC5_T(567),0.8,0.5,4,5,8,1.0,0.0544735497045577,0.3993909888883979
DDX39B_C(172) DDX39B_S(184) DDX39B_S(38) DDX39B_S(41) DDX39B_T(172) DDX39B_T(187) DDX39B_T(20),0.8,0.5,4,5,8,1.0,0.0269558508517805,0.2522971455171404
NEDD4L_S(13) NEDD4L_S(307) NEDD4L_S(512) NEDD4L_T(301) NEDD4L_T(339) NEDD4L_Y(485),0.6,0.5,2,1,6,1.0,0.0079155960876342,0.2454031573695817
KLHL25_S(17) KLHL25_S(287),0.8,0.5,3,1,8,1.0,0.008100158235808,0.5076075252131675
TASOR_S(1095) TASOR_S(1103) TASOR_S(1107) TASOR_S(1139) TASOR_S(1144) TASOR_S(1219) TASOR_S(1551) TASOR_S(1552) TASOR_S(1558) TASOR_S(1568) TASOR_S(1648) TASOR_S(1651) TASOR_S(1659) TASOR_S(211) TASOR_S(277) TASOR_S(342) TASOR_S(344) TASOR_S(531) TASOR_S(633) TASOR_S(636) TASOR_S(658) TASOR_S(666) TASOR_S(670) TASOR_S(694) TASOR_S(699) TASOR_S(800) TASOR_S(903) TASOR_S(927) TASOR_S(945) TASOR_S(971) TASOR_S(972) TASOR_S(978) TASOR_S(979) TASOR_S(99) TASOR_T(207) TASOR_T(347) TASOR_T(701) TASOR_T(819) TASOR_T(921) TASOR_T(982) TASOR_Y(638) TASOR_Y(805) TASOR_Y(974),0.8,0.5,4,1,8,1.0,0.0423706882285697,0.5307912762329907
SF3A1_M(374) SF3A1_M(376) SF3A1_S(25) SF3A1_S(329) SF3A1_S(359) SF3A1_S(376) SF3A1_S(55) SF3A1_T(376),0.8,0.5,4,1,8,1.0,0.0674643088206183,0.5026780259032009
RPL29_T(151) RPL29_Y(98),1.0,0.5,1,10,8,0.8,0.0091714213291376,0.012438792959575
FXYD3_S(69) FXYD3_S(84) FXYD3_S(87) FXYD3_T(76),0.6,0.5,1,1,6,0.6,0.0125908366393483,-0.00442255170893
CD2AP_C(542) CD2AP_C(546) CD2AP_S(1) CD2AP_S(224) CD2AP_S(232) CD2AP_S(233) CD2AP_S(234) CD2AP_S(253) CD2AP_S(256) CD2AP_S(3) CD2AP_S(363) CD2AP_S(404) CD2AP_S(405) CD2AP_S(457) CD2AP_S(458) CD2AP_S(463) CD2AP_S(510) CD2AP_S(514) CD2AP_S(542) CD2AP_S(546) CD2AP_S(551) CD2AP_S(554) CD2AP_S(556) CD2AP_S(582) CD2AP_S(595) CD2AP_S(597) CD2AP_S(6) CD2AP_S(67) CD2AP_S(80) CD2AP_S(86) CD2AP_T(512) CD2AP_T(551) CD2AP_T(553) CD2AP_T(561) CD2AP_T(565) CD2AP_T(87) CD2AP_Y(360) CD2AP_Y(361) CD2AP_Y(548) CD2AP_Y(88),1.0,0.5,4,1,6,1.0,0.0514906352071168,0.387188081295792
ITPRID2_C(704) ITPRID2_S(1040) ITPRID2_S(1045) ITPRID2_S(207) ITPRID2_S(209) ITPRID2_S(273) ITPRID2_S(276) ITPRID2_S(305) ITPRID2_S(316) ITPRID2_S(325) ITPRID2_S(352) ITPRID2_S(353) ITPRID2_S(354) ITPRID2_S(376) ITPRID2_S(380) ITPRID2_S(441) ITPRID2_S(644) ITPRID2_S(706) ITPRID2_S(735) ITPRID2_S(759) ITPRID2_S(770) ITPRID2_T(1134) ITPRID2_T(371) ITPRID2_T(590),0.6,0.5,2,1,2,1.0,0.0143352135843423,0.1009711096235863
ANKS4B_S(182) ANKS4B_S(196) ANKS4B_S(283) ANKS4B_T(215),0.6,0.5,1,1,2,1.0,0.0175867197228553,-0.0026122499436728
MFSD4B_S(432) MFSD4B_S(466),0.6,0.5,2,1,6,0.8,0.0168959209969686,0.0921257846354562
FGD4_S(147) FGD4_S(186) FGD4_S(255) FGD4_S(258) FGD4_S(259) FGD4_S(265) FGD4_S(271) FGD4_S(392) FGD4_S(502) FGD4_S(609) FGD4_S(701) FGD4_S(702) FGD4_T(147),1.0,0.5,3,1,8,1.0,0.0292654963642474,0.1389242531920915
NHS_S(1011) NHS_S(1155) NHS_S(1176) NHS_S(1321) NHS_S(1329) NHS_S(1434) NHS_S(1451) NHS_S(211) NHS_S(214) NHS_S(237) NHS_S(240) NHS_S(323) NHS_S(347) NHS_S(382) NHS_S(394) NHS_S(397) NHS_S(415) NHS_S(418) NHS_S(458) NHS_S(533) NHS_S(561) NHS_S(718) NHS_S(739) NHS_S(884) NHS_S(998) NHS_T(1084) NHS_T(1241) NHS_T(1262) NHS_T(154) NHS_T(169) NHS_T(311) NHS_T(323) NHS_T(332) NHS_T(380) NHS_T(719) NHS_T(819) NHS_T(897) NHS_T(956) NHS_T(976) NHS_T(994) NHS_T(997),1.0,0.5,4,5,8,0.8,0.0298825535911256,0.1967293392154133
KIFAP3_S(102) KIFAP3_S(60),0.6,0.5,4,5,8,1.0,0.0304650151640949,0.4980213736954481
