TargetFeature,colsample_bytree,gamma,max_depth,min_child_weight,n_estimators,subsample,mean_mse,mean_r2
HYLS1_S(179) HYLS1_S(290) HYLS1_S(297) HYLS1_Y(182),0.8,0.5,4,1,4,1.0,0.02507046532281,0.261823950839147
RAB32_S(134) RAB32_S(152) RAB32_S(71),1.0,0.5,4,1,8,1.0,0.0191401480364373,0.4229876653437046
CRTC2_M(462) CRTC2_M(464) CRTC2_M(465) CRTC2_S(116) CRTC2_S(131) CRTC2_S(136) CRTC2_S(171) CRTC2_S(183) CRTC2_S(433) CRTC2_S(456) CRTC2_S(459) CRTC2_S(460) CRTC2_S(489) CRTC2_S(492) CRTC2_S(520) CRTC2_S(613) CRTC2_S(623) CRTC2_S(624) CRTC2_S(70) CRTC2_S(90) CRTC2_T(458) CRTC2_T(462) CRTC2_T(501) CRTC2_Y(488),1.0,0.5,4,5,8,1.0,0.0456449707235021,0.5439574591179939
NSD2_S(102) NSD2_S(121) NSD2_S(1238) NSD2_S(194) NSD2_S(30) NSD2_S(376) NSD2_S(407) NSD2_S(408) NSD2_S(414) NSD2_S(437) NSD2_S(56) NSD2_S(604) NSD2_S(614) NSD2_S(8) NSD2_T(106) NSD2_T(110) NSD2_T(114) NSD2_T(115) NSD2_T(1316) NSD2_T(422) NSD2_T(544),1.0,0.5,4,5,8,0.8,0.0272333561898555,0.6671376681891429
S100A11_S(5),0.8,0.5,4,1,4,1.0,0.0415623909218234,0.3029531501011895
MFSD6_S(644) MFSD6_S(733) MFSD6_T(726),1.0,0.5,2,1,6,0.6,0.019043080432838,0.145807310876572
MYO18B_S(10) MYO18B_S(114) MYO18B_S(1216) MYO18B_S(20) MYO18B_S(205) MYO18B_S(2193) MYO18B_S(2217) MYO18B_S(2226) MYO18B_S(2296) MYO18B_S(2309) MYO18B_S(2350) MYO18B_S(2366) MYO18B_S(2367) MYO18B_S(2377) MYO18B_S(2471) MYO18B_S(2472) MYO18B_S(25) MYO18B_S(2508) MYO18B_S(2542) MYO18B_S(5) MYO18B_S(502) MYO18B_S(6) MYO18B_S(62) MYO18B_S(8) MYO18B_S(91) MYO18B_T(2453) MYO18B_T(2541),0.8,0.5,4,1,8,0.8,0.0316014333744042,0.2644339119527372
LIN37_S(135) LIN37_S(137) LIN37_S(138) LIN37_S(178) LIN37_S(182) LIN37_S(202) LIN37_S(83) LIN37_T(167) LIN37_T(191) LIN37_T(47),0.8,0.5,4,1,8,1.0,0.0398309201930037,0.5326672664682071
TRIR_S(111) TRIR_S(114) TRIR_S(39) TRIR_S(50) TRIR_S(64) TRIR_T(112),0.6,0.5,4,1,4,1.0,0.0238931710931222,0.1930280693205943
DNMT3A_S(105) DNMT3A_S(255) DNMT3A_S(390) DNMT3A_S(75) DNMT3A_T(138) DNMT3A_T(251) DNMT3A_T(257) DNMT3A_T(261) DNMT3A_T(65),1.0,0.5,4,1,8,1.0,0.0278929610600229,0.6746355248161708
SKA3_S(103) SKA3_S(110) SKA3_S(119) SKA3_S(124) SKA3_S(126) SKA3_S(152) SKA3_S(155) SKA3_S(248) SKA3_S(267) SKA3_S(276) SKA3_S(283) SKA3_S(318) SKA3_T(190) SKA3_T(217) SKA3_T(265) SKA3_T(360) SKA3_T(384),1.0,0.5,4,1,8,1.0,0.0283899443770648,0.7412069278682386
DFFA_S(107) DFFA_S(110) DFFA_S(2) DFFA_S(257) DFFA_S(28) DFFA_S(302) DFFA_S(310) DFFA_S(312) DFFA_S(315),1.0,0.5,4,10,8,1.0,0.0332728143194111,0.6607540852719487
NSD3_S(114) NSD3_S(150) NSD3_S(394) NSD3_S(551) NSD3_S(561) NSD3_S(574) NSD3_S(587) NSD3_S(589) NSD3_T(484) NSD3_T(556),0.6,0.5,4,5,8,1.0,0.023477510045979,0.6694798436910292
DTNBP1_S(11) DTNBP1_S(160) DTNBP1_S(165) DTNBP1_S(294) DTNBP1_S(297) DTNBP1_S(299) DTNBP1_S(349) DTNBP1_T(342),0.6,0.5,1,1,4,1.0,0.010947557662857,0.0301746150580892
NEFL_S(472),1.0,0.5,4,1,8,0.8,0.0282278068829253,0.0694798051703192
KDM4B_S(1039) KDM4B_S(12) KDM4B_S(352) KDM4B_S(621) KDM4B_S(622) KDM4B_S(632) KDM4B_S(633) KDM4B_T(1065),0.8,0.5,4,5,8,1.0,0.029599279400997,0.1523397458205558
ZBTB46_S(168) ZBTB46_S(294),0.8,0.5,3,1,8,1.0,0.0230436895369605,0.1589864503761455
SP2_S(235) SP2_S(78) SP2_T(55) SP2_T(63),1.0,0.5,4,1,8,1.0,0.0213478448054672,0.3939702290521116
RBM15_S(105) RBM15_S(109) RBM15_S(122) RBM15_S(127) RBM15_S(128) RBM15_S(153) RBM15_S(179) RBM15_S(182) RBM15_S(213) RBM15_S(215) RBM15_S(248) RBM15_S(257) RBM15_S(259) RBM15_S(265) RBM15_S(291) RBM15_S(292) RBM15_S(294) RBM15_S(3) RBM15_S(321) RBM15_S(5) RBM15_S(53) RBM15_S(620) RBM15_S(622) RBM15_S(626) RBM15_S(630) RBM15_S(642) RBM15_S(648) RBM15_S(651) RBM15_S(665) RBM15_S(670) RBM15_S(673) RBM15_S(674) RBM15_S(678) RBM15_S(679) RBM15_S(680) RBM15_S(7) RBM15_S(700) RBM15_S(724) RBM15_S(737) RBM15_S(74) RBM15_S(741) RBM15_S(765) RBM15_S(769) RBM15_S(81) RBM15_S(829) RBM15_S(84) RBM15_S(935) RBM15_T(114) RBM15_T(568) RBM15_Y(266) RBM15_Y(292) RBM15_Y(302),1.0,0.5,4,1,8,1.0,0.0321160742366273,0.7838056230470549
SRFBP1_S(196) SRFBP1_S(203) SRFBP1_S(205) SRFBP1_S(208) SRFBP1_S(215) SRFBP1_S(218) SRFBP1_S(244) SRFBP1_S(247) SRFBP1_S(258) SRFBP1_S(264) SRFBP1_S(279) SRFBP1_S(347) SRFBP1_S(349) SRFBP1_S(351) SRFBP1_S(367) SRFBP1_S(386) SRFBP1_S(6) SRFBP1_S(7) SRFBP1_T(148) SRFBP1_T(199) SRFBP1_T(221) SRFBP1_T(265),1.0,0.5,4,1,8,1.0,0.0485937728661384,0.5362419666766041
USP9X_S(1593) USP9X_S(1600) USP9X_S(1609) USP9X_S(2443) USP9X_S(2448) USP9X_S(2535) USP9X_S(2547) USP9X_S(2559) USP9X_S(2563) USP9X_S(588) USP9X_S(593) USP9X_T(1591) USP9X_Y(2556),0.6,0.5,4,1,8,1.0,0.0330939105755124,0.7682088377416905
CKM_S(1) CKM_S(12) CKM_S(129) CKM_S(13) CKM_S(158) CKM_S(164) CKM_S(19) CKM_S(285) CKM_S(3) CKM_S(337) CKM_S(344) CKM_S(345) CKM_S(5) CKM_S(8) CKM_T(1) CKM_T(10) CKM_T(108) CKM_T(14) CKM_T(180) CKM_T(289) CKM_T(3) CKM_T(322) CKM_T(327) CKM_T(35) CKM_T(6) CKM_T(7) CKM_T(8) CKM_Y(100) CKM_Y(14) CKM_Y(140) CKM_Y(174) CKM_Y(2) CKM_Y(3) CKM_Y(39) CKM_Y(4) CKM_Y(9),0.6,0.5,4,5,8,1.0,0.0391259957368194,0.2516391248186214
RHBDD1_S(290) RHBDD1_S(314),0.6,0.5,3,1,4,1.0,0.0157644264799319,0.2871098411132192
