gene_id,transcript_id,length,start,end,chromosome
A1BG,NM_130786.4,8310,58345183,58353492,NC_000019.10
A1BG-AS1,NR_015380.2,3214,58351970,58355183,NC_000019.10
A1CF,XM_011539729.4,86219,50799409,50885627,NC_000010.11
A2M,NM_001347423.2,48522,9067708,9116229,NC_000012.12
A2M-AS1,NR_137424.1,2879,9065177,9068055,NC_000012.12
A2ML1,XR_931275.2,64839,8822621,8887459,NC_000012.12
A2ML1-AS1,NR_046715.1,55096,8776211,8831306,NC_000012.12
A2MP1,NR_040112.1,5675,9228533,9234207,NC_000012.12
A3GALT2,NM_001080438.1,14333,33306766,33321098,NC_000001.11
A4GALT,XM_005261648.5,29181,42692121,42721301,NC_000022.11
A4GNT,XM_017006544.2,9590,138123713,138133302,NC_000003.12
AA06,NR_037584.2,3974,33529787,33533760,NC_000017.11
AAAS,NM_001173466.2,14151,53307460,53321610,NC_000012.12
AAAS_1,NM_001173466.2_1,14151,31210,45360,NW_025791795.1
AACS,NR_183033.1,77882,125065435,125143316,NC_000012.12
AACSP1,NR_024035.2,53575,178764861,178818435,NC_000005.10
AADAC,NM_001086.3,14373,151814116,151828488,NC_000003.12
AADACL2,NM_207365.4,27413,151733927,151761339,NC_000003.12
AADACL2-AS1,NR_110203.1,176997,151751179,151928175,NC_000003.12
AADACL2-AS1_1,NR_110202.1_1,3958,172352,176309,NW_003315913.1
AADACL2_1,NM_207365.4_1,25572,155100,180671,NW_003315913.1
AADACL3,NR_111984.2,12651,12716110,12728760,NC_000001.11
AADACL4,NM_001013630.2,22992,12644085,12667076,NC_000001.11
AADACP1,NR_026915.1,14439,151770456,151784894,NC_000003.12
AADAT,XM_047415763.1,34071,170060222,170094292,NC_000004.12
AAGAB,NM_001271885.2,54532,67200667,67255198,NC_000015.10
AAK1,NM_001371577.1,185743,69457997,69643739,NC_000002.12
AAMDC,NR_171642.1,84881,77821144,77906024,NC_000011.10
AAMP,NM_001087.5,6009,218264129,218270137,NC_000002.12
AANAT,NM_001166579.2,16767,76453351,76470117,NC_000017.11
AAR2,XM_006723770.4,20456,36236478,36256933,NC_000020.11
AARD,NM_001025357.3,6281,116938207,116944487,NC_000008.11
AARS1,NM_001605.3,37209,70252298,70289506,NC_000016.10
AARS2,XM_005249245.4,14617,44298731,44313347,NC_000006.12
AARSD1,NM_001261434.2,13929,42950526,42964454,NC_000017.11
AASDH,NM_001286668.2,49202,56338290,56387491,NC_000004.12
AASDHPPT,NM_015423.3,21034,106077662,106098695,NC_000011.10
AASS,XM_011515725.3,70701,122073549,122144249,NC_000007.14
AATBC,NR_026961.1,6810,43805758,43812567,NC_000021.9
AATF,NM_012138.4,107918,36948954,37056871,NC_000017.11
AATF_1,NM_012138.4_1,107918,1185319,1293236,NT_187614.1
AATK,NM_001080395.3,48927,81117295,81166221,NC_000017.11
ABALON,NR_131907.1,1903,31721507,31723409,NC_000020.11
ABAT,XM_047433688.1,109954,8674617,8784570,NC_000016.10
ABCA1,NM_005502.4,147150,104781006,104928155,NC_000009.12
ABCA10,NM_080282.4,96842,69148007,69244848,NC_000017.11
ABCA11P,NR_002451.2,48775,425435,474209,NC_000004.12
ABCA12,NR_103740.2,207085,214931542,215138626,NC_000002.12
ABCA13,XM_011515130.3,476040,48171458,48647497,NC_000007.14
ABCA15P,NR_026675.1,17743,21300849,21318591,NC_000016.10
ABCA15P_1,NR_026675.1_1,17731,124540,142270,NW_017852933.1
ABCA17P,NR_003574.1,85778,2340922,2426699,NC_000016.10
ABCA2,XM_047422921.1,21689,137007234,137028922,NC_000009.12
ABCA3,NM_001089.3,64848,2275881,2340728,NC_000016.10
ABCA4,NM_001425324.1,128315,93992834,94121148,NC_000001.11
ABCA5,NM_172232.4,82823,69244311,69327133,NC_000017.11
ABCA6,NM_080284.3,63194,69078702,69141895,NC_000017.11
ABCA7,NM_019112.4,25466,1040107,1065572,NC_000019.10
ABCA8,NM_001375771.1,88104,68867289,68955392,NC_000017.11
ABCA9,XM_017024013.2,103737,68975241,69078977,NC_000017.11
ABCA9-AS1,NR_126414.1,13610,69004714,69018323,NC_000017.11
ABCB1,NM_001348944.2,210279,87503017,87713295,NC_000007.14
ABCB10,NM_012089.3,42126,229516582,229558707,NC_000001.11
ABCB11,XM_017005165.2,115935,168915390,169031324,NC_000002.12
ABCB11_1,NM_003742.4_1,15654,107408,123061,NW_003315909.1
ABCB4,XR_007060054.1,109785,87365896,87475680,NC_000007.14
ABCB5,NM_001163941.2,141342,20615667,20757008,NC_000007.14
ABCB6,NM_001349828.2,9187,219209772,219218958,NC_000002.12
ABCB7,NM_001271698.3,105236,75051048,75156283,NC_000023.11
ABCB8,NM_001282291.2,19333,151028450,151047782,NC_000007.14
ABCB9,XR_007063061.1,56505,122918610,122975114,NC_000012.12
ABCC1,XM_047434134.1,193911,15949143,16143053,NC_000016.10
ABCC10,XR_007059383.1,24132,43427863,43451994,NC_000006.12
ABCC11,XM_017023798.3,81767,48165773,48247539,NC_000016.10
ABCC12,NR_171628.1,75112,48080882,48155993,NC_000016.10
ABCC13,NR_003087.1,27588,14273799,14301386,NC_000021.9
ABCC1_1,XM_054329091.1,193613,1607333,1800945,NT_187607.1
ABCC2,NM_000392.5,69955,99782640,99852594,NC_000010.11
ABCC3,NM_003786.4,57373,50634881,50692253,NC_000017.11
ABCC4,NM_001301829.2,281617,95019835,95301451,NC_000013.11
ABCC5,NM_005688.4,97951,183919934,184017884,NC_000003.12
ABCC5-AS1,NR_046570.1,5082,184006338,184011419,NC_000003.12
ABCC6,NM_001171.6,73930,16149565,16223494,NC_000016.10
ABCC6P1,NR_003569.1,27042,18571248,18598289,NC_000016.10
