phosphosite_ID,AZD/DMSO Exp1,AZD/DMSO Exp2,AZD/DMSO Exp3,PLX/DMSO Exp1,PLX/DMSO Exp2,PLX/DMSO Exp3,PLX/AZD Exp1,PLX/AZD Exp2,PLX/AZD Exp3
AAK1_S(846),-1.644713,-1.065853,,-2.119604,-2.118915,,-0.582512,-1.110564,
AARS1_S(484),-0.04711482,-0.04611645,-1.621844,0.2660369,-0.2927226,-1.215881,0.1638852,-0.3063789,0.3958306
AARS1_S(555),-0.2265775,0.08460858,0.07628538,0.2149951,0.3807295,0.1962293,0.4475263,0.2043494,0.08392822
AATF_S(203),0.08501676,0.1260478,0.006764703,0.111432,0.1749178,0.06225996,0.008200003,0.01655583,0.04614182
AATF_S(316),0.03871708,0.000865329,0.0878702,0.0610158,-0.08702827,0.06295063,0.05547326,-0.0342158,0.02842765
AATF_S(320),-0.014920975000000003,-0.0141552355,0.177673,-0.0560379,-0.0393423995,-0.00642914,-0.03169732,-0.002821734999999999,-0.052953425
AATF_S(321),-0.014920975000000003,-0.0141552355,0.177673,-0.0560379,-0.0393423995,-0.00642914,-0.03169732,-0.002821734999999999,-0.052953425
AATF_S(61),0.02261638,,,0.276318,,,0.1496496,,
AATF_S(63),0.4638317,,,-0.1739213,,,-0.05686629,,
ABRAXAS2_S(280),-0.5010139,-0.7537014,-0.5037524,-0.5751854,-0.5521564,-0.5742185,-0.01235901,0.224452,-0.1498887
ABRAXAS2_S(368),,0.09234277,,,0.05172008,,,-0.0843364,
ABRAXAS2_S(372),,0.1381591,,,0.1515991,,,0.06582319,
ABRAXAS2_S(375),,0.09234277,,,0.05172008,,,-0.0843364,
ABRAXAS2_Y(377),,0.04656085,,,-0.0483078,,,-0.234624,
ACAP2_S(379),-0.05326913,-0.1415097,0.006190286,-0.2737617,-0.08937474,-0.03501742,-0.1506252,-0.02772027,-0.05529143
ACAP2_S(384),-0.2932529,0.04180368,-0.04449375,-0.0466528,0.3578334,0.06281248,0.1518587,0.2345501,0.1604039
ACBD3_S(316),,-0.5679172,-0.1059389,,-0.09335561,0.217479,,0.3095203,0.2944296
ACBD3_S(43),-1.433428,-1.562431,-1.548269,-1.641019,-1.388582,-1.565503,-0.1852937,0.1498727,-0.1236854
ACBD3_S(54),-0.3750475,,,1.866631,,,2.229649,,
ACLY_S(478),-0.2179605,,-0.1918539,-0.2662465,,-0.2307699,0.02375215,,-0.130097
ACLY_S(481),-0.1715796,-0.1611208,-0.2302621,-0.2013605,-0.2641312,-0.1925956,-0.06014158,-0.1876411,0.0321009
ACSL3_S(683),-0.05090587,-0.05201222,-0.05491674,-0.1189776,-0.005594076,-0.04308099,-0.0575118,0.03297896,-0.1195888
ACSL3_T(688),0.153935,-0.04373517,-0.1598792,-0.04492527,0.09815002,-0.2952519,-0.1802501,0.1477614,-0.2470459
ADAM17_S(767),-0.2711652,,-0.4962849,-0.2360956,,-0.3535056,-0.1455734,,0.1219437
ADAM17_S(770),-0.2711652,,-0.4962849,-0.2360956,,-0.3535056,-0.1455734,,0.1219437
ADAM17_S(785),-3.237047,-3.064918,,-2.804098,-3.176838,,0.4102325,-0.2940766,
ADAM17_S(791),-0.5373403,-0.2851611,-0.4402635,0.04795711,0.04753833,0.004752986,0.5931147,0.3636422,0.4438188
ADAM17_S(819),-3.122177,,-4.11134,-1.537508,,-3.870641,1.611975,,0.4185677
ADAM17_T(735),-1.713545,-1.565801,-1.480841,-1.742941,-1.744052,-1.584371,-0.08880699,-0.3081279,-0.08512932
ADAM17_T(768),-0.2711652,,-0.4962849,-0.2360956,,-0.3535056,-0.1455734,,0.1219437
ADAM9_S(758),-0.15650011,0.01006364,,-0.4204498,-0.2825966,,-0.26202179999999997,-0.2369518,
ADAM9_T(761),-0.1850286,1.1515258199999998,0.08691968,-0.31192835,-0.36624199999999996,0.1104968,-0.07651468,-1.5033089,0.188021
ADGRB1_S(1257),0.08011194,0.5830377,-0.2501483,-0.3845083,-0.106001,-0.5933326,-0.2059793,-0.6904619,-0.3233174
ADGRB1_S(1278),0.5406225,-0.09870633,0.4082771,0.3822799,0.01478381,0.197488,-0.1788612,0.1235282,0.09261344
ADGRB1_S(1306),0.2025117,-0.09352498,0.5611061,-0.1857531,0.3632271,0.5732776,-0.3225594,0.4932355,0.06791403
ADGRB1_S(1469),0.2258919,0.01464098,0.2822618,-0.007579632,0.2197106,0.009633875,-0.4275565,0.2739186,-0.2233401
ADGRB1_S(1554),,,-0.001472321,,,-0.008333969,,,-0.05823264
ADGRB1_T(1308),-0.02748378,-0.06691082,0.2183473,0.01406952,0.2138761,0.3403914,-0.2589775,0.4109844,-0.1088142
ADH5_S(351),,-0.1177717,0.2314324,,-0.2164512,0.05505682,,-0.02772027,-0.02838102
ADNP_S(409),,,-0.2333624,,,-0.0224783,,,0.201132
ADNP_S(709),-0.04175865,0.2973675,0.305095,0.3361692,0.3891262,0.2776278,0.2420842,0.01186432,0.115566
ADNP_S(921),-0.1172552,0.02119536,-0.02955861,-0.04374997,-0.09361728,0.05199848,0.05824728,-0.06708801,0.1095611
ADNP_S(953),0.1505597,0.05509287,0.06455014,-0.01218434,0.13413323,-0.040220879,-0.2309392,0.054661205,-0.09845007
ADNP_S(955),0.1505597,0.016915605000000004,-0.01109073,-0.01218434,0.10551442999999999,-0.07578766899999999,-0.2309392,-0.066524775,-0.05052417000000001
ADPRS_S(67),,-1.135047,,,-0.7427238,,,0.4019207,
ADRM1_S(211),0.08854871,0.1556197,0.08420031,0.1098286,0.07505342,0.2751263,0.02346825,-0.07696954,0.1319846
ADRM1_S(405),-0.2505602,0.04670055,0.114367,-0.1869186,0.01906128,0.02998291,-0.2848271,0.04583347,-0.05466199
AFF4_S(1043),-0.2307361,-0.03925103,,-0.3989502,-0.2177592,,-0.0597054,-0.1899194,
